Instituto Weizmann da Ciência
Rehovot
Israel
Partícula
Energia
Televisor de projeção traseira
Raios X
Isótopo
Radioterapia
Radiografia
Polimerização
Elétron
Próton
Nêutron
Partícula alfa
Philips
Eindhoven
1937
Raio catódico
Tubo de raios catódicos
Televisão
Efeito Édison
Campo elétrico
Tensão elétrica
Monitor de vídeo
Corrente eletrônica
Fluxo eletrônico
Volt
Potencial elétrico
Alta tensão
Acelerador linear
Trajetória
Onda eletromagnética
Energia cinética
Vácuo
Guia de onda
Radiofrequência
Klystron
Velocidade de fase
Segunda Guerra Mundial
Íon
Acelerador eletrostático
Van de Graaff
LHC
CERN
Cíclotron
Síncrotron
Polos
Eletromagneto
Dêuteron
Deutério
Alta frequência
Potência
Eletrodo
Semicírculo
Polarização
Campo magnético
Feixe
Massa
Sincrocíclotron
Patente
Edwin Mattison McMillan
Órbita
Intensidade do campo
Fotografia panorâmica
Laboratório Nacional de Luz Síncrotron
Campinas
Unidades federativas do Brasil
São Paulo (estado)
Hemisfério sul
Comprimento de onda
Mícrotron
Micro-ondas
Vladimir Veksler
Betatron
Donald William Kerst
Universidade de Illinois
Transformador
Enrolamento
Toro (topologia)
Partícula beta
Matéria
Ernest Lawrence
Bomba nuclear
Robert Jemison van de Graaff
Gerador de Van de Graaff
Cosmotron (acelerador)
Laboratório Nacional de Brookhaven
Universidade da Califórnia em Berkeley
Bevatron
Antipartícula
Alternating Gradient Synchrotron
Organização Europeia para a Investigação Nuclear
Centro de Aceleração Linear de Stanford
Radiação ultravioleta
Fermilab
Grande Colisor de Elétrons e Pósitrons
Grande Colisor de Hádrons
Universidade de São Paulo
Fundação Rockefeller
Instituto de Física da Universidade de São Paulo
Universidade de Stanford
UVX
Sirius (acelerador de partículas)
Centro Nacional de Pesquisa em Energia e Materiais
European Synchrotron Radiation Facility
Radiação eletromagnética
Espectro visível
Radiação infravermelha
Tevatron
Rigidez magnética
Colisor Linear Internacional
Ilha de Elba
Canhão de elétrons
Física de aceleradores
Simulação
Matemática computacional
Laser
Campo eletromagnético
Sistema de recuperação de energia cinética
Efeito Tcherenkov
Laser de elétrons livres
Segurança do Grande Colisor de Hádrons
Teoria das supercordas
Radiação Hawking
Raio cósmico
Física de altas energias
Física de partículas
International Standard Serial Number
Digital object identifier
