Linha do Equador
Alto-mar
Oceano global
Altitude
Oceano
Atlas (mitologia)
Terra
Europa
África
América
Mitologia grega
Histórias (Heródoto)
Heródoto
Europa Ocidental
Idade Média
Mar do Norte
Mercator
S
Oceano Ártico
Oceano Pacífico
Oceano Índico
Oceano Antártico
Antártida
Mar Mediterrâneo
Mar Báltico
Mar das Caraíbas
Caribe
Hemisfério ocidental
Eurásia
Estreito
Islândia
Mar da Mancha
Mar das Antilhas
Costa
América do Norte
América do Sul
Canadá
Estados Unidos
Brasil
Uruguai
Argentina
Mar do Caribe
América Central
Ásia Menor
Plataforma continental
Dorsal meso-atlântica
Fossa tectônica
Rift
Placa tectónica
Crosta terrestre
Jan Mayen
Açores
Ilha de Ascensão
Ilha de Tristão da Cunha
Latitude
Fossa abissal
Antilhas
Ilhas Caimão
Fossa de Porto Rico
Sandwich do Sul
Dorsal oceânica
Tectônica de placas
Placa Sul-americana
Placa Africana
Convecção
Magma
Manto
Raios solares
Vento
Ciclo da água
Sedimentação
Salinização
Rio São Lourenço (América do Norte)
Rio Mississippi
Rio Amazonas
Salinidade
Corrente oceânica
Falklands
Benguela
Corrente do Golfo
Plâncton
Escandinávia
Venezuela
Golfo da Guiné
Pangeia
Ilhas britânicas
Canárias
Normandos
Noruega
Gronelândia
Nova Escócia
Cabo Bojador
Gil Eanes
Estrela Polar
Sol
Bússola
Astrolábio
Caravela
Calado
Vela (náutica)
Bolina
Cristóvão Colombo
Espanha
Portugal
Nau
Papa Nicolau V
Afonso V de Portugal
Tratado das Alcáçovas-Toledo
Ordenações Manuelinas
Corsário
França
Grã-Bretanha
União Ibérica
Felipe II de Portugal
Países Baixos
Cruzeiro (viagem)
Batimetria
Crosta oceânica
Talude continental
Planície abissal
Rifte
Fossa oceânica
Bacia oceânica
Mar Negro
Itálico
Albânia
Alemanha
Bélgica
Bósnia e Herzegovina
Chipre
Croácia
Dinamarca
Eslovénia
Finlândia
Guernsey
Gibraltar
Grécia
Ilha de Man
Ilhas Feroe
Irlanda
Itália
Jersey
Letónia
Lituânia
Malta
Mónaco
Montenegro
Polónia
Reino Unido
Rússia
Suécia
Turquia
África do Sul
Angola
Benim
Cabo Verde
Camarões
Costa do Marfim
Ilhas Canárias
Gabão
Gâmbia
Gana
Guiné
Guiné-Bissau
Guiné Equatorial
Libéria
Marrocos
Mauritânia
Namíbia
Nigéria
Arquipélago da Madeira
República Democrática do Congo
República do Congo
Saara Ocidental
Relações internacionais da República Árabe Saaráui Democrática
"Santa Helena, Ascensão e Tristão da Cunha"
São Tomé e Príncipe
Senegal
Serra Leoa
Togo
Ilha Bouvet
Chile
Colômbia
Guiana
Guiana Francesa
Ilhas Geórgia do Sul e Sandwich do Sul
Ilhas Malvinas
Suriname
Anguila
Antígua e Barbuda
Aruba
Bahamas
Barbados
"Santo André, Providência e Santa Catarina"
Cuba
Curaçau
Dominica
Guadalupe
Martinica
Granada (país)
Haiti
Ilhas Menores Distantes dos Estados Unidos
Ilha de Navassa
Ilhas Caimã
Ilhas Virgens Americanas
Ilhas Virgens Britânicas
Jamaica
Monserrate (ilha)
Países Baixos Caribenhos
Porto Rico
República Dominicana
Coletividade de São Bartolomeu
São Martinho (França)
Santa Lúcia
São Cristóvão e Neves
São Martinho (Países Baixos)
Trindade e Tobago
Turcas e Caicos
São Vicente e Granadinas
Belize
Costa Rica
Guatemala
Honduras
Nicarágua
Panamá
Bermudas
México
São Pedro e Miquelão
Mar da Noruega
Estreito de Öresund
Golfo de Bótnia
Mar de Åland
Åland
Mar do Arquipélago
Golfo da Finlândia
Estônia
Golfo de Riga
Letônia
Saaremaa
Mar Frísio
Zona entremarés
Holanda
Canal da Mancha
Mar da Irlanda
Mar Celta
Mar Cantábrico
Mar da Palha
Distrito de Lisboa
Distrito de Setúbal
OHI
Mar de Alborão
Estreito de Gibraltar
Mar das Baleares
Catalunha
Ilhas Baleares
Mar da Sardenha
Baleares
Córsega
Sardenha
Mar de Ligúria
Ligúria
