Bandeira do Reino Unido
Brasão real de armas do Reino Unido
Dieu et mon droit
Língua francesa
God Save the King
Territórios Britânicos Ultramarinos
Londres
Língua inglesa
De facto
Gentílico
Britânico
Monarquia constitucional
Parlamentarismo
Estado Unitário
Lista de monarcas britânicos
Carlos III do Reino Unido
Lista de primeiros-ministros do Reino Unido
Keir Starmer
Parlamento do Reino Unido
Câmara alta
Câmara dos Lordes
Câmara baixa
Câmara dos Comuns do Reino Unido
História do Reino Unido
Tratado de União de 1707
1 de maio
1707
Ato de União de 1800
1 de janeiro
1801
Tratado Anglo-Irlandês
12 de abril
1922
União Europeia
1973
1 de fevereiro
2020
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
1000000000000
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Libra esterlina
ISO 4217
Fuso horário
Greenwich Mean Time
UTC-8
UTC-5
UTC-4
UTC-2
UTC+1
UTC+6
Territórios britânicos ultramarinos
Horário de verão
Horário de Verão da Europa Ocidental
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
.uk
Lista de códigos telefónicos
País insular
Continente europeu
Estado Livre Irlandês
Grã-Bretanha
Irlanda (ilha)
Irlanda do Norte
República da Irlanda
Oceano Atlântico
Mar do Norte
Canal da Mancha
Mar da Irlanda
França
Eurotúnel
União política
Países do Reino Unido
Escócia
Inglaterra
País de Gales
Sede do governo
Capital
Chefe de Estado
Dependências da Coroa do Reino Unido
Ilhas do Canal
Ilhas Anglo-Normandas
Ilha de Man
A Coroa
Confederação
Império Britânico
Terra
Lista dos maiores impérios
Canadá
Austrália
Índia
Estados Unidos
Commonwealth
Reinos da Comunidade de Nações
País desenvolvido
Economia
Industrialização
Grande potência
Guerras mundiais
Países com armamento nuclear
Lista de países por gastos militares
Conselho de Segurança das Nações Unidas
G7
Organização do Tratado do Atlântico Norte
Organização Mundial do Comércio
Bretanha (nome)
Reino da Inglaterra
Reino da Escócia
Reino da Grã-Bretanha
Reino da Irlanda
Reino Unido da Grã-Bretanha e Irlanda
Estado Livre da Irlanda
Partição da Irlanda
Ilha da Irlanda
Estado soberano
País
Parlamento Britânico
Primeiro-ministro do Reino Unido
Organização Internacional para Padronização
ISO 3166-1 alfa-3
Organizações internacionais
Povo britânico
Ingleses
Escoceses
Galeses
Irlandeses
História da Inglaterra
História do País de Gales
História da Escócia
História da Irlanda
Britânia pré-histórica
Celtas insulares
Conquista romana da Britânia
Britânia (província romana)
Inglaterra anglo-saxã
Conquista normanda da Inglaterra
Stonehenge
Wiltshire
Termas romanas de Bath
Império Romano
Seres humanos
Bretões
Irlanda Gaélica
Germanos
Anglo-saxões
Dalriada
Pictos
Normandos
Feudalismo
Língua normanda
Tapeçaria de Bayeux
Batalha de Hastings
Plantageneta
Estatuto de Rhuddlan
Guerras de independência da Escócia
Império Plantageneta
Guerra dos Cem Anos
Período elisabetano
Comunidade da Inglaterra
Idade Moderna
Reforma Protestante
Protestantismo
Atos das Leis em Gales 1535-1542
Igreja Católica
União pessoal
Jaime VI da Escócia e I de Inglaterra
Edimburgo
Guerra Civil Inglesa
Estado unitário
Monarquia
Revolução Gloriosa
Europa
Monarquia absoluta
Constituição do Reino Unido
Marinha Real Britânica
Era dos Descobrimentos
América do Norte
Tratado de União
Principado de Gales
Tratado de Limerick
Pax Britannica
Era vitoriana
Primeira Guerra Mundial
Guerra de Independência da Irlanda
Batalha de Waterloo
Guerras Napoleónicas
Mundo ocidental
Literatura
Arte
Ciência
Revolução Industrial
Colonialismo
Tráfico negreiro
Ato contra o Comércio de Escravos de 1807
Napoleão Bonaparte
Sociedade das Nações
Royal Irish Rifles
Batalha do Somme
Ato do Governo da Irlanda de 1920
Subdivisões da Irlanda
Ulster
British Broadcasting Corporation
Segunda Guerra Mundial
Winston Churchill
Clement Attlee
Plano Marshall
Período entre-guerras
Território Antártico Britânico
Estado de bem-estar social
National Health Service
Imigração para o Reino Unido (1922-presente)
Político
Guerra do Suez
Cultura do Reino Unido
Cultura popular
Petróleo
Margaret Thatcher
Partido Trabalhista do Reino Unido
Tony Blair
Tratado de Maastricht
Comunidade Econômica Europeia
Parlamento da Escócia
Devolução
Assembleia Nacional do País de Gales
Referendo
Referendo sobre a independência da Escócia em 2014
Independência da Escócia
Referendo sobre a permanência do Reino Unido na União Europeia em 2016
Saída do Reino Unido da União Europeia
David Cameron
Theresa May
Geografia do Reino Unido
Imagem de satélite
Ilhas Britânicas
Irlanda do norte
Shetland
Geografia da Inglaterra
Lake District
Peninos
Calcário
Peak District
Dartmoor
Cré
Rio Tâmisa
Rio Severn
Pico Scafell
Geografia do País de Gales
Gales do Sul
Cardiff
Swansea
Newport (País de Gales)
Snowdonia
Snowdon
Língua galesa
Canal de Bristol
Canal de São Jorge
Anglesey
Ben Nevis
Ilha de Skye
Hébridas
Terras Altas (Escócia)
Geografia da Escócia
Falha geológica
Terras Baixas (Escócia)
Glasgow
Órcades
Geografia da Irlanda do Norte
Lago Neagh
Clima temperado
Corrente do Golfo
Neve
Demografia do Reino Unido
Imigração
Taxa de fertilidade
Área urbana da Grande Londres
Área urbana da Grande Manchester
Subdivisões do Reino Unido
Grande Londres
Belfast
Noroeste da Inglaterra
Conurbação de Midlands Ocidentais
Midlands Ocidentais (região)
Brighton e Hove
Sudeste da Inglaterra
Área urbana de West Yorkshire
West Yorkshire
Leicester
Midlands Orientais
Portsmouth
Tyneside
Nordeste da Inglaterra
Dorset
Sudoeste da Inglaterra
Liverpool
Reading
Nottingham
Middlesbrough
Sheffield
