10 de novembro
1875
Carlos I de Portugal
Ordem Militar de Nosso Senhor Jesus Cristo
"Antiga, Nobilíssima e Esclarecida Ordem Militar de Sant'Iago da Espada, do Mérito Científico, Literário e Artístico"
Ordem do Império Colonial
Ordem do Império
Ordem do Infante D. Henrique
Ordem da Instrução Pública
Lisboa
Portugal
10 de Novembro
Luís I de Portugal
Henrique de Barros Gomes
António Augusto Teixeira de Vasconcelos
António Enes
Eduardo Coelho
Luciano Cordeiro
Manuel Joaquim Pinheiro Chagas
Sousa Martins
António Cândido de Figueiredo
António Lino Netto
Teófilo Braga
Hermenegildo Capelo
Roberto Ivens
Silva Porto
Gago Coutinho
Presidência da República Portuguesa
Expedição científica à Serra da Estrela de 1881
Januário Correia de Almeida
José Vicente Barbosa du Bocage
António Augusto de Aguiar
Francisco Maria da Cunha
Francisco Ferreira do Amaral
Zófimo Consiglieri Pedroso
Bernardino Machado
Anselmo Braamcamp Freire
Vicente Maria de Moura Coutinho de Almeida d'Eça
Tomás António Garcia Rosado
José Capelo Franco Frazão
João de Azevedo Coutinho
Manuel Moreira Júnior
António Mendes Correia
Rui Enes Ulrich
Adriano Moreira
Fernando Fonseca
Henrique João de Barahona Fernandes
