Didelphis virginiana
Flórida
Estado de conservação
Espécie pouco preocupante
Classificação científica
Reino (biologia)
Animalia
Filo
Chordata
Classe (biologia)
Mammalia
Marsupialia
Ordem (biologia)
Didelphimorphia
Família (biologia)
Didelfiídeos
Didelfíneos
Género (biologia)
Espécie
Didelphis albiventris
Didelphis aurita
Didelphis imperfecta
Didelphis marsupialis
Didelphis pernigra
Bahia
Amazônia
Paraíba
Pernambuco
Rio Grande do Norte
Ceará
Alagoas
Agreste
Mato Grosso
São Paulo (estado)
Minas Gerais
Região Sul do Brasil
Mamífero
Marsupial
Estados Unidos
América do Sul
Onívoro
Predador
Leopardus
Doninha-fedorenta
Mefitídeo
Língua tupi
Crista sagital
Osso occipital
Cauda
Corpo (anatomia)
Rato
Cabeça
Dentição
Poliprotodonte
Pelo
Proximal
Escama (zoologia)
Preensibilidade
Árvore
Pata (animal)
Dedo
Mão
Garra
Hálux
Unha
Canguru
Marsúpio
Vagina
Glândula
Onívora
Vale do Ribeira
Reprodução
Gestação
Embrião
Mamilo
Crescimento (biologia)
Cativeiro
Tanatose
Gambá-de-orelha-branca
Gambá-de-orelha-preta
Gambá-comum
Gambá-da-virgínia
Américas
Canadá
Argentina
Brasil
Nordeste do Brasil
Mata Atlântica
Rio Grande do Sul
México
América Central
Andes
Dicionário de Tupi Antigo
International Standard Serial Number
Digital object identifier
International Standard Book Number
PubMed Central
PubMed Identifier
Taxonomia
Enciclopédia da Vida
Organização Europeia e Mediterrânica para a Proteção das Plantas
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
Mammal Species of the World
National Center for Biotechnology Information
Plazi
World Register of Marine Species
ZooBank
Medical Subject Headings
Sistema Unificado de Linguagem Médica
