Paris
Estado de exceção
Emergência
Desastres naturais
Guerra
Constituição
Direito penal do inimigo
Zaffaroni
Inquisição
Inimigo
Direito romano
Justitium
Pacto Internacional dos Direitos Civis e Políticos
Nações Unidas
1966
Direito internacional
Constituição brasileira de 1988
Presidente da República brasileira
Conselho da República
Conselho de Defesa Nacional
Congresso Nacional do Brasil
Emenda constitucional
Constituição portuguesa de 1976
Presidente da República Portuguesa
Assembleia da República
Marcelo Rebelo de Sousa
Pandemia de COVID-19
Eugenio Raúl Zaffaroni
International Standard Book Number
