Isoglossa
Língua alemã
Baixo-alemão
Linguística
Hochdeutsch
Luxemburguês
Língua iídiche
Alemanha
Áustria
Liechtenstein
Suíça
Bélgica
França
Alsácia
Lorena
Itália
Polónia
Transilvânia
Roménia
Rússia
Estados Unidos
Namíbia
Alpes
Alto-alemão antigo
International Standard Serial Number
International Standard Book Number
OCLC
