Academia Brasileira de Letras
Prémio Camões
9 de janeiro
1920
Recife
Pernambuco
9 de outubro
1999
Rio de Janeiro
Rio de Janeiro (estado)
Brasileiros
Marly de Oliveira
Embaixador
Cônsul (diplomacia)
Poesia
Prêmio Jabuti de Literatura
9º Prêmio Jabuti
35º Prêmio Jabuti
Prêmio Literário Internacional Neustadt
Prémio Rainha Sofia
Ordem do Mérito Cultural
Magnum opus
Morte e Vida Severina
Ordem Militar de Cristo
Ordem Militar de Sant'Iago da Espada
Diplomacia
Brasileiro
Surrealismo
Língua portuguesa
Mia Couto
Prêmio Nobel de Literatura
Evaldo Cabral de Mello
Manuel Bandeira
Gilberto Freyre
Joan Miró
Joan Brossa
Academia Pernambucana de Letras
Irmãos Maristas
Santa Cruz Futebol Clube
Carlos Drummond de Andrade
Partido Comunista do Brasil
Antônio Houaiss
Getúlio Vargas
Supremo Tribunal Federal
José Guimarães Menegale
José Américo de Almeida
Assis Chateaubriand
Ivan Junqueira
Espaço geográfico
Tempo
Masculino
Feminino
Região Nordeste do Brasil
Andaluzia
Caatinga
Construtivismo
Comunicação
Pedra do Sono
Pathos
Paixão (sentimento)
Atmosfera
Romantismo
Linguagem
Simbolismo
O Rio ou Relação da Viagem que Faz o Capibaribe de Sua Nascente à Cidade do Recife
Uma faca só lâmina
Portugal
Prêmio Camões
Estados Unidos
Neustadt International Prize for Literature
Espanha
International Standard Book Number
Revista Época
Wikiquote
Lista de membros da Academia Brasileira de Letras
Miguel Torga
José Craveirinha
Lista de presidentes da Academia Brasileira de Letras
Lista de sócios-correspondentes da Academia Brasileira de Letras
Adelino Fontoura
Luís Murat
Afonso d'Escragnolle Taunay
Ivan Monteiro de Barros Lins
Bernardo Élis
Evandro Lins e Silva
Ana Maria Machado
Álvares de Azevedo
Coelho Neto
João Neves da Fontoura
Guimarães Rosa
Mário Palmério
Tarcísio Padilha
Eduardo Giannetti
Artur de Oliveira
Filinto de Almeida
Roberto Simonsen
Aníbal Freire da Fonseca
Herberto Sales
Carlos Heitor Cony
Joaquim Falcão
Basílio da Gama
Aluísio Azevedo
Alcides Maia
Vianna Moog
Carlos Nejar
Bernardo Guimarães
Raimundo Correia
Oswaldo Cruz
Aloísio de Castro
Cândido Mota Filho
Rachel de Queiroz
José Murilo de Carvalho
Ailton Krenak
Casimiro de Abreu
Teixeira de Melo
Artur Silveira de Motta
Goulart de Andrade (escritor)
Barbosa Lima Sobrinho
Raimundo Faoro
Cícero Sandroni
Castro Alves
Valentim Magalhães
Euclides da Cunha
Afrânio Peixoto
Afonso Pena Júnior
Hermes Lima
Pontes de Miranda
Dinah Silveira de Queiroz
Sergio Corrêa da Costa
Nelson Pereira dos Santos
Cacá Diegues
Cláudio Manuel da Costa
Alberto de Oliveira
Oliveira Viana
Austregésilo de Athayde
Antônio Calado
Antônio Olinto
Cleonice Berardinelli
Ricardo Cavaliere
Gonçalves de Magalhães
Carlos Magalhães de Azeredo
Marques Rebelo
Carlos Chagas Filho
Alberto da Costa e Silva
Lilia Schwarcz
Evaristo da Veiga
