Piers Sellers
Atividade extraveicular
STS-121
Norte-americano
David Wolf
Atlantis (ônibus espacial)
Mir
Língua russa
Alfabeto fonético internacional
Língua chinesa
Viagem espacial
Tripulação
Nave espacial
Voo sub-orbital
Órbita
Voo orbital
Atmosfera
Cientista
Político
Jornalista
Agências espaciais
Voo espacial privado
SpaceShipOne
Exploração espacial
Fédération Aéronautique Internationale
Estados Unidos
Órbita terrestre baixa
Órbita lunar
Lua
James Lovell
John Young
Eugene Cernan
Sergei Krikalev
Peggy Whitson
Turismo espacial
Participante do voo espacial
Corrida espacial
União Soviética
Língua inglesa
Língua grega
Estrela
Navegação
Marinheiro
Neil R. Jones
Percy Greg
Agência Espacial Federal Russa
Programa espacial soviético
Língua portuguesa
Universo
Mikhail Tikhonravov
China
Língua francesa
Latim
Espaço sideral
Malásia
Taiwan
Hong Kong
Shenzhou 5
Yang Liwei
NASA
Programa espacial americano
John Glenn
Scott Carpenter
Disciplina (conhecimento)
Piloto de teste
Neutral Buoyancy Laboratory
Microgravidade
T-38 Talon
Lyndon B. Johnson Space Center
Base Aérea Edwards
Pressão sanguínea
Bacharelado
Engenharia
Ciências biológicas
Física
Matemática
Pós-graduação
Piloto em comando
Metro
Yuri Gagarin
Humano
Neil Armstrong
Iuri Gagarin
Vostok 1
Quilos
Terra
Valentina Tereshkova
Alan Shepard
Sally Ride
STS-7
Challenger (ônibus espacial)
Mulheres no espaço
Lista de mulheres astronautas
Órbita da Lua
Apollo 8
William Anders
Ásia
Cidadão
Estados Unidos da América
Taikonauta
Intercosmos
Países socialistas
Checoslováquia
Vladimir Remek
Cuba
Arnaldo Tamayo Méndez
Africano
África
Patrick Baudry
França
Mark Shuttleworth
Abdul Ahad Mohmand
Afeganistão
Estação espacial
Marcos Pontes
Lusofonia
Brasil
Missão Centenário
Estação Espacial Internacional
Rússia
Soyuz TMA-8
Experimentos científicos
Soyuz TMA-7
Hemisfério Sul
Gherman S. Titov
Vostok 2
Síndrome de adaptação ao espaço
STS-95
Instituto Tecnológico de Massachusetts
STS-9
Toyohiro Akiyama
Repórter
Soyuz TM-11
Tokyo Broadcasting System
Missão espacial
Astronauta comercial
Mike Melvill
Decolagem
Acoplamento (astronáutica)
Soyuz
Dennis Tito
Gregory Olsen
Anousheh Ansari
Charles Simonyi
Richard Garriott
Canadá
Guy Laliberté
Israelense
Tecnologia
Cosmonautas fantasmas
O astronauta caído
Lista de astronautas (1980–1999)
Lista de astronautas (1961–1979)
Agência Espacial Brasileira
Agência Espacial Europeia
Astronauta-político
Astronomia
Grupo Executivo e de Trabalho e Estudos de Projetos Espaciais
História dos foguetes
Instituto Nacional de Pesquisas Espaciais
Lista de pessoas que viajaram no espaço
Lista geral de astronautas
Missão espacial completa brasileira
Programa espacial estadunidense
Projeto Apollo
Projeto Gemini
Projeto Mercury
Programa Voskhod
Programa Vostok
Asif Azam Siddiqi
Arthur Clarke
Rio de Janeiro
São Paulo
Editora Globo
