Aeroporto de Londrina
Brasília
Governo do Brasil
Ratificação
Educação no Brasil
Constituição
Constituição de 1934
1961
1971
1996
Constituição de 1891
República Velha
Educação
Estado
Federação
Ensino superior
Constituição de 1824
Década de 1930
Ministério da Justiça
1931
Ministério da Educação (Brasil)
Anísio Teixeira
Educação religiosa
Carta de 1934
Associação Brasileira de Educação
Constituição de 1937
Estado Novo (Brasil)
Constituição de 1946
Filosofia
Esquerda (política)
Indivíduo
Sociedade
Centro (política)
Direita (política)
Família
Congresso Nacional do Brasil
Jorge Hage
Câmara dos Deputados do Brasil
Senador
Darcy Ribeiro
Marco Maciel
Maurício Correa
Poder executivo
MEC
Governo
FHC
Wilder Morais
20 de dezembro
João Goulart
Legislativo
1948
11 de agosto
Regime militar
Presidente
Emílio Garrastazu Médici
Santos Dumont
Rui Barbosa
Constituição de 1988
Fernando Henrique Cardoso
Paulo Renato Souza
Educação Infantil
Creche
Pré-escola
Educação Básica
Pandemia de COVID-19 no Brasil
Medida Provisória
Lei de Bases do Sistema Educativo
Portugal
Parâmetros Curriculares Nacionais
Conselho Nacional de Educação
Ensino Fundamental
Ensino Médio
Ensino Superior
FUNDEB
FUNDEF
Declaração de Salamanca
Base Nacional Comum Curricular
Universidade Paulista
Cláudio Pacheco Brasil
Tratado das Constituições Brasileiras
Freitas Bastos
Agência Brasil
Brasil
História da educação no Brasil
Cronologia da educação no Brasil
História do ensino de matemática no Brasil
Ensino fundamental no Brasil
Ensino médio no Brasil
Ensino superior no Brasil
Educação matemática no Brasil
Ensino coletivo musical no Brasil
Academismo no Brasil
Movimento estudantil brasileiro
Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
Conselho Nacional de Educação (Brasil)
"Instituto Federal de Educação, Ciência e Tecnologia"
Sistema Nacional de Bibliotecas Públicas
Exame Nacional de Desempenho de Estudantes
Exame Nacional para Certificação de Competências de Jovens e Adultos
Exame Nacional do Ensino Médio
Índice de Desenvolvimento da Educação Básica
Provinha Brasil
Sistema Nacional de Avaliação da Educação Básica
Avaliação Nacional do Rendimento Escolar
Sistema de Seleção Unificada
Qualis
Programa de Apoio a Planos de Reestruturação e Expansão das Universidades Federais
Programa Educacional de Resistência às Drogas e à Violência
Programa de Expansão da Educação Profissional
Programa Nacional Biblioteca da Escola
Programa Nacional de Acesso ao Ensino Técnico e Emprego
Programa Nacional de Alimentação Escolar
Programa Nacional de Reestruturação e Aquisição de Equipamentos da Rede Escolar Pública de Educação Infantil
Programa Nacional de Transporte Escolar
Reforma do ensino médio no Brasil em 2017
Ciência sem Fronteiras
Idiomas sem Fronteiras
Mais Educação
Programa Nacional do Livro Didático
ProExt
Programa Universidade para Todos
Brasil Alfabetizado
Programa de Educação Tutorial
Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério
Fundo de Manutenção e Desenvolvimento da Educação Básica
Fundo Nacional de Desenvolvimento da Educação
Fundo de Fortalecimento da Escola
Fundo de Financiamento ao Estudante do Ensino Superior
Canal Educação
TV Escola
Portal Domínio Público
E-mec
Lei 10 639
Lista de unidades federativas do Brasil por IDEB
Lista de municípios do Brasil por IDEB
Lista de instituições de ensino superior do Brasil
Lista de disciplinas acadêmicas do Brasil
Educação no Amazonas
Educação na Bahia
Educação no Ceará
Educação e ciência na cidade do Rio de Janeiro
Educação no Rio Grande do Sul
Educação no estado de São Paulo
Governo Fernando Henrique Cardoso
Governo Itamar Franco
Governo Lula (2003–2011)
Posse de Fernando Henrique Cardoso em 1995
Posse de Fernando Henrique Cardoso em 1999
Tripé macroeconômico
Desvalorização do real em 1999
Privatizações do governo Fernando Henrique Cardoso
Programa de Estímulo à Reestruturação e ao Fortalecimento do Sistema Financeiro Nacional
Programa de Incentivo à Redução do Setor Público Estadual na Atividade Bancária
Programa Brasil em Ação
Programa Avança Brasil
Rede de Proteção Social
Programa Comunidade Solidária
Luz no Campo
Auxílio-gás
Bolsa-escola
Gasoduto Bolívia-Brasil
Lei de Crimes Ambientais
Lei de Responsabilidade Fiscal
Agência Nacional de Transportes Aquaviários
Agência Nacional de Águas
Agência Nacional do Cinema
Agência Nacional de Energia Elétrica
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis"
Agência Nacional de Saúde Suplementar
Agência Nacional de Telecomunicações
Agência Nacional de Transportes Terrestres
Agência Nacional de Vigilância Sanitária
Marcha dos 100 mil de Brasília em 1999
Greve dos caminhoneiros no Brasil em 1999
Lista de viagens presidenciais de Fernando Henrique Cardoso
Crise do apagão
Crise cambial brasileira de 2002
Plataforma P-36
