Santa Sé
Vaticano
13 de novembro
2008
Celso Amorim
Dominique Mamberti
Secretaria de Estado da Santa Sé
7 de outubro
2009
10 de dezembro
Presidente da República
11 de fevereiro
2010
Tarcisio Bertone
Cláudio Hummes
Congregação para o Clero
Lorenzo Baldisseri
Luiz Inácio Lula da Silva
Nelson Jobim
Pontificado de Bento XVI
Direito
