Sua Excelência
Lista de ministros do Supremo Tribunal Federal
Supremo Tribunal Federal
Brasil
Dilma Rousseff
Ayres Britto
Lista de presidentes do Supremo Tribunal Federal
Rosa Weber
Edson Fachin
Lista de presidentes do Tribunal Superior Eleitoral
Tribunal Superior Eleitoral
Gilmar Mendes
Ricardo Lewandowski
Procurador
Rio de Janeiro (estado)
11 de março
1958
Vassouras
Alma mater
Universidade do Estado do Rio de Janeiro
Doutorado
Universidade Yale
Mestrado
Bacharelado
Ordem de Rio Branco
Judaísmo
Jurista
Professor
Magistrado
Direito
Mestre
Doutor
Pós-doutorado
Harvard Law School
Professor titular
Direito constitucional
Livre-docência
Universidade de Brasília
Centro de Ensino Unificado de Brasília
Direito público
Advogado
Células tronco
Casamento entre pessoas do mesmo sexo no Brasil
Nepotismo
Liberalismo
Progressismo
Rio de Janeiro
Judeus
Sionista
Bacharel
Administração
Economia
Pontifícia Universidade Católica do Rio de Janeiro
Faculdade de Direito da Universidade do Estado do Rio de Janeiro
Estados Unidos
Universidade de Harvard
Livre docente
Direito Constitucional
Universidade de Poitiers
França
Universidade de Breslávia
Polônia
New York University School of Law
London School of Economics
Oxford University
Esquerda (política)
Georg Wilhelm Friedrich Hegel
Norberto Bobbio
Cesare Battisti (escritor)
Leonel Brizola
Ação direta de inconstitucionalidade
Ação declaratória de constitucionalidade
Mandado de segurança
Presidente do Brasil
Carlos Ayres Britto
Senado Federal
Julgamento do mensalão
Embargos infringentes
Ministério Público
Sigmaringa Seixas
Impeachment de Dilma Rousseff
Congresso Nacional do Brasil
José Dirceu
Mensalão
Sergio Moro
Operação Lava Jato
Prisão preventiva
Ataques de 8 de janeiro em Brasília
Habeas corpus
Câmara dos Deputados do Brasil
Desdobramentos da Operação Lava Jato
Polícia Federal (Brasil)
Inquérito dos Portos
Prisão temporária
Operação Abafa
Conversa com Bial
Pedro Bial
Rede Globo
Delação premiada
Crime do colarinho branco
Clèmerson Merlin Clève
Torá
Evangelho
Buda
Aristóteles
Immanuel Kant
Brahma Kumaris
Folha de S.Paulo
Fundação Getulio Vargas
O Globo
Folha de S. Paulo
Agência Brasil
Wikimedia
Cármen Lúcia
Dias Toffoli
Luiz Fux
Alexandre de Moraes
Nunes Marques
André Mendonça
Cristiano Zanin
Flávio Dino
Superior Tribunal de Justiça
Tribunal Superior do Trabalho
Superior Tribunal Militar
Herman Benjamin
Francisco Joseli Parente Camelo
José Albano Fragoso
Lucas Antônio Monteiro de Barros
José Bernardo de Figueiredo (juiz)
Francisco de Paula Pereira Duarte
Manuel Pinto Ribeiro Pereira de Sampaio
Joaquim José Pinheiro de Vasconcelos
Joaquim Marcelino de Brito
João Antônio de Vasconcelos
Albino José Barbosa de Oliveira
Manuel de Jesus Valdetaro
João Evangelista de Negreiros Saião Lobato
Freitas Henriques
Olegário Herculano de Aquino e Castro
Joaquim de Toledo Piza e Almeida
Pindaíba de Matos
Hermínio Francisco do Espírito Santo
André Cavalcanti d'Albuquerque
Godofredo Xavier da Cunha
Leoni Ramos
Edmundo Lins
Antônio Bento de Faria
Eduardo Espínola
José Linhares
Laudo de Camargo
Orozimbo Nonato
Frederico de Barros Barreto
Lafayette de Andrada
Álvaro Moutinho Ribeiro da Costa
Luís Gallotti
Antônio Gonçalves de Oliveira
Osvaldo Trigueiro
Aliomar Baleeiro
Elói Rocha
Djaci Falcão
Carlos Thompson Flores (neto)
Antônio Neder
Francisco Xavier de Albuquerque
João Baptista Cordeiro Guerra
Moreira Alves
Luís Rafael Mayer
Néri da Silveira
Aldir Passarinho
Sydney Sanches
Octavio Gallotti
Sepúlveda Pertence
Celso de Mello
Carlos Velloso
Marco Aurélio Mello
Maurício Corrêa
Nelson Jobim
Ellen Gracie Northfleet
Cezar Peluso
Joaquim Barbosa
Lista de conselheiros do Conselho Nacional de Justiça
Conselho Nacional de Justiça
Presidente
Vice-presidente
Luis Felipe Salomão
Tribunal de Justiça do Estado da Bahia
Renata Gil
Tribunal de Justiça do Estado do Rio de Janeiro
Tribunal Regional Federal da 3.ª Região
Tribunal Regional Federal da 2.ª Região
Tribunal Regional do Trabalho da 1.ª Região
Ministério Público Federal
Ministério Público do Estado da Bahia
Advocacia-Geral da União
Bandeira de Mello Filho
Senado Federal do Brasil
Hermenegildo Rodrigues de Barros
Waldemar Falcão
Rocha Lagoa
Nelson Hungria
Ary de Azevedo Franco
Cândido Mota Filho
Antônio Martins Vilas Boas
Raphael de Barros Monteiro
José Geraldo Rodrigues de Alckmin
João Leitão de Abreu
Pedro Soares Muñoz
Décio Miranda
Oscar Dias Correia
Francisco Rezek
Célio Borja
Paulo Brossard
Ilmar Galvão
Base Virtual Internacional de Autoridade
Biblioteca Nacional da República Argentina
Faceted Application of Subject Terminology
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Real dos Países Baixos
Social Science Research Network
Sistema Universitário de Documentação
