Linha do Equador
Bandeira do Equador
Brasão de armas do Equador
"Salve, Oh Patria"
Quito
Santiago de Guayaquil
Língua castelhana
Gentílico
Presidencialismo
Lista de presidentes do Equador
Daniel Noboa
Vice-presidente
Verónica Abad
Independência
Espanha
24 de maio
1822
Grã-Colômbia
25 de junho
1824
13 de maio
1830
Quilómetro quadrado
Fronteira
Peru
Colômbia
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Dólar dos Estados Unidos
ISO 4217
Fuso horário
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
.ec
Lista de códigos telefónicos
Português europeu
Português brasileiro
República
Democracia
Democracia representativa
América do Sul
Oceano Pacífico
Brasil
Chile
Galápagos
Língua espanhola
Língua quíchua
Língua shuar
Patrimônio da Humanidade
UNESCO
Centro Histórico de Santa Ana de los Ríos de Cuenca
América Latina
Guayaquil
Cuenca (Azuay)
América
Endemismo
Ilhas Galápagos
Países megadiversos
Biodiversidade
Natureza
Ecossistema
Império colonial espanhol
República da Grã-Colômbia
Índice de desenvolvimento humano
Nações Unidas
1832
Substantivo comum
Círculo
Terra
País
Latim medieval
Dia
Noite
Latim
História do Equador
Império Inca
Incas
Ingapirca
Clã
Confederação
Huayna Capac
Era pré-colombiana
Tawantinsuyu
Cusco
Organização social
Estado
Colonização espanhola da América
Real Audiência de Quito
Atahualpa
Imperador Inca
Guerra dos Dois Irmãos
Espanhóis
Francisco Pizarro
Cajamarca
Hernando de Soto
Hernando Pizarro
Cavalo
Massacre de Cajamarca
Arma
Imperador inca
Império Espanhol
Encomienda
América Hispânica
Crioulos
Napoleão Bonaparte
Fernando VII de Espanha
José Bonaparte
Monarquia de Espanha
Simón Bolívar
Venezuela
Gabriel García Moreno
Jamil Mahuad
Alberto Fujimori
Rio Amazonas
Guerra de Cenepa
Segunda Guerra Mundial
Rodrigo Borja Cevallos
Protocolo do Rio
Abdalá Bucaram
Rafael Correa
Gustavo Noboa
Lucio Gutiérrez
Alfredo Palacio
Lenin Moreno Garcez
Geografia do Equador
Mapa topográfico
Andes
Chimborazo
Bacia do rio Amazonas
Pacífico
Porto
Golfo de Guayaquil
Floresta Amazônica
Classificação climática de Köppen-Geiger
Clima subtropical úmido
Florestas tropicais
Clima tropical
Bacia amazônica
Amazônia
Patola-de-pés-azuis
Ave
Planta
Répteis
Anfíbio
Borboleta
Fauna
Evolucionismo
Charles Darwin
Patrimônio Mundial
Parques nacionais
Floresta
Petróleo
Floresta amazônica
Estrutura interna da Terra
Pirâmide etária
Mestiços
Brancos
Itália
França
Alemanha
Suíça
Oriente Médio
Ascendência
Líbano
Estado da Palestina
Cristãos
Muçulmanos
Judeus
Europeus
Ameríndios
Pardos
Mulatos
Cafuzos
Esmeraldas (província)
Cordilheira dos Andes
Imbabura
DNA
Autossomo
Universidade de Brasília
Religião
Ateísmo
Agnósticos
Igreja Católica
Circunscrições eclesiásticas católicas do Equador
Protestantismo
Testemunhas de Jeová
Judaísmo
Budismo
Mormonismo
Sincretismo
Cristianismo Ortodoxo
Islamismo
Bahá'í
Igreja de Jesus Cristo dos Santos dos Últimos Dias
Estados Unidos
Israel
Sinagoga
Clube de campo
Cemitério
História do Judaísmo
Língua hebraica
Judaísmo messiânico
Guaiaquil
Províncias do Equador
Guayas
Loja (Equador)
Loja (província)
Pichincha (província)
Cuenca (Equador)
Azuay
Ibarra (Equador)
Santo Domingo de los Colorados
Santo Domingo de los Tsáchilas
Latacunga
Cotopaxi (província)
Ambato
Tungurahua
Esmeraldas (cidade)
Portoviejo
Manabí
Quevedo
Los Ríos
Machala
El Oro
Durán (Equador)
Santa Elena (província)
Manta (Equador)
Babahoyo
Riobamba
Chimborazo (província)
Política do Equador
Palácio de Carondelet
Presidente do Equador
Referendo
Assembleia Nacional do Equador
Corte Internacional de Justiça
Forças Armadas do Equador
Jurisdição
Guerrilha colombiana
Antonio José de Sucre
Eloy Alfaro (presidente)
Salinas (Equador)
Lenín Moreno
Mike Pompeo
Política externa
Organização dos Estados Americanos
Organização dos Países Exportadores de Petróleo
Antártida
Base Maldonado
Tratado da Antártida
Grupo do Rio
Sistema Econômico Latino-Americano
Organização Latino-Americana de Energia
Associação Latino-Americana de Integração
Aliança Bolivariana
Comunidade Andina de Nações
União de Nações Sul-Americanas
Banco do Sul
Subdivisões do Equador
Província
Cantão (divisão administrativa)
Paróquia
Bolívar (província)
Cañar
Azogues
Carchi
Tulcán
Galápagos (província)
Puerto Baquerizo Moreno
Loja (cidade)
Morona-Santiago
Macas
Napo (província)
Orellana
Pastaza (província)
Puyo
Sucumbíos
Nueva Loja
San Juan de Ambato
Zamora-Chinchipe
Zamora
Economia do Equador
Crescimento econômico
PIB
Caribe
Comissão Econômica para a América Latina e o Caribe
Grande Recessão
Argentina
Panamá
Inflação
Desemprego
Pobreza extrema
Emigração
Esmeraldas (Equador)
Exportações
Balança comercial
Barril (unidade)
Superávit
União Europeia
Bolívia
México
Ásia
Bananas
Flor
Cacau
Recursos naturais
Eucalipto
Manguezais
Noz
Alecrim
Rio Guayas
Indústria
Aeroporto Internacional José Joaquín de Olmedo
Aeroporto Internacional Mariscal Sucre
Canadá
Pediatria
Ginecologia
Clínica médica
Cirurgia
Assistência médica
Expectativa de vida
Mortalidade infantil
Desnutrição
Malária
Educação no Equador
Educação obrigatória
Educação primária
Educação secundária
NEE-01 Pegaso
Agência Espacial Civil Equatoriana
Academia Nacional de Ciências dos Estados Unidos
Painel Intergovernamental sobre Mudanças Climáticas
Prêmio Nobel da Paz
Al Gore
Cultura do Equador
Centro histórico de Quito
Cultura da Espanha
Norte-americanos
Poloneses
Lituanos
Ingleses
Irlandeses
Croatas
Escravidão africana
Evangelismo
Encomiendas
Galeão
Tráfico negreiro
Negros
Africanos
Jesuítas
Açúcar
Garimpeiro
Idioma espanhol
Segunda língua
Juan Montalvo
América espanhola
Ameríndio
Quipu
Alfabeto latino
Estádio Monumental Isidro Romero Carbo
Futebol
Emelec
Liga Deportiva Universitaria (Quito)
Barcelona Sporting Club
Deportivo Quito
El Nacional
Centro Deportivo Olmedo
Deportivo Cuenca
Seleção Equatoriana de Futebol
Copa do Mundo FIFA
Jogos Olímpicos
Jefferson Pérez
Jogos Olímpicos de Verão de 1996
Jogos Olímpicos de Verão de 2008
Ciclismo
Richard Carapaz
Grand Tour
Giro d'Italia de 2019
Jogos Olímpicos de Verão de 2020
Tóquio
Pandemia de COVID-19
Automobilismo
Juan Manuel Correa
Campeonato de Fórmula 2 da FIA
Autódromo Internacional de Yahuarcocha
1 de Janeiro
Ano Novo
Sexta-feira Santa
1 de Maio
Dia do trabalhador
10 de Agosto
12 de Outubro
Raça
25 de Dezembro
Natal
31 de Dezembro
Ano novo
Aliança Bolivariana para as Américas
Lista de Estados soberanos
Lista de Estados soberanos e territórios dependentes da América
Missões diplomáticas do Equador
Fundo Monetário Internacional
