Gráfico
Latim
Moeda
Governo
Mão de obra
Taxa de câmbio
Renda
Organização para a Cooperação e Desenvolvimento Econômico
Brasil
País
Agricultura
França
Itália
Estados Unidos
Inglaterra
Receita (economia)
Custo
Protecionismo
Exportação
Subvenção
Economia
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Gemeinsame Normdatei
Dicionário Histórico da Suíça
JSTOR
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
