Luciano Bivar
Junior Bozzella
30 de outubro
1994
2 de junho
1998
8 de fevereiro
2022
Brasília
Distrito Federal (Brasil)
Democratas (Brasil)
Bolsonarismo
Conservadorismo social
Liberalismo econômico
Populismo de direita
Militarismo
Nacionalismo
Anticomunismo
Monarquismo
Liberalismo social
Liberalismo clássico
Centrismo
Espectro político
Direita (política)
Extrema-direita
Centro (política)
Think tank
Instituto de Inovação e Governança
União Brasil
Verde
Amarelo
Azul
Branco
Política do Brasil
Lista de partidos políticos do Brasil
Eleições no Brasil
Partido político
Brasil
Tribunal Superior Eleitoral
Pernambuco
Eleição presidencial de 2006 (Brasil)
2015
2018
Livres
Deputado federal
Jair Bolsonaro
Social-liberalismo
Conservadorismo
Liberalismo económico
Câmara dos Deputados do Brasil
Partido dos Trabalhadores
Presidente do Brasil
Eleições municipais no Brasil em 1996
Luciano Caldas Bivar
Eleição municipal de São Paulo em 1996
José Serra
PSDB
Eleição municipal do Recife em 1996
Eleição municipal do Rio de Janeiro em 1996
Eleições gerais no Brasil em 1998
Assembleia legislativa (Brasil)
Região Nordeste do Brasil
Região Norte do Brasil
Senado Federal do Brasil
Eleições gerais no Brasil em 2002
Flamarion Portela
Roraima
Economista
Américo de Souza
Patrimônio líquido
Terceira via
Polarização política
Marcos Cintra
Privatização
Presídio
Pena de morte
Autoestrada
Pedágio
Dívida externa do Brasil
Veículo de comunicação
Rui Costa Pimenta
PCO
Impugnação
Eleição presidencial no Brasil em 2010
Eleição presidencial no Brasil em 2014
Eduardo Campos
13 de agosto
Acidente com o Cessna Citation prefixo PR-AFA em 2014
Marina Silva
Aécio Neves
Partido da Social Democracia Brasileira
Dilma Rousseff
Campanha presidencial de Jair Bolsonaro em 2018
Eleições gerais no Brasil em 2018
Aliança pelo Brasil
Libertarismo
Patriota (Brasil)
Família imperial brasileira
Luiz Philippe de Orléans e Bragança
General
Hamilton Mourão
PRTB
Coligação política
Eduardo Bolsonaro
Deputados estaduais
Janaina Paschoal
Assembleia Legislativa de São Paulo
Soraya Thronicke
Mato Grosso do Sul
Selma Arruda
Mato Grosso
Flávio Bolsonaro
Rio de Janeiro (estado)
Major Olímpio
São Paulo (estado)
Lista de presidentes do Brasil
Partido
Eleições municipais no Brasil em 2020
Rubinho Nunes
José Luiz Datena
Movimento Brasil Livre
Cláusula de barreira
Reforma política no Brasil
Aliança Renovadora Nacional
Partido Democrático Social
Partido Progressista Reformador
Progressistas
Partido Democrata Cristão (1985)
Partido Social Trabalhista (1988)
Partido Progressista (1993)
Partido Trabalhista Renovador
Estatuto do Desarmamento
Aborto
Casamento gay
Identidade de gênero
Cientista político
UFPR
Estado de S. Paulo
Restauração da Monarquia no Brasil
Gustavo Bebianno
Joice Hasselmann
Região Norte (Brasil)
Nordeste (Brasil)
Região Sul (Brasil)
Região Sudeste (Brasil)
Centro-Oeste (Brasil)
Lista de deputados federais do Brasil da 56.ª legislatura
Lista de deputados federais do Brasil da 55.ª legislatura
Lista de deputados federais do Brasil da 54.ª legislatura
Lista de deputados federais do Brasil da 53.ª legislatura
Lista de deputados federais do Brasil da 52.ª legislatura
Lista de deputados federais do Brasil da 51.ª legislatura
Lista de senadores do Brasil da 56.ª legislatura
Lista de senadores do Brasil da 55.ª legislatura
Lista de senadores do Brasil da 54.ª legislatura
Lista de senadores do Brasil da 53.ª legislatura
Lista de senadores do Brasil da 52.ª legislatura
Lista de senadores do Brasil da 51.ª legislatura
Eleição presidencial no Brasil em 2006
Partido Socialista Brasileiro (1985)
Beto Albuquerque
Partido Humanista da Solidariedade
Partido Republicano Progressista (1989)
Cidadania (partido político)
Partido Pátria Livre
Eleição presidencial no Brasil em 2018
Partido Renovador Trabalhista Brasileiro
São Paulo
Laranjal do Partido Social Liberal
Minas Gerais
