Circa
Salvador
Capitania da Baía de Todos os Santos
Estado do Brasil
Reino de Portugal
Franciscano
Magnum opus
História do Brasil (Vicente do Salvador)
1564
1636
1639
Brasil Colônia
Historia do Brazil
Corografia
Heródoto
Convento de Santo Antônio (Rio de Janeiro)
Salvador (Bahia)
Bahia
Fidalgo
28 de janeiro
1567
Capistrano de Abreu
Colégio dos Jesuítas (Salvador)
Direito
Teologia
Universidade de Coimbra
Direito canônico
Presbítero
Cônego
Catedral de Salvador
Arquidiocese de São Salvador da Bahia
Ordem dos Frades Menores
27 de janeiro
1599
30 de janeiro
1600
Evangelização
Bartolomeu de las Casas
Lisboa
15 de fevereiro
1614
Manuel Severim de Faria
Jorge Cardoso
Pedro Fernandes Sardinha
Pedro Álvares Cabral
Capitanias hereditárias
Portugal
Especiarias
Pau-brasil
José Veríssimo
Escolástica
Aristotelismo
Tomista
Tomé de Sousa
Francisco de Sousa
Francisco Adolfo de Varnhagen
João Francisco Lisboa
Marquês de Olinda
Sílvio Romero
Darcy Ribeiro
O Povo Brasileiro
Academia Brasileira de Letras
Instituto Histórico e Geográfico Brasileiro
28 de junho
1967
Frei Jaboatão
João Martins Ribeiro
Biblioteca Nacional do Brasil
International Standard Book Number
Biblioteca Nacional de Portugal
Lista de sócios-correspondentes da Academia Brasileira de Letras
Alexandre de Gusmão
Bartolomé Mitre
Gonçalves Viana
Alberto d'Oliveira
Serafim Leite
Marcello Caetano
António Alçada Baptista
Didier Lamaison
António José da Silva
Eça de Queirós
Carlos Malheiro Dias
Péthion de Villar
Reynaldo dos Santos
João Gaspar Simões
Mário Soares
Edgar Morin
Manuel Botelho de Oliveira
Élisée Reclus
Jaime de Séguier
Armando Erse de Figueiredo
Rebelo Gonçalves
Álvaro Salema
Urbano Tavares Rodrigues
Eusébio de Matos
Émile Zola
António Correia de Oliveira
Aquilino Ribeiro
Léopold Sédar Senghor
António Braz Teixeira
Eugénio de Castro
Augusto de Castro
Joaquim Paço d'Arcos
Domingos Monteiro
David Mourão-Ferreira
Mia Couto
Matias Aires
Guerra Junqueiro
Henrique Lopes de Mendonça
Leite de Vasconcelos
Joaquim Leitão (escritor)
Nuno Simões
Jacinto do Prado Coelho
Vergílio Ferreira
Alberto Noguès
Luciana Stegagno Picchio
Arnaldo Saraiva
Nuno Marques Pereira
Henryk Sienkiewicz
Júlio Dantas
Vitorino Nemésio
Joaquim Veríssimo Serrão
Sebastião da Rocha Pita
John Fiske
Cândido de Figueiredo
José Maria Rodrigues
Fidelino de Figueiredo
Luís Forjaz Trigueiros
Augustin Buzura
Santa Rita Durão
John Hay
Ramalho Ortigão
António Feijó
João de Barros (1881)
Hernâni Cidade
Adriano Moreira
Teófilo Braga
Antero de Figueiredo
José Caeiro da Mata
Manuel Gonçalves Cerejeira
Fernando Namora
Agustina Bessa-Luís
Alexandre Rodrigues Ferreira
Garcia Mérou
Javier de Viana
Miguel Luís Rocuant
Eduardo Barrios
Georges Raeders
Curt Meyer-Clason
António de Morais Silva
Guilherme Blest Gana
Victor Orban
Samuel Putnam
Enrique Larreta
Ricardo Saenz Hayes
Mario Amadeo
Fred P. Ellison
Mario Vargas Llosa
Domingos Borges de Barros
Henrik Ibsen
António de Macedo Papança
John Casper Branner
Georges Dumas
Georges Duhamel
André Malraux
Roger Caillois
Jean d'Ormesson
Francisco do Monte Alverne
Herbert Spencer
Jean Finot
Ernest Martinenche
Ramón Menéndez Pidal
William Grossman
Daisaku Ikeda
Joaquim Gonçalves Ledo
José Echegaray
José Santos Chocano
Rodolfo Rivarola
Ricardo Rojas
Miguel Ángel Carcano
Claude L. Hulet
José Bonifácio de Andrada e Silva
Giosuè Carducci
Guglielmo Ferrero
Jacques Maritain
Júlio Cesar Chaves
Hermann Mathias Görgen
Maurice Druon
José Saramago
Leslie Bethell
Odorico Mendes
Liev Tolstói
Martin Brussot
Herculano Amorim Ferreira
Ruben A.
Vitorino Magalhães Godinho
Manuel Inácio da Silva Alvarenga
Paul Groussac
Francisco Rodríguez Marín
Dardo Regules
Aurelio Miró-Quesada
Pina Martins
Gregory Rabassa
João Malaca Casteleiro
Sotero dos Reis
Rafael Obligado
Gabriele d'Annunzio
Ramón José Cárcano
Gregório Aráoz Alfaro
Gregorio Marañón
Dámaso Alonso
Octavio Paz
Alain Touraine
José da Silva Lisboa
Theodor Mommsen
Goran Bjorkman
Alexandre Conty
André Maurois
Jean Roche
Eduardo Lourenço
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Biblioteca Virtual Miguel de Cervantes
Consortium of European Research Libraries
Academia Real de História da Espanha
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Real dos Países Baixos
Sistema Universitário de Documentação
Biblioteca Digital Curt Nimuendajú
Universidade Federal de Santa Catarina
Open Library
Biblioteca Nacional do México
