Bandeira do Uruguai
Brasão de armas do Uruguai
Língua espanhola
Himno Nacional (Uruguai)
Montevidéu
Língua nacional
Língua castelhana
Catolicismo
Irreligião
Protestantismo
Judaísmo
Gentílico
República
Presidencialismo
Estado unitário
Lista de presidentes do Uruguai
Luis Alberto Lacalle Pou
Lista de vice-presidentes do Uruguai
Beatriz Argimón
Assembleia Geral do Uruguai
Câmara alta
Câmara baixa
Câmara dos Representantes (Uruguai)
Independência
Império do Brasil
25 de agosto
1825
27 de agosto
1828
Constituição Uruguaia de 1830
18 de julho
1830
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Brasil
Argentina
Densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Peso uruguaio
ISO 4217
Fuso horário
Tempo Universal Coordenado
Lista de TLDs
.uy
Lista de códigos telefónicos
País
América do Sul
Habitante
Zona metropolitana de Montevidéu
Ascendência
Europa
Miscigenação
Unidades federativas do Brasil
Rio Grande do Sul
Fronteira Brasil-Uruguai
Lista de países da América do Sul
Rio Uruguai
Estuário
Rio da Prata
Oceano Atlântico
Suriname
Colônia do Sacramento
Império Português
Tratado de Santo Ildefonso (1777)
Império Espanhol
Fortaleza (arquitetura militar)
Espanha
Portugal
Democracia
Chefe de Estado
Chefe de governo
Transparência Internacional
Índice de Percepções de Corrupção
Chile
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de qualidade de vida
América Latina
Desigualdade econômica
Índice de Prosperidade Legatum
Grande Recessão
Continente americano
Recessão econômica
Organização das Nações Unidas
Forças de manutenção da paz das Nações Unidas
Direitos civis
Divórcio
América
Mulher
Direito ao voto
União civil
Adoção homoparental
Casamento entre pessoas do mesmo sexo
Legalização da cannabis
Cannabis (psicotrópico)
The Economist
Reader's Digest
Estado laico
Índice de Democracia
Língua portuguesa
Língua guarani
História do Uruguai
Colonização espanhola da América
Espanhóis
Gado
Villa Soriano
Rio Negro (Uruguai)
Brasil Colônia
Buenos Aires
Império Britânico
Guerras Napoleônicas
Banda Oriental do Uruguai
Liga dos Povos Livres
Cisplatina (província)
Guerra da Cisplatina
José Gervasio Artigas
Trinta e Três Orientais
Federalismo
Banda Oriental
Centralismo
Cerco
Tropa
"Reino Unido de Portugal, Brasil e Algarves"
Províncias do Império do Brasil
Independência do Brasil
Juan Antonio Lavalleja
Províncias Unidas do Rio da Prata
Tratado de Montevidéu de 1828
Reino Unido
Guerra Grande
Manuel Oribe
Partido Nacional (Uruguai)
Partido Colorado (Uruguai)
Fructuoso Rivera
Partido Unitário
Manuel de Rosas
Exército argentino
Uruguaios
Giuseppe Garibaldi
França
Justo José de Urquiza
Entre Ríos (Argentina)
Batalha de Monte Caseros
Tratado da Tríplice Aliança
Imperador do Brasil
Presidente da Argentina
Venâncio Flores
Francisco Solano López
Guerra do Paraguai
Paraguai
Marinha do Brasil
Lorenzo Batlle y Grau
Departamentos do Uruguai
Oposição (política)
Autoritarismo
Estado
Grupo de pressão
Itália
Pecuária
Exportações
Entreposto
Ditadura civil-militar no Uruguai (1973–1985)
Operação Condor
Tupamaros
José Batlle y Ordóñez
Aparício Saraiva
Mandato
Estado de bem-estar social
Poder executivo
Gabriel Terra
Grande Depressão
Desemprego
Golpe de Estado
Cunhado
General
Alfredo Baldomir
Sindicato
Liberdade de imprensa
Segunda Guerra Mundial
Britânicos
Cruzador pesado
Admiral Graf Spee
Batalha do Rio da Prata
Extradição
Carta das Nações Unidas
Juan María Bordaberry
Padrão de vida
Movimento estudantil
Guerrilha urbana
Luta armada
País desenvolvido
Recursos minerais
Tecnologia
Lã
Carne
Mercado internacional
Jorge Pacheco
Estado de emergência
Liberdades civis
Crise econômica
Forças Armadas do Uruguai
Ditadura civil-militar no Uruguai (1973-1985)
Anistia internacional
Esquadrões da Morte
Liberalização econômica
Julio María Sanguinetti
Luis Alberto Lacalle
Anistia
Direitos humanos
Jorge Batlle
Frente Ampla (Uruguai)
Tabaré Vázquez
Commodities
Real (moeda brasileira)
Crise econômica da Argentina
Pobreza
Inflação
José Mujica
Esquerda (política)
Direito ao aborto
Psicotrópico
Geografia do Uruguai
Vegetação do Uruguai
Imagem de satélite
Serra Carapé
Maldonado (departamento)
Guiana Francesa
Planície
Colina
Pradaria
Bovinos
Ovino
Bacias hidrográficas
Lagoa Mirim
Ponto culminante
Cerro Catedral (Uruguai)
Altitude
Rio de la Plata
Porto de Montevidéu
Rio Paraná
Meridional
Camberra
Austrália
Wellington
Nova Zelândia
Corticeira
Símbolo nacional
Clima do Uruguai
Classificação climática de Köppen-Geiger
Clima temperado
Tempestade
Verão
Inverno
Pampero
Pampas
Precipitação (meteorologia)
Outono
Salto (Uruguai)
Paysandú
Flora do Uruguai
Família (biologia)
Poaceae
Pampa argentino
Floresta
Eucalyptus
Bacia do Paraná
Madeira de lei
Demografia do Uruguai
Taxa de fecundidade
Transição demográfica
Esperança de vida
Urbanização
Migração humana
Imigração
Emigração
Política
Economia
Estados Unidos
Alemanha
Canadá
Montevidéu (departamento)
Artigas (cidade)
Artigas (departamento)
Salto (departamento)
Minas (Uruguai)
Lavalleja
Paysandú (departamento)
San José de Mayo
San José (departamento)
Ciudad de la Costa
Canelones
Durazno (cidade)
Durazno
Las Piedras
Florida (Uruguai)
Florida (departamento)
Rivera (cidade)
Rivera (departamento)
Treinta y Tres
Treinta y Tres (departamento)
Maldonado (Uruguai)
Rocha (Uruguai)
Rocha (departamento)
Tacuarembó (cidade)
Tacuarembó (departamento)
San Carlos (Uruguai)
Melo (Uruguai)
Cerro Largo (departamento)
Pando (Uruguai)
Mercedes (Uruguai)
Soriano
Fray Bentos
Río Negro (departamento)
Espanhol rioplatense
Português uruguaio
Voseo
Yeismo
Língua inglesa
Língua francesa
Língua italiana
Língua alemã
CIA
The World Factbook
Mestiço
Afro-uruguaios
Indígena
Franceses
Alemães
Portugueses
Suíços
Russos
Polacos
Ásia
American Journal of Human Biology
Cerro Largo (Rio Grande do Sul)
Catolicismo romano
Ateísmo
Agnosticismo
Cristianismo
Religião oficial
Liberdade religiosa
Cristãos
Animismo
Umbanda
Deus
Religião
Ateu
Agnóstico
Armênia
Igreja Apostólica Armênia
Secularismo
Américas
Proselitismo
Casamento civil
Cemitério
Separação Igreja-Estado
IDH
