Estado de conservação
Espécie vulnerável
Lista Vermelha da IUCN
Classificação científica
Reino (biologia)
Animal
Filo
Cordados
Classe (biologia)
Mamíferos
Ordem (biologia)
Artiodáctilos
Família (biologia)
Taiaçuídeos
Género (biologia)
Johann Fischer von Waldheim
Espécie
Nomenclatura binomial
Johann Heinrich Friedrich Link
Subespécie
Sinonímia (taxonomia)
Nome científico
Mamífero
Caititu
Latim
Antenor Nascentes
Língua tupi
Aférese
Língua alemã
Hans Staden
Língua espanhola
Empréstimo (linguística)
Panamá
Morfologia (biologia)
DNA
Colômbia
Venezuela
Guianas
Brasil
Rio Amazonas
Equador
Peru
Bolívia
Paraguai
Argentina
México
Nicarágua
Costa Rica
Regiões do Brasil
Território brasileiro
Conservação da natureza
Ecossistema
Pantanal
Amazônia
Extinção
Vegetação do Brasil
Biomas do Brasil
Mata Atlântica
Cerrado
Caatinga
Região Nordeste do Brasil
Estiagem
Veracruz
Oaxaca
Entre Ríos (Argentina)
Esmeraldas (província)
Pichincha (província)
Pernambuco
Alagoas
Paraíba
Rio Grande do Norte
El Salvador
Cuba
Faculdade de Medicina Veterinária e Zootecnia da Universidade de São Paulo
Universidade de São Paulo
Focinho
Onça-pintada
Onça-parda
Invertebrados
Fungi
Peixe
Lista de frutas
Dispersão de sementes
Porco selvagem
América do Sul
Floresta tropical e subtropical húmida
Glândula sudorípara
Nomadismo
Predação
Árvore
Solo
Visibilidade
Obstáculo
Mecanismo de defesa
Comunicação
Alarme
Espírito Santo (estado)
Paraná
Minas Gerais
Santa Catarina
São Paulo (estado)
Rio Grande do Sul
Bahia
Instituto Chico Mendes de Conservação da Biodiversidade
Rio de Janeiro (estado)
União Internacional para a Conservação da Natureza
Perda de habitat
União Internacional para Conservação da Natureza
Digital object identifier
Grande Dicionário Houaiss
International Standard Book Number
OCLC
Ministério do Meio Ambiente (Brasil)
JSTOR
Wikimedia
Artiodátilos
Chordata
Mammalia
Eutheria
Laurasiatheria
Ruminantia
Antilocapridae
Antilocapra
Giraffidae
Ocapi
Girafa
Moschidae
Cervo almiscarado siberiano
Trágulo
Moschiola kathygre
Cervidae
Bovídeos
Cervídeos
Cervinae
Muntiacus
Muntiacus muntjak
Muntiacus reevesi
Muntiacus crinifrons
Muntiacus feae
Muntiacus atherodes
Muntiacus rooseveltorum
Muntiacus gongshanensis
Muntiacus vuquangensis
Muntiacus truongsonensis
Muntiacus putaoensis
Elaphodus cephalophus
Gamo
Gamo-persa
Axis axis
Rucervus
Rucervus duvaucelii
Panolia eldii
Cervo-do-padre-david
Hyelaphus
Hyelaphus porcinus
Hyelaphus calamianensis
Rusa
Sambar
Rusa timorensis
Rusa alfredi
Cervus
Veado-vermelho
Uapiti
Cervus nippon
Capreolinae
Alce
Hidrópote
Capreolus
Capreolus capreolus
Capreolus pygargus
Rena
Hippocamelus
Hippocamelus antisensis
Huemul
Mazama
Veado-mateiro
Veado-mateiro-pequeno
Mazama bricenii
Mazama chunyi
Veado-catingueiro
Veado-mão-curta
Veado-roxo
Mazama pandora
Mazama rufina
Mazama temama
Veado-campeiro
Cervo-do-pantanal
Pudu
Pudu mephistophiles
Pudu puda
Odocoileus
Cariacu
Veado-mula
Cephalophinae
Cephalophus
Cephalophus spadix
Cephalophus adersi
Cephalophus dorsalis
Cephalophus niger
Philantomba monticola
Cephalophus jentinki
Philantomba maxwellii
Cephalophus natalensis
Cephalophus ogilbyi
Cephalophus callipygus
Cephalophus rufilatus
Cephalophus weynsi
Cephalophus leucogaster
Cephalophus silvicultor
Cephalophus zebra
Sylvicapra grimmia
Hippotraginae
Palanca
Palanca-vermelha
Palanca-negra
Oryx
Oryx beisa
Oryx dammah
Órix
Órix-da-arábia
Adax
Reduncinae
Kobus
Kobus anselli
Kobus ellipsiprymnus
Kobus kob
Kobus leche
Kobus megaceros
Kobus vardonii
Redunca
Redunca arundinum
Redunca fulvorufula
Redunca redunca
Impala
Pelea capreolus
Alcelaphinae
Beatragus hunteri
Damaliscus
Topi
Damaliscus pygargus
Alcelaphus
Gondonga
Alcelaphus caama
Alcelaphus lichtensteinii
Gnu
Connochaetes gnou
Connochaetes taurinus
Chiru
Caprinae
Bovinos
Antilopinae
Ammotragus lervia
Budorcas taxicolor
Capra
Cabra-selvagem
Capra caucasica
Capra falconeri
Íbex
Capra nubiana
Capra pyrenaica
Íbex-siberiano
Tahr
Hemitragus hylocrius
Hemitragus jayakari
Hemitragus jemlahicus
Goral
Naemorhedus baileyi
Naemorhedus caudatus
Naemorhedus goral
Capricornis milneedwardsii
Oreamnos americanus
Boi-almiscarado
Ovis
Argali
Ovelha
Carneiro-selvagem
Carneiro-de-dall
Muflão
Ovis nivicola
Urial
Pseudois
Pseudois nayaur
Rupicapra
Camurça-dos-pirineus
Camurça
Boselaphini
Tetracerus quadricornis
Boselaphus tragocamelus
Bovini
Búfalo
Búfalo-asiático
Bubalus depressicornis
Bubalus mindorensis
Bos
Bos javanicus
Gauro
Iaque
Gado bovino
Bos sauveli
Zebu
Pseudonovibos spiralis
Saola
Búfalo-africano
Bisonte
Bisão-americano
Bisonte-europeu
Strepsicerotini
Tragelaphus
Sitatunga
Inhala
Imbabala
Tragelaphus buxtoni
Tragelaphus imberbis
Cudo
Tragelaphus eurycerus
Elande
Taurotragus derbianus
Antilopini
Ammodorcas clarkei
Cabra-de-leque
Antilope cervicapra
Gazela
Gazella gazella
Gazella spekei
Gazela-dorcas
Gazella bennettii
Gazela-de-thomson
Eudorcas rufifrons
Nanger dama
Gazela-de-grant
Nanger soemmerringii
Gazella cuvieri
Gazella leptoceros
Gazella subgutturosa
Gazela-girafa
Procapra
Procapra gutturosa
Procapra picticaudata
Procapra przewalskii
Saiga
Neotragini
Dorcatragus megalotis
Dik-dik
Madoqua guentheri
Madoqua kirkii
Madoqua piacentinii
Madoqua saltiana
Neotragus
Neotragus pygmaeus
Antílope-salta-rochas
Ourebia ourebi
Raphicerus
Raphicerus campestris
Raphicerus melanotis
Raphicerus sharpei
Suina
Suidae
Babyrousa
Babyrousa babyrussa
Babyrousa celebensis
Babyrousa togeanensis
Hylochoerus meinertzhageni
Phacochoerus
Javali-africano
Phacochoerus africanus
Porcula salvania
Potamochoerus
Potamochoerus larvatus
Potamochoerus porcus
Sus
Sus ahoenobarbus
Sus barbatus
Sus bucculentus
Sus cebifrons
Sus celebensis
Sus oliveri
Sus philippensis
Javali
Sus verrucosus
Tayassuidae
Parachoerus wagneri
Pecari maximus
Tylopoda
Camelidae
Lama (gênero)
Lhama
Guanaco
Vicunha
Alpaca
Camelo
Dromedário
Camelo-bactriano
Cetartiodactyla
Hippopotamidae
Hippopotamus
Hipopótamo-comum
Hipopótamo-pigmeu
Encyclopædia Britannica
Gemeinsame Normdatei
Taxonomia
Animal Diversity Web
Enciclopédia da Vida
Fossilworks Paleobiology Database
Global Biodiversity Information Facility
INaturalist
ITIS
Mammal Species of the World
National Center for Biotechnology Information
Convenção sobre o Comércio Internacional das Espécies Silvestres Ameaçadas de Extinção
Sistema Unificado de Linguagem Médica
