Literatura
Épico (género)
Narração
Drama
Conto
Novela
Romance
Epopeia
Teatro épico
Poesia lírica
Elegia
Ode
Canção
Comédia
Tragédia
Tragicomédia
Farsa
Literatura erótica
Fantasia (gênero)
Ficção científica
Melodrama
Nonsense
Suspense
Thriller (gênero)
Terror (gênero)
Romance de cavalaria
Sátira
Paródia
Técnico (gênero textual)
Atuação
Peça teatral
Roteiro
Livro
Literatura oral
Prosa
Poesia
História da literatura
Lista de prémios literários
Teoria da literatura
Crítica literária
Português europeu
Português brasileiro
Categorização
Semântica
Sintaxe
Fonologia
Idade Antiga
Modo narrativo
Poesia épica
Dramaturgia
Filósofos
Grécia
Platão
Aristóteles
Não ficção
Ficção
Realidade
Enredo
Tempo
Lugar (geografia)
Linguagem visual
Linguagem gestual
Crônica (gênero)
Fábula
Ensaio
Foco narrativo
Personagem
Conflito
Clímax
A república
Poética (Aristóteles)
Tipo ideal
Benedetto Croce
Verso
Poema
Romantismo
Poesia dramática
Herói
Os Lusíadas
Luís de Camões
Ilíada
Odisseia
Homero
Boccaccio
Decamerão
O Alienista
Machado de Assis
A Metamorfose
Kafka
Romance de espionagem
Romance policial
Romance psicológico
Vida
Linguagem coloquial
Humor
Crítica
Literatura fantástica
Moral
Peça de teatro
Cinema
Filme
Teledramaturgia
Comédia musical
Commedia dell'arte
Pantomima
Performance
Marionete
Teatro de improvisação
Vaudeville
Morte
Romeu e Julieta
Humano
Filosofia
Político
Social
Cultural
Comportamento
Biografias
Diário (agenda)
Epitalâmia
Núpcias
Terror
Notícia
Poesia de cordel
Piada
Banda desenhada
Mangá
Fanfic
Wattpad
Ir para cima
Lista de gêneros cinematográficos
Gênero fotográfico
Gêneros de jogos eletrônicos
Gênero musical
Lista de gêneros operísticos
Gênero teatral
Gênero textual
Lista de subgêneros do heavy metal
Lista de gêneros de música punk
