Municípios do Brasil
Bandeira de
Brasão
Gentílico
Brasil
Unidades federativas do Brasil
Santa Catarina
Blumenau
Indaial
Jaraguá do Sul
Rio dos Cedros
Timbó (Santa Catarina)
Florianópolis
Quilômetro
21 de janeiro
1959
Prefeitura (Brasil)
União Brasil
Território
População
IBGE
2023
Densidade populacional
Subtropical
Classificação climática de Köppen-Geiger
Altitude
Fuso horário
UTC−3
Índice de Desenvolvimento Humano
2010
Produto interno bruto
2021
Real (moeda brasileira)
Município (Brasil)
Mesorregião do Vale do Itajaí
Microrregião de Blumenau
Língua alemã
Hochdeutsch
Língua pomerana
Povos indígenas do Brasil
Carijós
Xokleng
Imigração alemã no Brasil
Imigrante
Joinville
Hermann Blumenau
Arroz
Batata
Fumo
Mandioca
Feijão
Século XX
Indústria
Porcelana
Pomerânia
Alemanha
Mecklenburg-Vorpommern
Pomerano
Parentesco
Povos germânicos
Eslavos
Sacro Império Romano-Germânico
Germanização
Idioma
Santa Maria de Jetibá
Espírito Santo (estado)
São Lourenço do Sul
Rio Grande do Sul
II Guerra Mundial
Polônia
Mecklemburgo-Pomerânia Ocidental
Alemanha Oriental
Getúlio Vargas
Cultura da Alemanha
Doença
Estetino
Grau Celsius
Precipitação (meteorologia)
Metro
Ensino público
Língua portuguesa
Baixo-alemão
Campanha de nacionalização
Hunsrückisch
Teuto-brasileiro
1 de setembro
23 de maio
2017
Guará
Cidade
Enxaimel
Culinária da Alemanha
Oktoberfest
Cuca (bolo)
MDF
Páscoa
Natal
Greifswald
Torgelow
Deutsche Welle
Lista de municípios de Santa Catarina por data de criação
Lista de municípios de Santa Catarina por população
Região Metropolitana do Vale do Itajaí
Gaspar
Apiúna
Ascurra
Benedito Novo
Botuverá
Brusque
Doutor Pedrinho
Guabiruba
Ilhota
Luiz Alves
Rodeio (Santa Catarina)
Lista de municípios de Santa Catarina
