21 de julho
1889
Vilnius
Lituânia
Império Russo
2 de agosto
1957
São Paulo
Brasil
Lituanos
Brasileiros
Vilna
Pintor (artista)
1923
1905
Berlim
Dresden
1912
Klabin Irmãos & Cia
Horácio Klabin
Campinas
1913
1918
1919
Olívia Guedes Penteado
1925
Jenny Klabin
Beatriz Segall
Miss Brasil 1969
Maria Lúcia Alexandrino dos Santos
Gregori Warchavchik
Museu Lasar Segall
Sociedade Pró-Arte Moderna
Campos do Jordão
Lucy Citti Ferreira
1938
Museu Nacional de Belas Artes (Brasil)
Rio de Janeiro (estado)
1943
Mário de Andrade
Manuel Bandeira
Jorge de Lima
1951
Museu de Arte de São Paulo
Wikiquote
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Faceted Application of Subject Terminology
Gemeinsame Normdatei
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
Biblioteca Real dos Países Baixos
Rijksbureau voor Kunsthistorische Documentatie
Sistema Universitário de Documentação
Itaú Cultural
Museu de Arte do Rio Grande do Sul Ado Malagoli
Biblioteca Nacional de Portugal
Union List of Artist Names
Open Library
Biblioteca Nacional de Israel
