Português europeu
Português brasileiro
Cientista
"Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Humano
Geração
Paisagem
Monumento
Conjunto arquitetônico
Cidade
Região
UNESCO
ONU
Comitê do Patrimônio Mundial
"Convenção para a Proteção do Patrimônio Mundial, Cultural e Natural"
Dossiê
Humanidade
Liechtenstein
Nauru
Somália
Sudão do Sul
Timor-Leste
Tuvalu
Tabela de Sítios de Patrimônio Mundial da UNESCO por país
Património cultural
Natureza
Lista do Património Mundial em perigo
Itália
Tabela de Sítios do Patrimônio Mundial da UNESCO por países
China
Espanha
França
Alemanha
Egito
Represa de Assuã
Abul-Simbel
Sudão
Filas
Dólar
Conselho Internacional de Monumentos e Sítios
Estados Unidos
Casa Branca
União Internacional para a Conservação da Natureza e dos Recursos Naturais
Estocolmo
Suécia
Organização das Nações Unidas
23 de novembro
1972
Paris
1977 no Brasil
Instituto do Patrimônio Histórico e Artístico Nacional
Estado Novo (Portugal)
Guerra Colonial Portuguesa
Revolução de 25 de Abril de 1974
Lista de Estados signatários da Convenção do Património Mundial
CPLP
São Tomé e Príncipe
Lista do Património Mundial em África
Lista do Património Mundial nos Estados Árabes
Lista do Património Mundial na Ásia e Oceania
Lista do Património Mundial na Europa
Lista do Património Mundial na América
Lista de sítios Patrimônio Mundial da UNESCO por país
Lista do Patrimônio Mundial no Brasil
Património Mundial em Espanha
Lista do Património Mundial em Portugal
Património Mundial na Suécia
Património Mundial na Islândia
Ministério do Meio Ambiente e Mudança do Clima
World Wide Fund for Nature
Instituto Chico Mendes de Conservação da Biodiversidade
Conservação Internacional
The Nature Conservancy
Impactos do aquecimento global sobre o patrimônio histórico e cultural
Bem (economia)
Organização das Cidades do Patrimônio Mundial
Lista de obras-primas do Património Mundial
Regiões da UNESCO
Ir para cima
Deutsche Welle
Iphan
Comité do Património Mundial
"Estados-membros da Organização das Nações Unidas para a Educação, a Ciência e a Cultura"
Critérios de seleção de Património Mundial
Lista do Patrimônio Mundial na África do Sul
Lista do Patrimônio Mundial na Alemanha
Lista do Patrimônio Mundial em Angola
Lista do Patrimônio Mundial na Áustria
Lista do Patrimônio Mundial na Bélgica
Lista do Patrimônio Mundial na Bósnia e Herzegovina
Lista do Patrimônio Mundial na Bulgária
Lista do Patrimônio Mundial em Cabo Verde
Lista do Patrimônio Mundial na Croácia
Lista do Património Mundial em Cuba
Lista do Patrimônio Mundial na França
Lista do Patrimônio Mundial na Macedônia do Norte
Lista do Patrimônio Mundial em Marrocos
Lista do Patrimônio Mundial no México
Lista do Patrimônio Mundial em Moçambique
Lista do Patrimônio Mundial em Omã
Lista do Patrimônio Mundial nos Países Baixos
Lista do Patrimônio Mundial no Estado da Palestina
Lista do Patrimônio Mundial no Panamá
Lista do Patrimônio Mundial no Paquistão
Lista do Patrimônio Mundial no Paraguai
Lista do Patrimônio Mundial no Peru
Lista do Patrimônio Mundial no Quênia
Lista do Patrimônio Mundial no Quirguistão
Lista do Patrimônio Mundial no Reino Unido
Lista do Patrimônio Mundial na República Centro-Africana
Lista do Patrimônio Mundial na República Democrática do Congo
Lista do Patrimônio Mundial na Romênia
Lista do Patrimônio Mundial na Rússia
Lista do Patrimônio Mundial nas Seicheles
Lista do Patrimônio Mundial no Senegal
Lista do Patrimônio Mundial em Singapura
Lista do Patrimônio Mundial na Síria
Lista do Patrimônio Mundial no Sri Lanka
Lista do Patrimônio Mundial no Sudão
Lista do Património Mundial na Suécia
Lista do Patrimônio Mundial no Suriname
Lista do Patrimônio Mundial na Tailândia
Lista do Patrimônio Mundial na Tanzânia
Lista do Patrimônio Mundial na Tunísia
Lista do Patrimônio Mundial na Turquia
Lista do Patrimônio Mundial na Ucrânia
Lista do Patrimônio Mundial em Uganda
Lista do Patrimônio Mundial no Uruguai
Lista do Patrimônio Mundial no Vaticano
Lista do Patrimônio Mundial na Venezuela
Lista do Patrimônio Mundial no Vietnã
Lista do Patrimônio Mundial na Zâmbia
Patrimônio Cultural Imaterial da Humanidade
Lista do Património Cultural Imaterial da Humanidade
Lista de Estados signatários da Convenção do Património Cultural Imaterial
Lista do Património Cultural Imaterial da Humanidade na Argentina
Lista do Património Cultural Imaterial da Humanidade no Brasil
Lista do Património Cultural Imaterial da Humanidade no Chile
Lista do Património Cultural Imaterial da Humanidade no México
Lista do Património Cultural Imaterial da Humanidade no Paraguai
Lista do Património Cultural Imaterial da Humanidade em Portugal
Lista do Património Cultural Imaterial da Humanidade no Uruguai
Reserva da biosfera
Rede Mundial de Reservas da Biosfera
Reserva da biosfera transfronteiriça
Conferência da Biosfera
Lista de reservas da biosfera em África
Lista de reservas da biosfera na América Latina e no Caribe
Lista de reservas da biosfera da Ásia e do Pacífico
Lista de reservas da biosfera da Europa
Lista de reservas da biosfera na América do Norte
Relatório MacBride
Quatro pilares da educação
Resolução de Montevidéu
Programa informação para todos
Manifesto da UNESCO para a Biblioteca Pública
Classificação Internacional Normalizada da Educação
Registo da Memória do Mundo
Embaixador da Boa Vontade da UNESCO
Livro Vermelho das Línguas Ameaçadas
Rede Mundial de Geoparques
Programa de Escolas Associadas da UNESCO
UNESCO Courier
Capital Mundial da Arquitetura
Patrimônio
Jardim histórico
Monumento histórico
Monumento megalítico
Monumento natural
Paisagem cultural
Patrimônio ambiental
Patrimônio artístico
Patrimônio cultural imaterial
Patrimônio histórico
Sítio arqueológico
Centro Internacional de Estudos para a Conservação e Restauro de Bens Culturais
Conselho Internacional de Museus
Federação Internacional de Arquitetos Paisagistas
Fórum Ibérico de Cidades Amuralhadas
Carta de Atenas
Carta de Veneza
Carta sobre o Patrimônio Vernacular Edificado
Código de Ética para Museus
Documento de Nara sobre a Autenticidade
Área protegida
Tombamento
Maravilhas do Mundo
Lista do Patrimônio Mundial em Perigo
