Altiplano (João Pessoa)
Monte Roraima
Brasil
Venezuela
Relevo (geografia)
Cume
Erosão
Planalto do Tibete
Maciço central
Meseta Ibérica
Geografia do Brasil
Planalto das Guianas
Planalto Brasileiro
Chapada do Araripe
Ceará
Piauí
Pernambuco
Escudo cristalino
América do Sul
Planície Amazônica
Guianas
Planície Litorânea do Brasil
Distrito Federal (Brasil)
Goiás
Minas Gerais
Tocantins
Mato Grosso
Mato Grosso do Sul
Bioma
Cerrado
Mata Atlântica
Campos de altitude
Planalto Meridional
Região Sul do Brasil
Arenito
Basalto
Serra Geral (sul do Brasil)
Paraná
Santa Catarina
Serra do Mar
Rio Grande do Sul
Torres (Rio Grande do Sul)
Planalto da Borborema
Serra da Borborema
Serra das Russas
Serra da Copaoba
Região Nordeste do Brasil
Alagoas
Paraíba
Rio Grande do Norte
Planalto Paulista
São Paulo
Região Metropolitana de São Paulo
Planalto das Cesaredas
Azeite
Planície
Mar
Merriam-Webster
Cambridge University Press
Geografia
Acidente geográfico
Costa
Península
Cabo (geografia)
Baía
Enseada
Saco (acidente geográfico)
Arrecife
Atol
Praia
Estreito
Falésia
Fiorde
Corpo de água
Curso de água
Rio
Canal
Córrego
Meandro
Foz
Barra
Delta
Estuário
Oceano
Lagoa
Lago
Laguna
Aquífero
Queda de água
Geleira
Continente
Ilha
Arquipélago
Ilhéu
Matacão
Istmo
Depressão (geografia)
Abismo
Buraco azul
Fossa oceânica
Vale
Cânion
Planície de inundação
Cratera
Montanha
Morro
Outeiro
Cordilheira
Serra
Passo de montanha
Chapada
Mesa (geografia)
Vulcão
Deserto
Lago seco
Duna
Oásis
