Força Aérea da Suécia
Caça (avião)
Turbofan
Monoplano
Monomotor
Suécia
Saab AB
1987
Circa
Dólar dos Estados Unidos
2006
9 de dezembro
1988
1 de novembro
1997
Tripulação
Quilograma
Libra (massa)
Metro
Pé (unidade)
Envergadura
Metro quadrado
Pé quadrado
Alongamento (asa)
Caça (aeronave)
Caça multiuso
Caças de quarta geração
Saab 35 Draken
Saab 37 Viggen
Força Aérea Sueca
Asas em delta
Canard
Fly-by-wire
Volvo RM12
Número de Mach
OTAN
Reabastecimento aéreo
Língua grega
Grifo
Leão
Águia
Logotipo
Software
BAE Systems
Marketing
África do Sul
Suborno
Europa Central
Sudeste Asiático
Brasil
Década de 1970
Velocidade do som
General Dynamics F-16
McDonnell Douglas F/A-18 Hornet
Northrop F-20 Tigershark
Dassault-Breguet Mirage 2000
Guerra aérea
Joint-venture
Ericsson
Volvo Aero
Forças Armadas da Suécia
General Electric F404
Parlamento da Suécia
Coroa sueca
Aviónica
Linköping
Manche (aviação)
Lockheed T-33
Estocolmo
Estol
Organização do Tratado do Atlântico Norte
Reabastecimento em voo
Vickers VC-10
Royal Air Force
Força Aérea da Chéquia
Show Aéreo de Paris
British Aerospace
Rand
Noruega
Coroa norueguesa
Thales Group
Vazamento de telegramas diplomáticos dos Estados Unidos
Dinamarca
Coroa dinamarquesa
Força Aérea Dinamarquesa
Partido Operário Social-Democrata da Suécia
Anders Björck
Áustria
Chéquia
Hungria
Lobismo
União Europeia
Euro
Brasília
General Electric
Boeing F/A-18E/F Super Hornet
Peso máximo de decolagem
Trem de pouso
Pilone aeronáutico
Fuselagem
Quilômetro
Milha
Radar de varredura eletrônica ativa
Finmeccanica
Quilômetro por hora
Velocidade supersónica
Porta-aviões
Década de 1990
Índia
Ministério da Defesa (Reino Unido)
Governo do Brasil
Suíça
Táxi (aviação)
Profundor
Arrasto induzido
Spoiler (aviação)
Customização
Força Aérea da África do Sul
Embraer
Força Aérea Brasileira
Barramento
Ada (linguagem de programação)
Cockpit
Radioaltímetro
GPS
Radar
Banda X
BAE Sea Harrier
Eurofighter Typhoon
Radar meteorológico
Míssil ar-ar
AIM-120 AMRAAM
AIM-9 Sidewinder
IRST
RCS (aviação)
Manete de empuxo
Head up display
Assento ejetor
Birdstrike
Pós-combustão
Canhão automático
Milímetros
Míssil ar-terra
AGM-65 Maverick
Míssil antinavio
Míssil de cruzeiro
Israel
Rafael Advanced Defense Systems
Neve
Guerra Fria
Lista de operadores do Saab JAS 39 Gripen
Fairford
Lockheed C-130 Hercules
Čáslav
Mikoyan-Gurevich MiG-21
União Soviética
Leasing
Mikoyan-Gurevich MiG-29
Bélgica
Turquia
Estados Unidos
Base da Força Aérea de Overberg
Tailândia
Força Aérea Real Tailandesa
Assembleia Nacional da Tailândia
Baht
Northrop F-5E Tiger II
Surat Thani
Reino Unido
Aeroporto Internacional de Navegantes
Embraer Defesa e Segurança
Interior de São Paulo
Porto de Navegantes
Gavião Peixoto
Base Aérea de Anápolis
Goiás
Belém (Pará)
Salinópolis
Pará
Show Aéreo Internacional de Farnborough
Franco suíço
Veículo aéreo não tripulado
Guerra eletrônica
Projeto FX-2
Força Aérea da Hungria
Esquadrão de Skaraborg
Número de série
Bangkok
Sveriges Television
Hat Yai
Dia das Crianças
Carga útil
Motor aeronáutico
Newton (unidade)
Libra-força
Nó (unidade)
Milha por hora
Carga alar
Taxa empuxo-peso
Força G
G (física)
Tubeira
Metralhadora
Canhão
Mísseis
Dassault Mirage 2000
Bonniers uppslagsbok
International Standard Book Number
The Guardian
Países Baixos
New York
International Standard Serial Number
Marinha do Brasil
Reuters
KTH
The Wall Street Journal
Londres
Flight International
Pennsylvania
Massachusetts
California
Maryland
Saab 17
Saab 29 Tunnan
Saab 32 Lansen
Saab 105
Saab 340
Saab 90 Scandia
Saab 2000
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
