Língua italiana
Bandeira da Itália
Emblema da Itália
Hino nacional da Itália
União Europeia
Roma
Cristianismo
Irreligião
Islamismo
Religião na Itália
Gentílico
Italianos
Política da Itália
República
Estado unitário
Parlamentarismo
Presidente da República Italiana
Sergio Mattarella
Lista de primeiros-ministros da Itália
Giorgia Meloni
Parlamento da Itália
Câmara alta
Senado da Itália
Câmara baixa
Câmara dos Deputados da Itália
História da Itália
Unificação italiana
17 de março
1861
2 de junho
1946
25 de março
1957
Geografia da Itália
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
França
Suíça
Áustria
Eslovénia
San Marino
Vaticano
Demografia da Itália
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
1 000 000 000 000
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Euro
ISO 4217
Fuso horário
Central European Time
Tempo Universal Coordenado
Horário de verão
Central European Summer Time
ISO 3166-1
Lista de TLDs
.it
Lista de códigos telefónicos
Língua alemã
Língua ladino-dolomítica
Tirol do Sul
Língua eslovena
Friuli-Venezia Giulia
Língua francesa
Vale de Aosta
Lira italiana
Estados membros da União Europeia
República parlamentarista
Europa meridional
Europa
Alpes
Península Itálica
Sicília
Sardenha
Mar Mediterrâneo
Enclave
Campione d'Italia
Clima temperado
Mundo ocidental
Império Romano
Santa Sé
Germanos
Lombardos
Ostrogodos
Gregos bizantinos
Normandos
Repúblicas marítimas
Renascimento
Reino da Sardenha
Reino das Duas Sicílias
Ducado de Milão
Cidade-estado
Risorgimento
Segunda Guerra Mundial
Império Italiano
Líbia
Eritreia
Somália
Etiópia
Albânia
Dodecaneso
Tianjin
China
Democracia
País desenvolvido
Índice de Qualidade de Vida
Zona Euro
G7
G20
Organização do Tratado do Atlântico Norte
Organização para a Cooperação e Desenvolvimento Econômico
Organização Mundial do Comércio
Conselho da Europa
União da Europa Ocidental
Organização das Nações Unidas
Reservas de ouro
Lista de países por gastos militares
Bomba nuclear
Média potência
Potência regional
Índice de educação
Globalização
Empréstimo (linguística)
Etruscos
Latinos
Oscos
Úmbrios
Língua úmbria
Antíoco de Siracusa
Calábria
Régio da Calábria
Catanzaro
Vibo Valentia
Enótria
Lucanos
Basilicata
Imperador romano
Augusto
Grécia Antiga
Dionísio de Halicarnasso
Italus
Enótrios
Aristóteles
Tucídides
Magna Grécia
Civilização romana
Igreja Católica
Humanismo
Fascismo
Cultura Nuráguica
Lista de povos itálicos
Afresco
Necrópole de Monterozzi
Neandertais
Paleolítico
Humano
Sítio arqueológico
Homo cepranensis
Gravina in Puglia
Nurago
Idade do Ferro
Lácio (região histórica)
Etrúria
Lígures
Povos itálicos
Vênetos
Celtas
Samnitas
Fundação de Roma
Roma Antiga
Reino de Roma
República Romana
Queda do Império Romano do Ocidente
Coliseu
Rio Tibre
Reino Romano
Sabinos
Rômulo
Numa Pompílio
Túlio Hostílio
Anco Márcio
Tarquínio Prisco
Sérvio Túlio
"Tarquínio, o Soberbo"
Mediterrâneo Oriental
Palestina (região)
Síria
Fenícia
Egito
Helenismo
Norte de África
Trajano
Legado romano
Civilização ocidental
Mundo moderno
Línguas românicas
Latim
Numerais romanos
Alfabeto latino
Calendário gregoriano
Religião mundial
Império Romano do Ocidente
Invasões bárbaras
Rómulo Augusto
Odoacro
Império Bizantino
Reino Ostrogótico
Reino Lombardo
Ducado de Benevento
História do islã no sul da Itália
Conquista normanda do sul da Itália
Reino Itálico
República de Veneza
República de Gênova
República de Pisa
República de Amalfi
Estados Pontifícios
Hérulos
Império Romano do Oriente
Justiniano
Guerra Gótica (535–554)
Hungria
Exarcado de Ravena
Francos
Carlos Magno
Estados Papais
Sacro Império Romano-Germânico
Imperador Romano-Germânico
Gibelinos
Guelfos
Marco Polo
As Viagens de Marco Polo
Ásia Central
Questão das Investiduras
Concordata de Worms
Liga Lombarda
Frederico I do Sacro Império Romano-Germânico
Batalha de Legnano
Oriente
Oligarquia
Stato da Màr
República de Ragusa
Ducado de Gaeta
República de Ancona
República de Noli
República de Florença
Cruzada
Emirado da Sicília
Dinastia de Hohenstaufen
Casa capetiana de Anjou
Reino de Aragão
Giudicati
Pandemia
Peste Negra
Renascença
Renascença italiana
Guerras Italianas
Reino da Itália (1805-1814)
Cidades-Estados
Reino da Sicília
Reino de Nápoles
Signoria
Dinastia
Mercenário
Condottieri
Alemanha
Florença
Milão
Veneza
Tratado de Lodi
Mecenato
Conquista de Constantinopla
Império Otomano
Casa dos Médici
Casa de Visconti
Casa de Sforza
Família Este
Ferrara
Família Gonzaga
Mântua
Leonardo da Vinci
Brunelleschi
Botticelli
Michelangelo
Giotto
Donatello
Ticiano
Rafael
Antiguidade Clássica
Leonardo Bruni
Antiguidade
Idade Média
Idade Moderna
Inglaterra
Descoberta da América
Descoberta do caminho marítimo para a Índia
Ásia
Império Português
Cristóvão Colombo
América
Espanha
Monarquia de Habsburgo
Império Espanhol
Nápoles
Sul da Itália
Guerra da Sucessão Espanhola
Casa de Saboia
Piemonte
Guerras Napoleônicas
Reino de Itália (1805-1814)
Estado cliente
Primeiro Império Francês
José Bonaparte
Joaquim Murat
Napoleão
Congresso de Viena
Revolução Francesa
Reino de Itália (1861–1946)
Unificação Italiana
Reino de Sardenha
Vítor Emanuel II da Itália
Conde de Cavour
Giuseppe Garibaldi
Reino Unido
Giuseppe Mazzini
Revoluções de 1848
Turim
Vêneto
Império Austríaco
