Bandeira do Senegal
Brasão de armas do Senegal
"Pincez Tous vos Koras, Frappez les Balafons"
Corá
Balafom
Dacar
Língua francesa
Gentílico
República
Semipresidencialismo
Estado unitário
Lista de presidentes do Senegal
Bassirou Diomaye Faye
Primeiro-ministro
Ousmane Sonko
Independência
França
4 de abril
1960
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Mauritânia
Mali
Guiné
Guiné-Bissau
Gâmbia
Lista de países por população
Densidade populacional
Produto interno bruto
Paridade do poder de compra
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Franco CFA
ISO 4217
ISO 3166-1
Lista de TLDs
.sn
Lista de códigos telefónicos
Balafon
Língua uólofe
Língua franca
África Ocidental
Oceano Atlântico
Sertão (geografia)
Cabo Verde
Futa Jalom
Clima
Clima tropical
Estação seca
Estação chuvosa
Império Uolofe
Império do Mali
Império Songai
Império colonial
Comércio triangular
Saint-Louis (Senegal)
Gorée
Rufisque
Comunas francesas
Revolução Industrial
Ferrovia
Protetorado
Conferência de Berlim
África Ocidental Francesa
Comunidade Económica dos Estados da África Ocidental
Macky Sall
União Africana
Comunidade dos Estados do Sahel-Saara
Rio Senegal
Língua uolofe
Uolofes
Berberes
Sanhajas
Albacri
História do Senegal
Islã
Soninquês
Império Almorávida
Magrebe
Escravidão em África
Pré-históricos
Historiador
Arábia
Era cristã
Norte da África
Islamismo
Mapa
História
Senegâmbia
Ilha de Gorée
África subsariana
Europeus
Tráfico de escravos para o Brasil
África
Portugueses
Cabo Verde (cabo)
Holandeses
Franceses
Foz
Escravos
Goma arábica
Ouro
Marfim
Feitoria
Rio
Reino Unido
Litoral
Tratado de Paris (1814)
Napoleão III da França
Território
Ponta-de-lança
África negra
Departamento ultramarino da França
Sudão Francês
Federação do Mali
Léopold Sédar Senghor
Política
Intelectual
Poesia
Abdou Diouf
Golpe de estado
Guerra
Economia
Relações internacionais
Eleições
Presidente
Primeiro ministro
Casamansa
Eleições presidenciais
Abdoulaye Wade
Movimento das Forças Democráticas de Casamança
Sul
Cessar-fogo
Constituição
Separatista
Espanha
Ilhas Canárias
ONU
Dólares
Amendoim
Separatistas
Geografia do Senegal
Litoral do Senegal
Altitude
Ilha
Continente
Areia
África do Sul
Pântano
Manguezal
Planície
Sedimento
Sudeste
Pré-Cambriana
Maciço
Metro
Temperatura
Precipitação (meteorologia)
Estação do ano
Umidade
Vegetação
Savana
Deserto de Ferio
Norte
Navegação
Enchente
Fenômeno natural
Caies
Rio Gâmbia
Rio Casamansa
Clima do Senegal
Areia Branca (Rio Grande do Norte)
Precipitação pluviométrica
Tornado
Harmatão
Leste
Nordeste
Vento
Fauna
Mamífero
Elefante
Antílope
Leão
Pantera
Hiena
Macaco
Reptile
Pitons
Cobras
Serpente
Veneno
Crocodilo
Hipopótamo
Tartaruga
Peixe
Crustáceo
Demografia do Senegal
Densidade demográfica
Fulas
Língua pulaar
Língua serer
Mandingas
Libaneses
Marroquinos
Segunda Guerra Mundial
Vietnamitas
Chineses
Refugiados
Asilo
Igreja Católica no Senegal
Estado laico
Cristianismo
Catolicismo
Animismo
Sunita
Sufismo
Califa
Marabuto
Dakar
Saint-Louis
Protestantismo
Baobá
Judaísmo
Budismo
Fé Bahá'í
Abdu'l-Bahá
Línguas do Senegal
Língua oficial
Francesa
Língua árabe
Língua diola
Língua nacional
Língua balanta
Língua mandinga
Língua mankania
Língua soninquê
Crioulos de base portuguesa
Crioulo de Casamança
Ziguinchor
Cabo-verdiana
Crioulo cabo-verdiano
Língua portuguesa
Ensino secundário
Ensino superior
Dacar (região)
Thiès
Thiès (região)
Kaolack (região)
Ziguinchor (região)
Diourbel (região)
Louga (região)
Política do Senegal
Parlamento do Senegal
Semipresidencialista
Academia Francesa
Francofonia
Unicameralismo
Bicameralismo
Freedom House
Tunísia
Egito
Marrocos
Irã
União Europeia
Conselho de Segurança das Nações Unidas
Comissão das Nações Unidas para os Direitos Humanos
Estados Unidos
Países desenvolvidos
Terceiro Mundo
Comunidade Econômica dos Estados da África Ocidental
República Democrática do Congo
Serra Leoa
Arábia Saudita
Iêmen
Xiitas
Houthis
Subdivisões do Senegal
Região de Diourbel
Região de Fatick
Região de Kaffrine
Região de Kaolack
Região de Kolda
Região de Louga
Região de Matam
Região de Saint-Louis
Região de Tambacounda
Região de Thiès
Região de Ziguinchor
Economia do Senegal
Exportação
Moeda
Taxa de câmbio
Preço
Subsídio
PIB
Inflação
Política monetária
Fundo Monetário Internacional
Pesca
Atum
Ásia
Fosfato
Cultura do Senegal
Instrumento de percussão
Youssou N'Dour
Sabar
Tambor falante
Cheikh Lô
Akon
Monumento da Renascença Africana
Estátuas mais altas do mundo
Lista de países
Missões diplomáticas do Senegal
International Monetary Fund
Relatório de Desenvolvimento Humano
International Standard Book Number
Wikimedia
Hino nacional do Senegal
Pan-africanismo
Afro (moeda)
Regiões da União Africana
Assembleia da União Africana
Comissão da União Africana
Parlamento Pan-africano
Banco Central Africano
Fundo Monetário Africano
Carta Africana dos Direitos Humanos e dos Povos
Alargamento da União Africana
Estados-membros da União Africana
Argélia
Angola
Benim
Botsuana
Burquina Fasso
Burundi
Camarões
Chade
Comores
Costa do Marfim
Djibuti
Eritreia
Essuatíni
Etiópia
Gabão
Gana
Guiné Equatorial
Lesoto
Libéria
Líbia
Madagascar
Maláui
Maurícia
Moçambique
Namíbia
Níger
Nigéria
Quênia
República Árabe Saaraui Democrática
República Centro-Africana
República do Congo
Ruanda
São Tomé e Príncipe
Seicheles
Somália
Sudão
Tanzânia
Togo
Uganda
Zâmbia
Zimbábue
Madagáscar
Quénia
Sudão do Sul
Ilha de Alborão
Ilhéu de Alhucemas
Canárias
Ceuta
Ilhas Chafarinas
Melilha
Ilhéu de Vélez de la Gomera
Maiote
Reunião (departamento)
Socotorá
Pantelária
Ilhas Pelágias
Região Autónoma da Madeira
"Santa Helena, Ascensão e Tristão da Cunha"
Saara Ocidental
Somalilândia
Banco do Geyser
Bassas da Índia
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Ilha Tromelin
Comunidade dos Países de Língua Portuguesa
País subdesenvolvido
Djibouti
Malawi
Zimbabwe
Haiti
Afeganistão
Bangladesh
Camboja
Iémen
Laos
Myanmar
Nepal
Timor-Leste
Ilhas Salomão
Kiribati
Tuvalu
Base Virtual Internacional de Autoridade
Museu Britânico
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Sistema Universitário de Documentação
Enciclopédia Treccani
Biblioteca Nacional do Brasil
Biblioteca Nacional de Israel
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
Sistema Unificado de Linguagem Médica
