Bandeira de El Salvador
Brasão de armas de El Salvador
San Salvador
Língua espanhola
Gentílico
Presidencialismo
Estado Unitário
Lista de presidentes de El Salvador
Nayib Bukele
Vice-presidente
Independência
Espanha
15 de setembro
1821
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Honduras
Guatemala
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Bitcoin
Dólar dos Estados Unidos
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário de verão
ISO 3166-1
Lista de TLDs
.sv
Lista de códigos telefónicos
Português europeu
Português brasileiro
Língua castelhana
País
América Central
Oceano Pacífico
Golfo de Fonseca
Nicarágua
Sonsonate
Capitania-geral da Guatemala
Estados Unidos da América Central
Era pré-colombiana
Senhorio de Cuzcatlán
Língua pipil
Indigofera
Café
Colón do Salvador
América Latina
Panamá
Costa Rica
Belize
História de El Salvador
Federação Centro-Americana
Guerra civil
Guerrilha
Pedro de Alvarado
Século
Maias
Vice-reino da Nova Espanha
Cidade da Guatemala
México
Primeiro Império Mexicano
República
Liberalismo
Conservadorismo
Desenvolvimento
Século XIX
Século XX
Política
Família
Elite
Economia
Ditadura
Maximiliano Hernández Martínez
Ditadura militar
Emigração
Organização dos Estados Americanos
Oscar Osorio
Oligarquia
Revolução cubana
Fidel Castro
Exército
Direita
Miséria
Esquerda
Direitos humanos
Década de 1970
Década de 1980
Refugiado
Problema
Carlos Humberto Romero
José Napoleón Duarte
Luta armada
Governo
Estados Unidos
Paz
Câncer
Eleição
Extrema direita
Alfredo Cristiani Burkard
Frente Farabundo Marti de Liberación Nacional
ONU
Pérez de Cuellar
Partido político
Armando Calderón Sol
Francisco Flores Pérez
Criptomoeda
Fundo Monetário Internacional
Política de El Salvador
Salvador Sánchez Cerén
Subdivisões de El Salvador
