Aço-liga
Energia nuclear
Diesel-elétrico
Embarcação
Povo dos Estados Unidos
Tartaruga (submarino)
Guerra de Independência dos Estados Unidos
Propulsão nuclear
Sino de mergulho
Impulsão
Aristóteles
"Alexandre, o Grande"
Leonardo da Vinci
Inventor
Cornelis Drebbel
Guerra da Independência Americana
Submarino Nautilus
Robert Fulton
Transporte de tração humana
Lançamento ao mar
Ar comprimido
Guerra Civil Americana
Submarino Hunley
Marinha dos Estados Confederados
Navio de guerra
Narcís Monturiol
Motor a combustão
Motor a vapor
Motor de combustão interna
Bateria (eletricidade)
Diesel-elétrica
Primeira Guerra Mundial
Segunda Guerra Mundial
Adjetivo
Vinte Mil Léguas Submarinas
Júlio Verne
Submersível (embarcação)
Flutuação
Hidrostática
Peso
Lastro (transporte)
Centro de gravidade
Batiscafo
Pascal (unidade)
Aço
Titânio
Casco (navio)
Densidade
Salinidade
Equilíbrio Instável
Hidrodinâmica
Hélice
Sistema de Posicionamento Global
Periscópio
Tubo
Prisma
Sensor
Fóton
Luz visível
Infravermelho
Perímetro
Charuto
Baleia
Arrasto
Tecnologia
Lágrima
Borracha
Rádio (comunicação)
Radar
Contramedida
Ponte de comando
Proa
Popa
Submarinos da classe Typhoon
Navegação
Soldagem
União Soviética
Mão de obra
Custo
Oceano Ártico
Veículo submarino operado remotamente
Civil
Militar
Cabo submarino
Submarino porta-aviões
Propulsão naval
Motor a diesel
Esnórquel
Célula de combustível
Marinha Real Canadense
Classe Foxtrot
Andra Pradexe
Índia
Classe Riachuelo
Marinha do Brasil
Turbina a vapor
Reator nuclear
Motor elétrico
Estados Unidos
Rússia
Inglaterra
França
China
Programa de Desenvolvimento de Submarinos
SN Álvaro Alberto (SN-10)
Submarino nuclear lançador de mísseis balísticos
Marinha Nacional Francesa
Canhão
Metralhadora
Convés
Míssil
Mina naval
Torpedo
Mk 46
Míssil de cruzeiro lançado de submarino
Míssil balístico lançado de submarino
UGM-133 Trident II
Míssil balístico
Arma termobárica
Classe Los Angeles
Sonar
Leme (navegação)
Marinha Militar Italiana
Gerador elétrico
Termo
Esquadrilha de Submarinos
Base Naval de Lisboa
Marinha Portuguesa
Submarino português Espadarte (1913)
Classe Tridente
NRP Tridente
NRP Arpão
Milhas náuticas
Nó (unidade)
Força de Submarinos
Classe Foca (Brasil)
F1 (submarino)
F3 (submarino)
F5 (submarino)
La Spezia
Itália
S Tupi (S-30)
S Tapajó (S-33)
S Tikuna (S-34)
S Riachuelo (S-40)
S Humaitá (S-41)
Classe Tupi
Classe Tikuna
Classe Scorpène
S Tonelero (S-42)
S Angostura (S-43)
Carga de profundidade
Guerra antissubmarino
Lista de submarinos da Marinha Portuguesa
Business Insider
Google Livros
International Standard Serial Number
Birreme
Brulote
Chata (embarcação)
Drómon
Galé
Galeaça
Liburna
Man-of-war
Navios Tartaruga
Penteconter
Quelândio
Trirreme
Xaveco (náutica)
Canhoneira
Contratorpedeiro
Corveta
Couraçado
Cruzador
Cruzador blindado
Cruzador de batalha
Cruzador pesado
Cruzador protegido
Cruzador rápido
Cruzador torpedeiro
Dreadnought
Fragata
Lancha de ação rápida
Lancha de desembarque
Lancha de fiscalização
Lanchas de desembarque médias
Lanchas de desembarque pequenas
Monitor encouraçado
Nave-mãe
Navio-almirante
Navio de assalto anfíbio
Navio de desembarque de doca
Navio de escolta
Navio de defesa de costa
Navio de guerra de minas
Navio-patrulha
Porta-aviões
Superporta-aviões
Barco torpedeiro
Militarismo
Lista de alianças militares
Conscrição
Armas combinadas
Ciência militar
Comando e controle
Condecoração militar
Ditadura militar
Diplomacia das canhoneiras
Doutrina militar
Engenharia militar
Estratégia militar
Exercício militar
Lista de países por gastos militares
Gendarmaria
Obediência hierárquica
História militar
Complexo militar-industrial
Indústria bélica
Instrução militar
Inteligência militar
Junta militar
Logística militar
Medicina militar
Empresa militar privada
Empreiteira militar
Mercenário
Milícia
Força paramilitar
Mulheres no serviço militar
Polícia militar
Polícia de fronteira
Polícia florestal
Profissionalização militar
Saúde militar
Serviço militar
Tecnologia militar
Blindagem reativa
Tecnologia stealth
Unidade militar
Uniforme militar
Arma de fogo
Listas de armas
Arma automática
Arma curta
Lista de armas de fogo
Arma de destruição em massa
Arma espacial
Arma ligeira
Arma longa
Arma química
Arma radiológica
Armeiro
Bomba
Bomba nuclear
Bomba de cobalto
Bomba de hidrogénio
Bomba de nêutrons
Carabina
Famílias de calibres
Fuzil
Lista de fuzis de assalto
Lista de fuzis de batalha
Lista de fuzis de precisão
Lança-granada
Lista de lançadores de granadas
Lista de metralhadoras
Metralhadora leve
Metralhadora média
Metralhadora pesada
Lista de submetralhadoras
Morteiro
Peça de artilharia
Lista de pistolas
Pistola-metralhadora
Pistola automática
Pistola semiautomática
Revólver
Conflito
Ataque militar
Contra-ataque (militar)
Batalha
Lista de batalhas
Campanha militar
Campo de batalha
Camuflagem militar
Combate
Combate em ambientes confinados
Comboio militar
Conquista militar
Guerrilha
Marcha para o contacto
Mobilidade operacional
Operação militar
Operações ofensivas
Operações defensivas
Operação de desembarque
Operações retrógradas
Perseguição (táctica militar)
Procurar e destruir
Reconhecimento em força
Reconhecimento especial
Tática militar
Teatro de operações
VERTREP
Guerra
Lista de guerras
Guerra aérea
Guerra anfíbia
Guerra assimétrica
Guerra biológica
Guerra civil
Lista de guerras civis
Guerra comercial
Guerra convencional
Guerra não convencional
Guerra ao Terror
Guerra da informação
Guerra de exaustão
Lista de guerras de independência (libertação nacional)
Guerras de secessão
Guerra econômica
Guerra eletrónica
Guerra mecanizada
Guerra naval
Lista de batalhas navais
Guerra nuclear
Guerra por procuração
Guerra psicológica
Guerra química
Guerra radiológica
Guerra santa
Guerra submarina irrestrita
Economia de guerra
Esforço de guerra
Filosofia da guerra
Forças armadas
Exército
Artilharia
Lista de artilharia por país
Artilharia autopropulsada
Artilharia a cavalo
Artilharia de campanha
Artilharia de costa
Artilharia de foguetes
Artilharia de montanha
Aviação ligeira militar
Atirador especial
Caçador (militar)
Cavalaria
Transmissões
Comandos
Corpo de exército
Defesa antiaérea
Lista de artilharia antiaérea
Exército privado
Exército regular
Força especial
Lista de forças de operações especiais
Fuzileiro
Guarda republicana
Grupo de exércitos
Infantaria
Infantaria de linha
Infantaria ligeira
Infantaria mecanizada
Infantaria moderna
Infantaria montada
Infantaria motorizada
Reserva militar
Tropas de choque
Carro de combate
Lista de veículos blindados de combate por país
Veículo blindado
Veículo blindado de combate
Veículo de combate de infantaria
Veículo blindado de transporte de pessoal
Marinha
Artilharia naval
Aviação naval
Base naval
Divisão naval
Engenharia naval
Esquadra naval
Estratégia naval
Infantaria de marinha
Fuzileiros navais
Guarda costeira
Guarda-marinha
Lista de porta-aviões
Lista de submarinos por país
Táticas navais
Força aérea
Aeronave militar
Lista de aviões de combate
Aviação militar
Apoio aéreo aproximado
Alerta Aéreo Antecipado
Cronologia de acidentes e incidentes da aviação militar
Armamento aeronáutico
Ataque aéreo
Atirador (aviação)
Atirador de cauda
Atirador de porta
Base aérea
Bombardeiro de mergulho
Caça noturno
Esquadrilha
Força espacial
Interdição aérea
Observador aéreo
Planador militar
Poder aéreo
Reabastecimento aéreo
Reconhecimento aéreo
Sistema Aéreo de Alerta e Controle
Veículo aéreo não tripulado
Veículo aéreo não tripulado de combate
Veículo aéreo não tripulado de grande autonomia e média altitude
Veículo aéreo não tripulado de vigilância e reconhecimento
Zona de exclusão aérea
