Bandeira da Roménia
Brasão de armas da Roménia
Latim
Hino nacional da Roménia
União Europeia
Bucareste
Língua romena
Gentílico
Romenos
República
Semipresidencialismo
Lista de presidentes da Romênia
Klaus Iohannis
Lista de primeiros-ministros da Romênia
Marcel Ciolacu
História da Roménia
Império Otomano
10 de maio
1877
União da Transilvânia com a Romênia
1 de dezembro
1918
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Hungria
Ucrânia
Moldávia
Bulgária
Sérvia
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
1 000 000 000
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Leu romeno
ISO 4217
Fuso horário
EET
Tempo Universal Coordenado
Horário de verão
EEST
ISO 3166-1
Lista de TLDs
.ro
Lista de códigos telefónicos
Português brasileiro
Português europeu
Estado unitário
Leste Europeu
Bálcãs
Mar Negro
Clima temperado
Clima continental
Lista de cidades da União Europeia por população
Igreja Ortodoxa
Línguas românicas
História da Romênia
Castelo de Bran
Dácia
Província romana
Império Romano
Principado
Principado da Moldávia
Principado da Valáquia
União pessoal
Primeira Guerra Mundial
Transilvânia
Bucovina
Bessarábia
Reino da Romênia
Segunda Guerra Mundial
União Soviética
Socialismo
Pacto de Varsóvia
Revolução Romena de 1989
Democracia
Economia de mercado
Capitalismo
Padrão de vida
Organização do Tratado do Atlântico Norte
Automobile Dacia
Roma Antiga
Humanista
Italianos
Principado da Transilvânia
Carta de Neacșu
Semântica
Servidão
Lista de reis da Romênia
Dácia (província romana)
Sarmizegetusa
Dácia Feliz
Homo sapiens
Peștera cu Oase
Europa
Neolítico
Cucuteni
Civilização
Cultura de Cucuteni
Vânători-Neamţ
Cultura Starčevo-Criş
Rio Danúbio
Rio Dniestre
Trácios
Dácios
Getas
Heródoto
Histórias (Heródoto)
Estrabão
Dião Cássio
Imperador romano
Trajano
Língua latina
Romanização
Língua protorromena
Minério
Ouro
Prata
Burebista
Decébalo
Romênia na Idade Média
"Miguel, o Valente"
Idade Média
Voivodato
Feitos dos Húngaros
Reino da Hungria
Estado
Bassarabe I da Valáquia
Suserania
Estêvão III da Moldávia
Demétrio Cantemiro
Mircea I da Valáquia
"Vlad, o Empalador"
João Corvino
Matias I da Hungria
Principados Unidos
Guerra de Independência da Romênia
Império Austro-Húngaro
Paris
Bandeira da Romênia
Grande potência
Guerra da Crimeia
Alexandre João Cuza
Golpe de Estado
Exílio
Carlos I da Romênia
Hohenzollern-Sigmaringen
Guerra russo-turca de 1877-1878
Tratado de Santo Estêvão
Tratado de Berlim (1878)
Dobruja
Segunda Guerra Balcânica
Campanha Romena
Grande Romênia
Romênia na Segunda Guerra Mundial
País neutro
Tratado de Bucareste (1916)
Áustria-Hungria
Tríplice Entente
Declaração de guerra
Tríplice Aliança (1882)
Potências Centrais
Tratado de Saint-Germain-en-Laye
Banato
Tratado de Trianon
Tratado de Paris (1920)
Período entre-guerras
Crescimento econômico
Desemprego
Guarda de Ferro
Fascista
Chauvinista
Carlos II da Romênia
Ion Antonescu
Adolf Hitler
Holocausto
Alemanha Nazi
Genocídio
Judeus
Ciganos
História dos judeus na Romênia
Transnístria
Crimes de guerra
Pacto Molotov-Ribbentrop
Alemanha nazista
Potências do Eixo
Operação Barbarossa
Petróleo
Terceiro Reich
Aliados (Segunda Guerra Mundial)
Golpe de Estado na Romênia em 1944
Tratado de Paris (1947)
República da Moldávia
Ocupação soviética da Romênia
República Socialista da Romênia
Nicolae Ceaușescu
Partido Comunista Romeno
Miguel I da Romênia
República popular
Nacionalização
Coletivização
Liberdade política
Dissidência
Securitate
Polícia secreta
Expurgo
Sionismo
Deportação
Trabalho forçado
Pena de morte
Anticomunismo
Bloco de Leste
Invasão da Tchecoslováquia
Tchecoslováquia
Comunismo
Estado comunista
Israel
Guerra dos Seis Dias
Alemanha Ocidental
Países árabes
Organização para a Libertação da Palestina
Dívida externa
Fundo Monetário Internacional
Banco Mundial
Austeridade
Culto de personalidade
Alargamento da União Europeia
Nota de 10 euros
OTAN
Cimeira de Bucareste de 2008
Ion Iliescu
Partido Social-Democrata (Roménia)
Chefe de Estado
Emil Constantinescu
Traian Băsescu
Guerra Fria
Europa Ocidental
Estados Unidos
Aliança militar
América do Norte
Itália
Espanha
Diáspora
Europa Oriental
Pobreza
Grande Recessão
The Economist
Reino Unido
Mapa topográfico
Classificação climática de Köppen
Geografia da Romênia
Danúbio
Cárpatos
Monte Moldoveanu
Brașov
Timișoara
Cluj-Napoca
Constança (Romênia)
Craiova
Iași
Brăila
Galați
Continente europeu
Estação do ano
°C
Verão
Inverno
Ecossistema
Fauna
Animais
Invertebrado
Vertebrado
Mamífero
Ave
Répteis
Anfíbio
Urso-europeu
Lobo
Rússia
Plantae
Reservas da biosfera
Delta do Danúbio
Pântano
Montanhas Parâng
Desnatalidade
Migração humana
Húngaros
Harghita
Covasna
Ucranianos
Alemães
Turcos (nacionalidade)
Russos lipovanos
Tártaros
China
Taxa de fecundidade
Taxa de natalidade
Taxa de mortalidade
Expectativa de vida
Roménia
Ploiești
Oradea
Iași (distrito)
Igreja ortodoxa
Religião na Romênia
Igreja Ortodoxa Romena
Catolicismo na Romênia
Estado laico
Religião oficial
Cristianismo
Cristãos ortodoxos
Protestantismo
Catolicismo romano
Igreja Greco-Católica Romena unida com Roma
Muçulmanos
Irreligião
Ateísmo
Agnosticismo
Catolicismo
Católico romano
Dobruja do Norte
Islamismo na Romênia
Turca
Tártaros da Crimeia
Crimeia
Língua oficial
Línguas românicas orientais
Língua arromena
Romeno meglesita
Língua istrorromena
Língua italiana
Língua francesa
Língua espanhola
Língua portuguesa
Língua materna
Língua húngara
Romani
Língua alemã
Língua turca
Língua ucraniana
Apátrida
Língua inglesa
Organização Internacional da Francofonia
Eurobarómetro
Parlamento Romeno
Constituição
Quinta República Francesa
Sistema político
Multipartidário
Separação de poderes
Poder executivo
Bicameralismo
Alta Corte de Cassação e Justiça (Romênia)
Tribunal supremo
Direito civil
Sistema inquisitorial
Referendo
Mundo ocidental
23 de março
Organização Mundial do Comércio
Missões diplomáticas da Romênia
Geórgia
Ex-repúblicas soviéticas
Cáucaso
Espaço Schengen
Parlamento Europeu
Conselho da União Europeia
Movimento pela unificação da Romênia e Moldávia
Protestos em Chișinău em 2009
Forças Armadas Romenas
Afeganistão
Euros
Guerra do Afeganistão (2001–presente)
MiG-21
Mig-29
F-16
Portugal
