Pedro
Pedro I
Lista de monarcas do Brasil
12 de outubro
1822
7 de abril
1831
1 de dezembro
Pedro II do Brasil
João VI de Portugal
Lista de monarcas de Portugal
10 de março
1826
2 de maio
Maria II de Portugal
"Isabel Maria de Bragança, regente de Portugal"
Duque de Bragança
1798
Palácio Nacional de Queluz
Reino de Portugal
24 de setembro
1834
Cripta Imperial do Ipiranga
Monumento à Independência do Brasil
São Paulo
Brasil
Maria Leopoldina da Áustria
Amélia de Leuchtenberg
Januária de Bragança
Paula de Bragança
Francisca de Bragança
Maria Amélia de Bragança
Casa Real
Casa de Bragança
Carlota Joaquina de Bourbon
Igreja Católica
Queluz (Portugal)
Imperador do Brasil
Abdicação de Pedro I do Brasil
Rei de Portugal e Algarves
Primeira invasão francesa de Portugal
Transferência da corte portuguesa para o Brasil
Revolução liberal do Porto
Independência do Brasil
Confederação do Equador
Província de Pernambuco
Província Cisplatina
Províncias Unidas do Rio da Prata
Guerra da Cisplatina
Rei de Portugal
Cisplatina (província)
Uruguai
Miguel I de Portugal
Europa
Península Ibérica
Liberalismo
Absolutismo
Tuberculose
Portugal
Representação política
Dom Quixote
Palácio Real de Queluz
Pedro de Alcântara
Dom (título)
Dinastia de Bragança
Maria I de Portugal
Pedro III de Portugal
Carlos IV de Espanha
Maria Luísa de Parma
Herdeiro aparente
Príncipe da Beira
"Francisco António, Príncipe da Beira"
Palácio Nacional de Mafra
Palácio do Ramalhão
"Maria Teresa de Bragança, infanta de Portugal"
"Maria Isabel de Bragança, Rainha de Espanha"
Maria Francisca de Assis de Bragança
Circa
Francesco Bartolozzi
Napoleão Bonaparte
Oceano Atlântico
Rio de Janeiro (cidade)
Estado do Brasil
Eneida
Virgílio
Paço Imperial
Quinta da Boa Vista
Antônio de Arrábida
Matemática
Economia política
Lógica
História
Geografia
Música clássica
Língua portuguesa
Latim
Língua francesa
Língua inglesa
Língua alemã
Otávio Tarquínio de Sousa
Jean-Baptiste Debret
Fazenda Imperial de Santa Cruz
Marcos Portugal
Piano
Flauta
Violão
Maria Leopoldina de Áustria
Francisco I da Áustria
Maria Teresa da Sicília
Januária Maria de Bragança
Teatro João Caetano (Rio de Janeiro)
Cortes Gerais e Extraordinárias da Nação Portuguesa
Monarquia absoluta
Voltaire
Benjamin Constant (escritor)
Edmund Burke
Simplício Rodrigues de Sá
Tenente-general
Jorge de Avilez Zuzarte de Sousa Tavares
Reino do Brasil
Dia do Fico
José Bonifácio de Andrada e Silva
Província de Minas Gerais
Província de São Paulo
Autorregulamentação
Primeiro reinado
Constituição da mandioca
Constituição brasileira de 1824
Primeira Assembleia Nacional Constituinte do Brasil
Coroação de Pedro I do Brasil
Capela Real do Rio de Janeiro
Rio de Janeiro
Império do Brasil
Pedro Américo
Conselho de Estado (Brasil)
Província da Paraíba
Província do Ceará
"Thomas Cochrane, 10º Conde de Dundonald"
Comarca do Rio de São Francisco
Província da Bahia
Antônio Joaquim Franco Velasco
Tratado do Rio de Janeiro (1825)
Reino Unido da Grã-Bretanha e Irlanda
África
União pessoal
Maria da Assunção de Bragança
Ana de Jesus Maria de Bragança
Largo de São Francisco de Paula
Domitila de Castro Canto e Melo
Dama de companhia
São José (Santa Catarina)
Província de Santa Catarina
Porto Alegre
Província de São Pedro do Rio Grande do Sul
Eugênio de Beauharnais
Augusta da Baviera
Marc Ferrez (escultor)
Paços do Concelho de Angra do Heroísmo
Partido Liberal (Império do Brasil)
Monarquia constitucional
Câmara dos Deputados do Brasil
"Francisco Gomes da Silva, o Chalaça"
Direito divino dos reis
Príncipe Imperial do Brasil
Noite das Garrafadas
Guerra Civil Portuguesa
Cherbourg-Octeville
Monarquia de Julho
Paris
Guerra Civil Portuguesa (1832-1834)
Cerco do Porto
Charles John Napier
"Gilbert du Motier, Marquês de La Fayette"
Guerra da Independência dos Estados Unidos
Revolução Francesa
Açores
Porto
Almeida Garrett
Alexandre Herculano
Antônio Carlos Ribeiro de Andrada Machado e Silva
Irmãos Andradas
Partido Restaurador
Algarve
"Carlos de Bourbon, Conde de Molina"
Isabel II de Espanha
Concessão de Évora Monte
Epilepsia
Igreja da Lapa (Porto)
Panteão da Dinastia de Bragança
