Comunidade Andina de Nações
25 de outubro
1979
La Paz
Bolívia
Colômbia
Equador
Peru
Venezuela
1984
22 de abril
2006
Bogotá
Lima
Parlamento do Mercosul
Parlamento Latino-americano
Relações internacionais
Diplomacia
Comunidade Andina
Chile
Argentina
Brasil
Paraguai
Uruguai
México
Panamá
Banco de Desenvolvimento da América Latina
Acordo de Cartagena
Integração sul-americana
Passaporte andino
Bandeira da Comunidade Andina de Nações
