Português brasileiro
Português europeu
Bebida
Laranja
Açúcar
Adoçante
Vitamina C
Nutrientes
Comércio
Produção
Brasil
Século XX
Exportação
Cutrale
Proteína
Gordura
Ácido graxo
Colesterol
Carboidrato
Cálcio
Fósforo
Ferro
Potássio
Sódio
Vitamina A
Retinol
Tiamina
Riboflavina
Niacina
Ácido ascórbico
Indústria de bebidas
Suco
