Unidade de medida
Tempo
Segundo
Minuto
Hora
Dia
Semana
Quinzena
Mês
Bimestre
Trimestre
Quadrimestre
Semestre
Ano
Biênio
Triênio
Quadriênio
Quinquênio
Década
Século
Milênio
Ano sideral
Comprimento
Metro
Nanómetro
Micrómetro (unidade de medida)
Quilômetro
Angstrom
Unidade astronômica
Ano-luz
Parsec
Polegada
Pé
Jarda
Milha
Milha náutica
Légua
Braça
Área
Hectare
Are
Barn
Shed
Acre (unidade)
Alqueire
Polegada quadrada
Pé quadrado
Volume
Metro cúbico
Litro
Galão
Barril (unidade)
Pinto (medida)
Quarto (volume)
Onça (volume)
Gill (volume)
Xícara
Colher
Massa
Quilograma
Grama
Tonelada
Unidade de massa atômica
Libra (massa)
Quilate
Arroba
Saca
Onça (massa)
Grão (massa)
Quantidade de substância
Mol
Temperatura termodinâmica
Kelvin
Grau Celsius
Grau Fahrenheit
Rankine
Eletricidade
Ampere
Coulomb
Volt
Ohm
Joule
Elétron-volt
Caloria
Watt-hora
BTU
Siemens (unidade)
Condutância elétrica
Intensidade luminosa
Candela
Velocidade
Metro por segundo
Quilômetro por hora
Milha por hora
Nó (unidade)
Pés por segundo
Radiano por segundo
Rpm
Ângulo plano
Ângulo sólido
Fase (física)
Radiano
Grau (geometria)
Minuto de arco
Segundo de arco
Grado (ângulo)
Esferorradiano
Frequência
Hertz
Pressão
Pascal
Bar (unidade)
Psi (unidade)
Atmosfera (unidade)
Milímetro de mercúrio
Torr
Força
Newton (unidade)
Dina
Quilograma-força
Libra-força
Torque
Newton-metro
Potência
Watt
Erg
Cavalo-vapor
Horse power
Volt-ampere reativo
Capacitância
Farad
Indutância
Henry (unidade)
Fluxo magnético
Fluxo luminoso
Weber (unidade)
Maxwell (unidade)
Tesla (unidade)
Gauss (unidade)
Lúmen
Lux
Atividade catalítica
Katal
Radionuclídeos
Becquerel
Curie
Dose absorvida
Dose equivalente
Gray (unidade)
Sievert
Densidade
Quilograma por metro cúbico
Viscosidade cinemática
Viscosidade dinâmica
Stokes
Pascal segundo
Poise
Aceleração
Metro por segundo ao quadrado
Gal (unidade)
Pés por segundo ao quadrado
Aceleração da gravidade
Razão
Porcentagem
Parte por milhão
Escala logarítmica
Decibel
Bel (unidade)
Neper
Informação
Bit
Byte
Símbolo
Sistema Internacional de Unidades
Quadrado
Agrimensura
Decâmetro quadrado
Hectômetro quadrado
Quadrado (aritmética)
Centímetro quadrado
Centímetro
Largura
Centímetros
Milímetro quadrado
Decímetro quadrado
Quilômetro quadrado
Jarda quadrada
Sistema de unidades
Prefixo SI
Sistema de numeração decimal
Quetta (prefixo)
Ronna
Yotta
Zetta
Exa
Peta (prefixo)
Tera
Giga
Mega
Quilo
Hecto
Deca
Dez
Um
Deci
Centi
Milli
Micro
Nano
Pico (prefixo)
Femto
Atto
Zepto
Yocto
Ronto
Quecto
Ir para cima
Sistema CGS de unidades
Decâmetro
Decímetro
Milímetro
Megametro
Gigametro
Nanômetro
Terametro
Picômetro
Petametro
Femtômetro
Exametro
Attômetro
Zettametro
Zeptômetro
Yottametro
Yoctômetro
Multiplicação
Tabela de conversão de unidades
Unidades de área
Ordens de magnitude (área)
Escalas curta e longa
Wikimedia
Sistema métrico
Sistema MKS de unidades
Sistema metro-tonelada-segundo de unidades
Unidades naturais
Sistema de unidade geometrizada
Unidades de Planck
Unidades atômicas
Sistema astronômico de unidades
Unidades inglesas de engenharia
Avoirdupois
Unidade inglesa
Antigas unidades de medida portuguesas
Unidades de medida chinesas
Unidades de medida japonesas
Unidades de medida da Roma Antiga
Unidades de medida da antiga Mesopotâmia
Modulor
Tesauro de Arte e Arquitetura
