Bandeira de Cuba
Brasão de Cuba
La Bayamesa
Havana
Língua espanhola
Gentílico
Cubanos
Estado socialista
Marxismo-leninismo
Estado unitário
Unipartidarismo
Presidente do Conselho de Estado da República de Cuba
Miguel Díaz-Canel
Vice-presidente
Salvador Valdés Mesa
Lista de chefes de governo de Cuba
Manuel Marrero Cruz
Esteban Lazo Hernández
Assembleia Nacional do Poder Popular
Independência
Espanha
10 de outubro
1898
República
20 de maio
1902
Revolução Cubana
1 de janeiro
1959
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Peso cubano
ISO 4217
Fuso horário
UTC−05:00
Tempo Universal Coordenado
Horário de verão
UTC−04:00
Lista de TLDs
.cu
Lista de códigos telefónicos
Língua castelhana
País insular
Mar do Caribe
América
Ilha da Juventude
Arquipélago
Caribe
Golfo do México
Oceano Atlântico
Península de Iucatã
México
Estados Unidos
Flórida
Bahamas
Hispaniola
Jamaica
Ilhas Cayman
Cidade
Capital
Santiago de Cuba
Camagüey (província)
Geografia de Cuba
Haiti
Ciboneis
Taínos
Quarto milénio a.C.
Colonização espanhola da América
Colónia
Império Espanhol
Guerra Hispano-Americana
Emenda Platt
República de Cuba (1902–1959)
De facto
Golpe de Estado
Ditadura
Fulgencio Batista
Corrupção
Movimento 26 de Julho
Ditadura do proletariado
Partido Comunista de Cuba
Fidel Castro
Parlamento
Poder Legislativo
Guerra Fria
União Soviética
Guerra nuclear
Crise dos mísseis de Cuba
Estados socialistas
Ásia
África
Operação Carlota
Forças armadas da África do Sul
Apartheid
África do Sul
América Latina
Cultura de Cuba
Comércio de escravos no Atlântico
Relações Cuba-União Soviética
Estado soberano
Organização das Nações Unidas
Grupo dos 77
Movimento Não Alinhado
Países ACP
Aliança Bolivariana para os Povos da Nossa América
Organização dos Estados Americanos
Economia planificada
Açúcar
Tabaco
Café
World Wide Fund for Nature
Programa Alimentar Mundial
Nações Unidas
Língua taína
Aruaques
Cristóvão Colombo
Cuba (Portugal)
Alentejo
História de Cuba
Hatuey
Paleolítico
Mongolóide
Antilhas
Povos ameríndios
América do Sul
América Central
América do Norte
Joana de Castela
Fernando II de Aragão
Lista de monarcas da Espanha
Colonização
Diego Velázquez de Cuéllar
Conquistador
Baracoa
Luisiana (Nova Espanha)
Bayamo
Trinidad (Cuba)
Camaguey
Sancti Spíritus
Encomienda
Feudalismo
Infecção
Sarampo
Varíola
Século XVI
Pánfilo de Narváez
Juan de Grijalva
Monocultura
Plantation
Vice-Reino da Nova Espanha
Capitania-Geral de São Domingos
José Moñino y Redondo
Flórida espanhola
Capitania-Geral de Cuba
França
Índias Ocidentais
Castillo del Morro
Hernando de Soto
Região Sudeste dos Estados Unidos
Barbados
Colônia da Virgínia
Saint-Domingue
Cerco de Havana
Guerra dos Sete Anos
Arquiducado da Áustria
Suécia
Finlândia
Império Russo
Reino de Portugal
Reino da Prússia
Confederação Iroquois
Ambrosio de Funes Villalpando
Guilherme IV do Reino Unido
Tratado de Paris (1783)
Revolução Haitiana
Maine
Iorubás
História da descolonização da América
Guerra de Independência Cubana
Carlos Manuel de Céspedes
Guerra dos Dez Anos
República Dominicana
Chineses
Servidão por contrato
Pacto de Zanjón
Calixto García
Guerra Chiquita
José Martí
Partido Revolucionário Cubano (1892)
Nova Iorque
San Fernando de Monte Cristi
Santo Domingo
Máximo Gómez
Batalha de Dos Ríos
Guerrilha
Sabotagem
Valeriano Weyler
Cruz Vermelha
Secretário da Guerra dos Estados Unidos
USS Maine (ACR-1)
Bandeira cubana
Tratado de Paris (1898)
Porto Rico
Filipinas
Guam
Protetorado
Base Naval da Baía de Guantánamo
Tomás Estrada Palma
Charles Edward Magoon
José Miguel Gómez
Gerardo Machado
Quinta-Feira Negra
Carlos Manuel de Céspedes y Quesada
Fulgêncio Batista
Classe média
Corrupção política
Casino
Droga
Prostituição
Per capita
Pentarquia de 1933
Revolta dos Sargentos (Cuba)
Ramón Grau San Martín
Segunda Guerra Mundial
Espanha franquista
Carlos Prío Socarrás
Partido Auténtico
Favelas
Estádio Latinoamericano
Che Guevara
Alberto Korda
Granma (embarcação)
Serra Maestra
Santa Clara (Villa Clara)
Madeira
Estoril
Lisboa
Manuel Urrutia Lleó
Baía de Guantánamo
Dwight D. Eisenhower
Central Intelligence Agency
Invasão da Baía dos Porcos
John F. Kennedy
Terceira Guerra Mundial
União das Repúblicas Socialistas Soviéticas
Guerra das Areias
Argélia
Marrocos
Invasão da República Dominicana pelos Estados Unidos em 1965
Bolívia
Movimento Popular de Libertação de Angola
Angola
Batalha de Cuito Cuanavale
União Nacional para a Independência Total de Angola
República Democrática Popular da Etiópia
Mengistu Haile Mariam
Oriente Médio
Iémen do Sul
Iêmen do Norte
Guerra do Yom Kippur
Israel
Egito
Iraque
Guatemala
El Salvador
Nicarágua
Sudeste Asiático
Vietnã do Norte
Vietnã do Sul
Guerra do Vietnã
Iuri Gagarin
Politburo
Alemanha Oriental
Muro de Berlim
Portão de Brandemburgo
Analfabetismo
Campanha Nacional de Alfabetização em Cuba
Saúde pública
Mortalidade infantil
Universidade Federal de Uberlândia
Võ Nguyên Giáp
Granada (país)
Dissolução da União Soviética
Maleconazo
China
Petróleo
Venezuela
Hugo Chávez
Evo Morales
Primavera Negra
Oposição cubana
Raúl Castro
