Brasil
Unidades federativas do Brasil
Poder legislativo
Deputado estadual
Unicameral
Método D'Hondt
Câmara dos Deputados do Brasil
Governador
Vice-governador
Constituição brasileira de 1824
Dom Pedro I
25 de março
1824
Conselho Geral de Província
Ato Adicional de 1834
27 de junho
1835
1º de março
1846
1º de outubro
Município
Província
Educação
Desapropriação
Orçamento
Salário
Estrada
Navegação
Prisão
Religião
Proclamação da República do Brasil
Câmara dos Deputados
Deputado federal
Constituição Federal de 1988
Câmara Legislativa do Distrito Federal
Deputado distrital
Assembleia Legislativa do Acre
Assembleia Legislativa de Alagoas
Assembleia Legislativa do Amapá
Assembleia Legislativa do Amazonas
Assembleia Legislativa da Bahia
Assembleia Legislativa do Ceará
Assembleia Legislativa do Espírito Santo
Assembleia Legislativa de Goiás
Assembleia Legislativa do Maranhão
Assembleia Legislativa de Mato Grosso
Assembleia Legislativa de Mato Grosso do Sul
Assembleia Legislativa de Minas Gerais
Assembleia Legislativa do Pará
Assembleia Legislativa da Paraíba
Assembleia Legislativa do Paraná
Assembleia Legislativa de Pernambuco
Assembleia Legislativa do Piauí
Assembleia Legislativa do Rio de Janeiro
Assembleia Legislativa do Rio Grande do Norte
Assembleia Legislativa do Rio Grande do Sul
Assembleia Legislativa de Rondônia
Assembleia Legislativa de Roraima
Assembleia Legislativa de Santa Catarina
Assembleia Legislativa de Sergipe
Assembleia Legislativa de São Paulo
Assembleia Legislativa do Tocantins
Congresso Nacional do Brasil
Senado estadual
Câmara municipal (Brasil)
Poder Legislativo do Brasil
Senado Federal do Brasil
Câmara Municipal de Araraquara
Câmara Municipal de Belo Horizonte
Câmara Municipal de Blumenau
Câmara Municipal de Caetité
Câmara Municipal de Campinas
Câmara Municipal de Cuiabá
Câmara Municipal de Dourados
Câmara Municipal de Fortaleza
Câmara Municipal de Fundão (Espírito Santo)
Câmara Municipal de Goiânia
Câmara Municipal de Itacoatiara
Câmara Municipal de Manaus
Câmara Municipal de Natal
Câmara Municipal de Niterói
Câmara Municipal de Nova Iguaçu
Câmara Municipal de Palmácia
Câmara Municipal de Pelotas
Câmara Municipal de Porto Alegre
Câmara Municipal do Recife
Câmara Municipal do Rio de Janeiro
Câmara Municipal de Salvador
Câmara Municipal de Santa Maria
Câmara Municipal de Santo André
Câmara Municipal de Santos
Câmara Municipal de São Carlos
Câmara Municipal de São José dos Campos
Câmara Municipal de São Luís
Câmara Municipal de São Mateus (Espírito Santo)
Câmara Municipal de São Paulo
Câmara Municipal de São Paulo do Potengi
Câmara Municipal de São Vicente
Câmara Municipal de Sorocaba
Câmara Municipal de Vitória
Tribunais de contas do Brasil
Tribunal de Contas da União
Tribunal de Contas do Estado da Bahia
Tribunal de Contas do Estado de Goiás
Tribunal de Contas do Estado do Pará
Tribunal de Contas do Estado do Acre
Tribunal de Contas do Estado do Amazonas
Tribunal de Contas do Distrito Federal
Tribunal de Contas do Estado do Espírito Santo
Tribunal de Contas do Estado do Maranhão
Tribunal de Contas do Estado de Mato Grosso
Tribunal de Contas do Estado de Mato Grosso do Sul
Tribunal de Contas do Estado de Minas Gerais
Tribunal de Contas do Estado da Paraíba
Tribunal de Contas do Estado do Paraná
Tribunal de Contas do Estado do Piauí
Tribunal de Contas do Estado do Rio de Janeiro
Tribunal de Contas do Estado do Rio Grande do Sul
Tribunal de Contas do Estado de Santa Catarina
Tribunal de Contas do Estado de São Paulo
Tribunal de Contas do Estado de Sergipe
Tribunal de Contas dos Municípios do Estado da Bahia
Tribunal de Contas dos Municípios do Estado do Ceará
Tribunal de Contas do Município do Rio de Janeiro
Tribunal de Contas do Município de São Paulo
Palácio Adauto Bezerra
Palácio Domingos Martins
Palácio Guaicurus
Palácio da Inconfidência
Palácio José Augusto
Palácio Farroupilha
Palácio Tiradentes
Palácio Barriga Verde
Palácio 9 de Julho
