Estado de conservação
Espécie em perigo
Classificação científica
Reino (biologia)
Plantae
Divisão (biologia)
Magnoliophyta
Classe (biologia)
Magnoliopsida
Ordem (biologia)
Fabales
Família (biologia)
Fabaceae
Caesalpinioideae
Género (biologia)
Espécie
Nomenclatura binomial
Lam.
Sinonímia (taxonomia)
Caesalpinia
Árvore
Mata Atlântica
Brasil
Língua francesa
Dialeto toscano
Biancaea
Língua árabe
Iêmen
Língua tupi
Pernambuco
Ciclo do pau-brasil
Acúleo
Flor
Racemo
Estame
Pistilo
Ovário (botânica)
Fruto
Vagem
Semente
Florianópolis
Floresta ombrófila densa
Nordeste
Rio de Janeiro (estado)
Rio Grande do Norte
Paraíba
Alagoas
Sergipe
Bahia
Espírito Santo (estado)
Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis
União Internacional para a Conservação da Natureza e dos Recursos Naturais
São Lourenço da Mata
Universidade Federal Rural de Pernambuco
Glória do Goitá
Itamaraju
Atividade econômica
Portugal
Terra de Santa Cruz
Século XVI
Ordenações Manuelinas
Ordenações Filipinas
Madeira de lei
Nicolas Durand de Villegaignon
França Antártica
Carl Friedrich Philipp von Martius
Coroa portuguesa
Agricultura
1875
Anilina
Têxtil
Terroso
Marcenaria
Violino
Extinção
Cana-de-açúcar
Cafeeiro
Pedro II do Brasil
Século XX
Oswald de Andrade
Jardim Botânico do Rio de Janeiro
Quinta da Boa Vista
Jardim Botânico de São Paulo
Ipê-amarelo-flor-de-algodão
Símbolos do Brasil
International Standard Serial Number
Digital object identifier
Harri Lorenzi
Taxonomia
Global Biodiversity Information Facility
INaturalist
International Plant Names Index
União Internacional para a Conservação da Natureza
National Center for Biotechnology Information
Convenção sobre o Comércio Internacional das Espécies Silvestres Ameaçadas de Extinção
Tropicos
Sistema Unificado de Linguagem Médica
UNII
