Década de 1930
Século XX
Política ambiental
Sistema Nacional do Meio Ambiente
Código Florestal brasileiro de 1934
1934
Ministério das Minas e Energia
Ministério da Agricultura e Pecuária
1937
Parque Nacional do Itatiaia
1967
Ibama
Década de 1970
Aquecimento global
Os Limites do Crescimento
Donella Meadows
Conferência de Estocolmo
1972
Brasil
Terceiro mundo
Terceiro Mundo
Companhia Ambiental do Estado de São Paulo
Fundação Estadual de Engenharia do Meio Ambiente
Conselho Nacional do Meio Ambiente
Estudo de Impacto Ambiental
Reserva Legal
Conferência das Nações Unidas sobre Meio Ambiente e Desenvolvimento
Ministério do Meio Ambiente e Mudança do Clima
Lei de Crimes Ambientais
Sistema Nacional de Unidades de Conservação da Natureza
International Standard Serial Number
Digital object identifier
publicação de acesso livre - leitura gratuita
