HMS Victory
Marinha Real Britânica
Comandante
Esquadra naval
Galhardete
Horatio Nelson
Popa
Almirante
Christopher Newport
Almirante Nelson
Batalha de Trafalgar
Inglaterra
USS Constitution
Marinha dos Estados Unidos
Século XIX
Segunda Guerra Mundial
Ir para cima
Navio de guerra
Birreme
Brulote
Chata (embarcação)
Drómon
Galé
Galeaça
Liburna
Man-of-war
Navios Tartaruga
Penteconter
Quelândio
Trirreme
Xaveco (náutica)
Canhoneira
Contratorpedeiro
Corveta
Couraçado
Cruzador
Cruzador blindado
Cruzador de batalha
Cruzador pesado
Cruzador protegido
Cruzador rápido
Cruzador torpedeiro
Dreadnought
Fragata
Lancha de ação rápida
Lancha de desembarque
Lancha de fiscalização
Lanchas de desembarque médias
Lanchas de desembarque pequenas
Monitor encouraçado
Nave-mãe
Navio de assalto anfíbio
Navio de desembarque de doca
Navio de escolta
Navio de defesa de costa
Navio de guerra de minas
Navio-patrulha
Porta-aviões
Submarino
Submarino porta-aviões
Superporta-aviões
Barco torpedeiro
