Região Autónoma da Madeira
Tronco (órgão vegetal)
Património da humanidade
Kizhi
Rússia
Matéria-prima
Tecido
Planta lenhosa
Material orgânico
Celulose
Hemicelulose
Lenhina
Higroscopia
Árvore
Planta perene
Caule
Sintético
Energia
Polpa
Papel
Marceneiro
Carpintaria
Navio
Arquitectura
Engenharia civil
Terra
Desflorestação
Habitat
Espécie
Biodiversidade
Teixo
Câmbio vascular
Floema
Súber
Ritidoma
Fisiologia
Cerne
Borne
Alburno
Casca
Periderme
Cortiça
Câmbio cortical
Feloderme
Seiva
Xilema
Medula (botânica)
Meristema apical
Raiz
Folha (botânica)
Nogueira
Pinheiro
Castanho (madeira)
Robínia
Amoreira
Laranjeira-dos-osage
Sassafrás
Ácer
Freixo
Ulmeiro
Faia
Pinho
Inseto
Larva
Solo
Luz
Nutriente
Carvalho
Dureza
Força
Etimologia
Meristema
Crescimento (biologia)
Garden of the Gods
Colorado Springs
Colorado
Fibra
Ângulo
Tracção (física)
Compressão
Viga
Cisalhamento
Sequóia
Conífera
Pinus
Angiosperma
Balsa (madeira)
Mogno
Moldes
Oxidação
Resina
Térmita
Acendalha
Abeto
Fungos
Água
Parede Celular
Protoplasma
Célula
Creosote
Dendrocronologia
Traqueídeo
Anatomia vegetal
Madeira tratada
Engenharia florestal
Derivados da madeira
Indústria madeireira
Pellet de madeira
Preservação de madeiras
Serragem
Xiloteca
Digital object identifier
PDF
International Standard Serial Number
Wikimedia
Botânica
Etnobotânica
Paleobotânica
Palinologia
Ecologia vegetal
Morfologia vegetal
Fisiologia vegetal
Dendrologia
Dendrometria
Plantae
História evolutiva das plantas
Alga
Bryophyta sensu lato
Pteridophyta
Gimnospérmica
Estômato
Flor
Fruto
Biologia celular
Célula vegetal
Clorofila
Cloroplasto
Fitormônio
Fotossíntese
Parede celular
Plastídeo
Transpiração
Alternância de gerações
Dioicia
Esporo
Esporófito
Gametófito
Pólen
Polinização
Semente
Taxonomia
Nome botânico
Nomenclatura botânica
Herbário
Código Internacional de Nomenclatura Botânica
Sistema APG II
Sistema APG III
Sistema APG IV
Species Plantarum
Relações ecológicas
Defesas vegetais contra a herbivoria
Planta carnívora
Planta protocarnívora
Fitossociologia
Síndrome de polinização
Dispersão de sementes
