Tribunal
Poder Judiciário do Brasil
Órgão colegiado
Juízes
Segunda instância
Desembargador
Tribunal de Justiça de Pernambuco
Recife
Tribunal de Justiça do Estado do Rio de Janeiro
Rio de Janeiro
Capitanias do Brasil
Donatário
1548
1609
Tribunal da Relação
1751
1763
Transferência da corte portuguesa para o Brasil
1808
1828
1824
Supremo Tribunal de Justiça
Província
1889
1934
1937
Tribunal de apelação
1946
Constituição Federal de 1988
Recurso (direito)
Lei
Advogado
Ministério Público do Brasil
Jurisdição
Corregedoria
Judiciário
Magistrado
Acre
Tribunal de Justiça do Estado do Acre
Alagoas
Tribunal de Justiça do Estado de Alagoas
Amapá
Tribunal de Justiça do Estado do Amapá
Amazonas
Tribunal de Justiça do Estado do Amazonas
Bahia
Tribunal de Justiça do Estado da Bahia
Ceará
Tribunal de Justiça do Estado do Ceará
Distrito Federal (Brasil)
Tribunal de Justiça do Distrito Federal e dos Territórios
Espírito Santo (estado)
Tribunal de Justiça do Estado do Espírito Santo
Goiás
Tribunal de Justiça do Estado de Goiás
Maranhão
Tribunal de Justiça do Estado do Maranhão
Mato Grosso
Tribunal de Justiça do Estado de Mato Grosso
Mato Grosso do Sul
Minas Gerais
Tribunal de Justiça do Estado de Minas Gerais
Pará
Tribunal de Justiça do Estado do Pará
Paraíba
Tribunal de Justiça da Paraíba
Paraná
Tribunal de Justiça do Estado do Paraná
Pernambuco
Piauí
Tribunal de Justiça do Estado do Piauí
Rio de Janeiro (estado)
Rio Grande do Norte
Tribunal de Justiça do Estado do Rio Grande do Norte
Rio Grande do Sul
Tribunal de Justiça do Estado do Rio Grande do Sul
Rondônia
Tribunal de Justiça do Estado de Rondônia
Roraima
Tribunal de Justiça do Estado de Roraima
Santa Catarina
Tribunal de Justiça de Santa Catarina
São Paulo (estado)
Tribunal de Justiça do Estado de São Paulo
Sergipe
Tribunal de Justiça do Estado de Sergipe
Tocantins
Tribunal de Justiça do Estado do Tocantins
Primeira instância
Sentença
Acórdão
Prefeito
Brasil
Justiça Federal
Justiça do Trabalho do Brasil
Justiça Eleitoral do Brasil
Justiça Militar do Brasil
Justiça Militar da União
Supremo Tribunal Federal
Superior Tribunal de Justiça
Superior Tribunal Militar
Tribunal Superior do Trabalho
Tribunal Superior Eleitoral
Conselho Nacional de Justiça
Conselho da Justiça Federal
Tribunal Regional Federal da 1.ª Região
Tribunal Regional Federal da 2.ª Região
Tribunal Regional Federal da 3.ª Região
Tribunal Regional Federal da 4.ª Região
Tribunal Regional Federal da 5.ª Região
Tribunal Regional Federal da 6.ª Região
Tribunal Regional do Trabalho da 1.ª Região
Tribunal Regional do Trabalho da 2.ª Região
Tribunal Regional do Trabalho da 3.ª Região
Tribunal Regional do Trabalho da 4.ª Região
Tribunal Regional do Trabalho da 5.ª Região
Tribunal Regional do Trabalho da 6.ª Região
Tribunal Regional do Trabalho da 7.ª Região
Tribunal Regional do Trabalho da 8.ª Região
Tribunal Regional do Trabalho da 9.ª Região
Tribunal Regional do Trabalho da 11.ª Região
Tribunal Regional do Trabalho da 13.ª Região
Tribunal Regional do Trabalho da 15.ª Região
Tribunal Regional do Trabalho da 22.ª Região
Tribunal Regional Eleitoral de Alagoas
Tribunal Regional Eleitoral do Amapá
Tribunal Regional Eleitoral da Bahia
Tribunal Regional Eleitoral do Ceará
Tribunal Regional Eleitoral do Distrito Federal
Tribunal Regional Eleitoral de Goiás
Tribunal Regional Eleitoral de Mato Grosso do Sul
Tribunal Regional Eleitoral de Minas Gerais
Tribunal Regional Eleitoral da Paraíba
Tribunal Regional Eleitoral do Paraná
Tribunal Regional Eleitoral de Pernambuco
Tribunal Regional Eleitoral do Piauí
Tribunal Regional Eleitoral do Rio de Janeiro
Tribunal Regional Eleitoral do Rio Grande do Sul
Tribunal Regional Eleitoral de Rondônia
Tribunal Regional Eleitoral de Sergipe
Tribunal de Justiça Militar do Estado de Minas Gerais
Tribunal de Justiça de Alagoas
Tribunal de Justiça do Maranhão
Juizados Especiais
Juizado Especial Cível
Juizado Especial Criminal
Juizados Especiais da Fazenda Pública
Juizados da Infância e Juventude
Juizados de Violência Doméstica e Familiar contra a Mulher
Lista de presidentes dos órgãos do poder judiciário do Brasil
Direito
