Portugal
Europa
Oceano Atlântico
Torre (Serra da Estrela)
Divisão administrativa
Porção continental
Vila de Rei
Península Ibérica
Nomenclaturas de unidades territoriais para fins estatísticos
Arquipélago
Açores
Região Autónoma da Madeira
Arquipélago das Berlengas
Lista de ilhas de Portugal
Organização territorial de Portugal
Províncias de Portugal
Ilhas Adjacentes
Regiões autónomas de Portugal
Zona económica exclusiva de Portugal
Instituto Nacional de Estatística (Portugal)
Geografia de Portugal
NUTS de Portugal
Subdivisões de Portugal
Alentejo
Algarve
Região do Centro
Grande Lisboa
Península de Setúbal
Região do Norte
Oeste e Vale do Tejo
Alentejo Central
Alentejo Litoral
Alto Alentejo (sub-região)
Alto Minho
Alto Tâmega
Área Metropolitana do Porto
Ave (sub-região)
Baixo Alentejo (sub-região)
Beira Baixa (sub-região)
Beiras e Serra da Estrela
Cávado (sub-região)
Douro (sub-região)
Lezíria do Tejo (sub-região)
Médio Tejo (sub-região)
Oeste (sub-região)
Região de Aveiro
Região de Coimbra
Região de Leiria
Tâmega e Sousa
Terras de Trás-os-Montes
Viseu Dão-Lafões
OpenStreetMap
Nomenclatura das Unidades Territoriais para Fins Estatísticos
