Organização internacional
Madrid
Rebeca Grynspan Mayufis
Enrique V. Iglesias
Conferência Ibero-americana
Andorra
Argentina
Bolívia
Brasil
Chile
Colômbia
Costa Rica
Cuba
El Salvador
Equador
Espanha
Guatemala
Honduras
México
Nicarágua
Panamá
Paraguai
Peru
Portugal
República Dominicana
Uruguai
Venezuela
Cabo Verde
Filipinas
Guiné Equatorial
Moçambique
Belize
Timor-Leste
Secretaria de Cooperação Ibero-americana
Associação de Bibliotecas Nacionais Ibero-americanas
Conferência de Autoridades Audiovisuais e Cinematográficas Iberoamericanas
Comunidade Ibero-americana de Nações
"Organização dos Estados Ibero-americanos para Educação, Ciência e Cultura"
União de Cidades Capitais Ibero-americanas
Ibero-América
Dinastia Filipina
