Academia Brasileira de Letras
22 de outubro
1928
São Paulo
São Paulo (estado)
21 de abril
2018
Rio de Janeiro
Rio de Janeiro (estado)
Brasileiros
Diretor de cinema
Festival de Brasília
Tenda dos Milagres (filme)
Festival de Cannes
Vidas Secas (filme)
Memórias do Cárcere (filme)
Festival de Gramado
Kikito
O Amuleto de Ogum
Festival Internacional do Novo Cinema Latino-Americano de Havana
Prêmio APCA
Ordem de Rio Branco
Ordem do Mérito Cultural
Produtor cinematográfico
Roteirista
Cinematografia
Cinema novo
Modernismo no Brasil
Graciliano Ramos
Jorge Amado
Obra-prima
Horatio Nelson
Partido Comunista - Seção Brasileira da Internacional Comunista
Astrojildo Pereira
Getúlio Vargas
Praga
Stalinismo
Relatório Kruschev
Josef Stalin
Faculdade de Direito da Universidade de São Paulo
Alex Viany
Institut des Hautes Études Cinématographiques
França
Crítica de cinema
Longa-metragem
"Rio, 40 Graus"
Instituto Nacional de Cinema
Humberto Mauro
Zé Keti
Polícia
Desigualdade social
Cultura popular
1955
Estética
Bahia
Glauber Rocha
"Rio, Zona Norte"
1957
Grande Otelo
Trilha sonora
Montador (cinema)
Barravento (filme)
1962
Universidade de Brasília
Tizuka Yamasaki
Universidade Federal Fluminense
Luiz Inácio Lula da Silva
Castro Alves
Cacá Diegues
Câncer de fígado
Síndrome da disfunção de múltiplos órgãos
Pneumonia
Mausoléu
Cemitério São João Batista (Rio de Janeiro)
Zona Sul do Rio
Óscar 2019
35 mm
Arquivo Nacional (Brasil)
Museu de Arte Moderna do Rio de Janeiro
Cinemateca do Museu de Arte Moderna
Pedro II do Brasil
José Murilo de Carvalho
Mandacaru Vermelho
Boca de Ouro (1963)
El Justicero (filme)
Azyllo Muito Louco
Como Era Gostoso o Meu Francês
Na Estrada da Vida
Milionário & José Rico
Jubiabá (filme)
A Terceira Margem do Rio
Cinema de Lágrimas
Raízes do Brasil (filme)
Brasília 18%
Alfabetização
A Música segundo Tom Jobim
A Luz do Tom
A Missa do Galo (1982)
Piauí (revista)
International Standard Book Number
Wikiquote
Senses of Cinema
IMDb
Sergio Corrêa da Costa
Lista de membros da Academia Brasileira de Letras
Rio 40 Graus
Rio Zona Norte
Fome de Amor
Insônia (filme)
A Terceira Margem do Rio (filme)
Lista de presidentes da Academia Brasileira de Letras
Lista de sócios-correspondentes da Academia Brasileira de Letras
Adelino Fontoura
Luís Murat
Afonso d'Escragnolle Taunay
Ivan Monteiro de Barros Lins
Bernardo Élis
Evandro Lins e Silva
Ana Maria Machado
Álvares de Azevedo
Coelho Neto
João Neves da Fontoura
Guimarães Rosa
Mário Palmério
Tarcísio Padilha
Eduardo Giannetti
Artur de Oliveira
Filinto de Almeida
Roberto Simonsen
Aníbal Freire da Fonseca
Herberto Sales
Carlos Heitor Cony
Joaquim Falcão
Basílio da Gama
Aluísio Azevedo
Alcides Maia
Vianna Moog
Carlos Nejar
Bernardo Guimarães
Raimundo Correia
Oswaldo Cruz
Aloísio de Castro
Cândido Mota Filho
Rachel de Queiroz
Ailton Krenak
Casimiro de Abreu
Teixeira de Melo
Artur Silveira de Motta
Goulart de Andrade (escritor)
Barbosa Lima Sobrinho
Raimundo Faoro
Cícero Sandroni
Valentim Magalhães
Euclides da Cunha
Afrânio Peixoto
Afonso Pena Júnior
Hermes Lima
Pontes de Miranda
Dinah Silveira de Queiroz
Cláudio Manuel da Costa
Alberto de Oliveira
Oliveira Viana
Austregésilo de Athayde
Antônio Calado
Antônio Olinto
Cleonice Berardinelli
Ricardo Cavaliere
Gonçalves de Magalhães
Carlos Magalhães de Azeredo
Marques Rebelo
Carlos Chagas Filho
Alberto da Costa e Silva
Lilia Schwarcz
Evaristo da Veiga
Ruy Barbosa
Laudelino Freire
Osvaldo Orico
Orígenes Lessa
Lêdo Ivo
Rosiska Darcy
Fagundes Varella
Lúcio de Mendonça
Pedro Lessa
Eduardo Ramos
João Luís Alves
Adelmar Tavares
Deolindo Couto
Darcy Ribeiro
Celso Furtado
Hélio Jaguaribe
Ignácio de Loyola Brandão
França Júnior
Urbano Duarte de Oliveira
Augusto de Lima (político)
Vítor Viana
José Carlos de Macedo Soares
Abgar Renault
Lucas Moreira Neves
Alfredo Bosi
Paulo Niemeyer Soares Filho
Francisco Otaviano
Alfredo d'Escragnolle Taunay
Francisco de Castro (acadêmico)
José Isidoro Martins Júnior
João Carneiro de Sousa Bandeira
Hélio Lobo
Augusto Meyer
Francisco de Assis Barbosa
Sérgio Paulo Rouanet
Ruy Castro
Franklin Távora
Clóvis Beviláqua
Antônio Carneiro Leão
Fernando de Azevedo
Miguel Reale
Celso Lafer
Gonçalves Dias
Olavo Bilac
Amadeu Amaral
Guilherme de Almeida
Odilo Costa Filho
Marcos Barbosa
Fernando Bastos de Ávila
Marco Lucchesi
Gregório de Matos
Araripe Júnior
Félix Pacheco
Pedro Calmon
Lygia Fagundes Telles
Jorge Caldeira
Hipólito da Costa
Sílvio Romero
Osório Duque-Estrada
Roquette-Pinto
Álvaro Lins
Antônio Houaiss
Affonso Arinos de Mello Franco
Fernanda Montenegro
João Francisco Lisboa
José Veríssimo
Francisco Inácio Marcondes Homem de Melo
Alberto Faria
Luís Carlos (poeta)
Pereira da Silva (poeta)
Peregrino Júnior
Arnaldo Niskier
Joaquim Caetano
Alcindo Guanabara
Silvério Gomes Pimenta
Gustavo Barroso
Antônio da Silva Melo
Américo Jacobina Lacombe
Marcos Almir Madeira
Antônio Carlos Secchin
Joaquim Manuel de Macedo
Salvador de Mendonça
Emílio de Meneses
Humberto de Campos
Múcio Leão
Aurélio de Lira Tavares
Murilo Melo Filho
Gilberto Gil
Joaquim Serra
José do Patrocínio
Mário de Alencar
Olegário Mariano
Álvaro Moreyra
Adonias Filho
Dias Gomes
Roberto Campos
Paulo Coelho
"José Bonifácio, o Moço"
Medeiros e Albuquerque
Miguel Osório de Almeida
Luís Viana Filho
Ivo Pitanguy
João Almino
José de Alencar
Machado de Assis
Lafayette Rodrigues Pereira
Alfredo Pujol
Otávio Mangabeira
Zélia Gattai
Luiz Paulo Horta
Antônio Torres
Júlio Ribeiro
Garcia Redondo
Luís Guimarães Filho
Manuel Bandeira
Ciro dos Anjos
Sábato Magaldi
Geraldo Carneiro
Junqueira Freire
Franklin Dória
Artur Orlando da Silva
Ataulfo de Paiva
José Lins do Rego
Afonso Arinos de Melo Franco (sobrinho)
Alberto Venancio Filho
Laurindo Rabelo
Guimarães Passos
João do Rio
Constâncio Alves
Ribeiro Couto
Gilberto Amado
Mauro Mota
Marcos Vilaça
Maciel Monteiro
Joaquim Nabuco
Dantas Barreto
Gregório da Fonseca
Levi Carneiro
Otávio de Faria
Eduardo Portella
Antonio Cicero
Edgard Telles Ribeiro
Manuel Antônio de Almeida
Inglês de Sousa
Xavier Marques
Menotti Del Picchia
Oscar Dias Correia
Domício Proença Filho
Martins Pena
Artur Azevedo
Vicente de Carvalho
Cláudio de Sousa
Josué Montello
José Mindlin
Geraldo Holanda Cavalcanti
Pardal Mallet
Pedro Rabelo
Heráclito Graça
Antônio Austregésilo
Aurélio Buarque de Holanda
Nélida Piñon
Heloísa Teixeira
Pedro Luís Pereira de Sousa
Guimarães Júnior
João Ribeiro (escritor)
Paulo Setúbal
Cassiano Ricardo
José Cândido de Carvalho
Geraldo França de Lima
Moacyr Scliar
Merval Pereira
Manuel de Araújo Porto-Alegre
Carlos de Laet
Ramiz Galvão
Viriato Correia
Joracy Camargo
Genolino Amado
Ariano Suassuna
Zuenir Ventura
Raul Pompeia
Domício da Gama
Fernando Magalhães
Luís Edmundo
Afrânio Coutinho
Evanildo Bechara
Sousa Caldas
João Manuel Pereira da Silva
José Maria da Silva Paranhos Júnior
Lauro Müller
Francisco de Aquino Correia
Raimundo Magalhães Júnior
Carlos Castelo Branco
João Ubaldo Ribeiro
Evaldo Cabral de Mello
Aureliano Tavares Bastos
Rodrigo Otávio
Rodrigo Otávio Filho
José Honório Rodrigues
Celso Cunha
Cândido Mendes de Almeida (escritor)
Godofredo de Oliveira Neto
Teófilo Dias
Afonso Celso (poeta)
Clementino Fraga
Paulo Carneiro
José Guilherme Merquior
João de Scantimburgo
Fernando Henrique Cardoso
Tomás António Gonzaga
Silva Ramos
José de Alcântara Machado
Assis Chateaubriand
João Cabral de Melo Neto
Ivan Junqueira
Ferreira Gullar
Arno Wehling
Tobias Barreto
Graça Aranha
Santos Dumont
Celso Vieira de Matos Melo Pereira
Maurício de Medeiros
José Américo de Almeida
José Sarney
Francisco Adolfo de Varnhagen
Oliveira Lima
Alberto de Faria
Rocha Pombo
Rodolfo Garcia
Elmano Cardim
Otto Lara Resende
Roberto Marinho
Marco Maciel
José Paulo Cavalcanti Filho
José Maria da Silva Paranhos
Eduardo Prado
Afonso Arinos de Melo Franco
Miguel Couto
Alceu Amoroso Lima
Evaristo de Moraes Filho
Edmar Bacha
O Globo
Lázaro Ramos
Walter Salles
Breno Silveira
Selton Mello
Daniel Filho
José Padilha
Carlos Saldanha
Kleber Mendonça Filho
Instituto Moreira Salles
Anna Muylaert
Sônia Braga
Vladimir Brichta
Karim Aïnouz
Troféu Oscarito
Walter Hugo Khouri
Anselmo Duarte
Alberto Ruschel
Cinemateca Brasileira
Carlos Manga
Cinédia
José Lewgoy
Lucy Barreto
Luiz Carlos Barreto
Paulo José
Hugo Carvana
Marieta Severo
Milton Gonçalves
Lima Duarte
Glória Menezes
Tarcísio Meira
Antônio Fagundes
Zezé Motta
Walmor Chagas
Reginaldo Faria
Paulo César Pereio
Betty Faria
Glória Pires
Flávio Migliaccio
Marília Pêra
Dira Paes
Edson Celulari
Marco Nanini
Marcos Palmeira
Laura Cardoso
