Lisboa
1956
Calouste Gulbenkian
Ordem Militar de Sant'Iago da Espada
Ordem do Infante D. Henrique
Ordem da Liberdade
Ordem de Benemerência
Portugal
Entidade de utilidade pública
Ordem do Mérito
José de Azeredo Perdigão
António Ferrer Correia
Victor de Sá Machado
Rui Vilar
Artur Santos Silva
Isabel Mota
Instituto Gulbenkian de Ciência
Orquestra Gulbenkian
Coro Gulbenkian
Museu Calouste Gulbenkian
Jardim da Fundação Calouste Gulbenkian
Prémio Valmor
Monumento Nacional
Rui Jervis Atouguia
Alberto Pessoa
Pedro Cid
Arte do Antigo Egito
Arte Greco-romana
Arte Islâmica
Numismática
Centro de Arte Moderna Gulbenkian
Amadeo de Souza-Cardoso
Paula Rego
Maria Helena Vieira da Silva
António Viana Barreto
Gonçalo Ribeiro Telles
Geladaria
Império Otomano
José Mattoso
Universidade de Coimbra
Universidade Nova de Lisboa
Universidade de Lisboa
Universidade de Évora
Bibliotecas Itinerantes da Fundação Calouste Gulbenkian
Grande Prémio Gulbenkian de Literatura para Crianças e Jovens
Edifício-sede e parque da Fundação Calouste Gulbenkian
Base Virtual Internacional de Autoridade
Biblioteca Apostólica Vaticana
Bibsys
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Catálogo de autoridades de nomes e títulos da Catalunha
Dialnet
Encyclopædia Britannica
Gemeinsame Normdatei
Global Research Identifier Database
International Standard Name Identifier
Número de controle da Biblioteca do Congresso
MusicBrainz
Biblioteca Nacional da Austrália
Sistema Universitário de Documentação
Biblioteca Nacional de Portugal
Union List of Artist Names
Biblioteca Nacional de Israel
