Língua castelhana
Língua inglesa
Bandeira de Porto Rico
Brasão de armas de Porto Rico
Latim
João Batista
Hino nacional de Porto Rico
San Juan (Porto Rico)
Gentílico
Commonwealth (área insular dos Estados Unidos)
Presidente dos Estados Unidos
Joe Biden
Governador de Porto Rico
Estado livre associado
Estados Unidos
Tratado de Paris (1898)
10 de dezembro
1898
25 de julho
1952
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Dólar dos Estados Unidos
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário de verão
ISO 3166-1
Lista de TLDs
.pr
Lista de códigos telefónicos
Territórios não incorporados dos Estados Unidos
Mar do Caribe
Arquipélago
Grandes Antilhas
Ilha de Mona
Culebra
Vieques
Línguas oficiais
Língua espanhola
Taíno
Cristóvão Colombo
Coroa de Castela
Império colonial francês
Império colonial neerlandês
Império Britânico
Império Espanhol
Escravos africanos
Canárias
Andaluzia
Vice-Reino do Peru
Nova Espanha
Língua crioula
Nativos americanos
Africanos
Península Ibérica
Guerra Hispano-Americana
Estados dos Estados Unidos
Congresso dos Estados Unidos
Vice-presidente dos Estados Unidos
Grande Depressão
Governo dos Estados Unidos
Espanha
História de Porto Rico
Asteca
Inca
Ortoiroide
Saladoide
Colonização espanhola da América
Juan Ponce de León
Carlos I da Espanha
Dinastia Bourbon
Imperialista
Arecibo
Ponce
Guerra da Orelha de Jenkins
Guerra dos Sete Anos
Revoluções do Atlântico
Açúcar
Francisco Oller
Guerra Peninsular
Cortes de Cádiz
Ilhas Baleares
Ilhas Canárias
Simón Bolívar
Miguel de la Torre
Língua francesa
Córsega
França
Alemanha
Irlanda
Itália
Escócia
Coroa espanhola
Igreja Católica Apostólica Romana
Grito de Lares
San Sebastián (Porto Rico)
Ramón Emeterio Betances
Segundo Ruiz Belvis
Parlamento
Bicameral
Governador-geral
Campanha de Porto Rico
Bandeira dos Estados Unidos
Exército dos EUA
Filipinas
Guam
Theodore Roosevelt
Primeira Guerra Mundial
Dólares americanos
Constituição dos EUA
Favela
Nova York
Harry Truman
Pena de morte
Prisão perpétua
Jimmy Carter
Assembleia Constituinte
Referendo
Commonwealth
New Deal
Franklin Roosevelt
Partido Novo Progressista de Porto Rico
Mapa topográfico
Mona (Porto Rico)
Antilhas Maiores
Jamaica
Hispaniola
Cuba
Lago artificial
Rochas vulcânicas
Cretáceo
Eoceno
Carbonatos
Rochas sedimentares
Placa do Caribe
Placa da América do Norte
Abalo sísmico
Terremotos
Tsunamis
Deslizamentos de terra
Escala de Richter
Aguadilla
Fossa de Porto Rico
Fossa oceânica
Demografia de Porto Rico
Pirâmide etária
Poder Executivo
Língua Espanhola
