2 de outubro
1838
Língua portuguesa
Presidente
Ordem Militar de Sant'Iago da Espada
Ordem do Infante D. Henrique
Ordem da Instrução Pública
Ordem do Mérito Cultural
Pesquisa
História
Geografia
Cultural
Ciências Sociais
Brasil
Sociedade Auxiliadora da Indústria Nacional
Cônego
Januário da Cunha Barbosa
Marechal
Raimundo José da Cunha Matos
Arquivo Nacional (Brasil)
Academia Imperial de Belas Artes
Pedro de Araújo Lima
História do Brasil
Ensino público
Manuel de Oliveira Lima
D. João VI
Revolução Francesa
Pedro II do Brasil
Século XIX
Iluminismo
Guerra do Paraguai
Carl von Martius
Baviera
Alemanha
1817
1820
Bahia
Minas Gerais
Goiás
Amazônia
Tito Lívio
Francisco Adolfo de Varnhagen
História Geral do Brasil
1854
Conrado Jacó de Niemeyer
Academia Brasileira de Letras
Lagoa Santa (Minas Gerais)
Ciências naturais
Dinamarca
Peter Wilhelm Lund
1801
1880
Eusébio de Queirós
Província
Rio de Janeiro (estado)
"Instituto Arqueológico, Histórico e Geográfico Pernambucano"
Deodoro da Fonseca
João Severiano da Fonseca
Exílio
Luto
Estado Novo (Portugal)
Portugal
Revista do Instituto Histórico e Geográfico Brasileiro
Aureliano de Sousa e Oliveira Coutinho
Bento da Silva Lisboa
Caetano Maria Lopes Gama
Cândido José de Araújo Viana
Emílio Joaquim da Silva Maia
Colégio Pedro II
Francisco Cordeiro da Silva Torres de Sousa Melo e Alvim
Francisco Gê Acaiaba de Montezuma
Joaquim Caetano da Silva
Joaquim Francisco Viana
José Antônio Lisboa
José Antônio da Silva Maia
José Clemente Pereira
José Feliciano Fernandes Pinheiro
José Marcelino da Rocha Cabral
Pedro de Alcântara Bellegarde
Rodrigo de Sousa da Silva Pontes
15 de dezembro
1849
Paço Imperial
Pedro Calmon
Glória (Rio de Janeiro)
Rio de Janeiro (cidade)
Auditório
Biblioteca
Mapa
Museu
Arquivo
Institutos históricos e geográficos do Brasil
Instituto Histórico e Geográfico de Alagoas
Instituto do Ceará
Instituto Geográfico e Histórico da Bahia
Instituto Histórico e Geográfico de São Paulo
Instituto Histórico e Geográfico de Santa Catarina
Instituto Histórico e Geográfico do Paraná
Instituto Brasileiro de Geografia e Estatística
Joaquim Norberto de Sousa Silva
Rio de Janeiro
Museu da República
International Standard Book Number
Império do Brasil
Censo demográfico do Brasil de 1872
Forças Armadas do Império do Brasil
Armada Imperial Brasileira
Exército Imperial Brasileiro
Voluntários da Pátria
Guarda Nacional (Brasil)
Hino da Independência do Brasil
Hino Nacional Brasileiro
História do Império do Brasil
Primeiro reinado
Período regencial (Brasil)
Segundo reinado
Dia do Fico
Independência do Brasil
Noite da agonia
Abdicação de Pedro I do Brasil
Declaração da Maioridade
Coroação de Dom Pedro II do Brasil
Questão Christie
Questão religiosa
Questão Militar
Política do Império do Brasil
Abolicionismo no Brasil
Conselho de Estado (Brasil)
Gabinete do Império do Brasil
Monarquismo no Brasil
Parlamentarismo às avessas
Lista de primeiros-ministros do Brasil
Províncias do Império do Brasil
Eleições diretas no Império do Brasil
Partido Liberal (1831)
Partido Conservador (Brasil)
Liga Progressista
Partido Liberal Exaltado
Partido Moderado (Brasil)
Partido Regressista
Partido Restaurador
Poder Moderador do Brasil
Joias do Império do Brasil
Coroa Imperial do Brasil
Cetro Imperial
