1532
1815
Fundação de São Vicente (Benedito Calixto)
Benedito Calixto
Johann Moritz Rugendas
Antônio Parreiras
Jean-Baptiste Debret
Brasil
Circa
Lista de monarcas de Portugal
João III de Portugal
Maria I de Portugal
Período pré-colonial do Brasil
Reino do Brasil
História do Brasil
História pré-cabralina do Brasil
Luzia (fóssil)
Parque Nacional Serra da Capivara
Marajoaras
Sambaquis
Kuhikugu
Descoberta do Brasil
Ciclo do Açúcar
Ciclo do Ouro
Lista de guerras indígenas no Brasil
Quilombos
Capitanias do Brasil
Império do Brasil
Independência do Brasil
Primeiro Reinado
Noite da Agonia
Confederação do Equador
Guerra da Cisplatina
Noite das Garrafadas
Período regencial (Brasil)
Guerra dos Farrapos
Guerra dos Cabanos
Revolução Praieira
Golpe da Maioridade
Segundo Reinado
Ciclo do café
Guerra contra Oribe e Rosas
Guerra do Uruguai
Guerra do Paraguai
Questão Religiosa
Questão Militar
Abolicionismo no Brasil
Primeira República Brasileira
Proclamação da República Brasileira
República da Espada
Crise do encilhamento
Revolta da Armada
Guerra de Canudos
Política do Café com Leite
Política dos Governadores
Coronelismo
Guerra do Contestado
Revolta da Chibata
Greve geral de 1917
Tenentismo
Revolta dos 18 do Forte de Copacabana
Semana de Arte Moderna
Revolta Paulista de 1924
Coluna Prestes
Lei celerada
Grande Depressão
Era Vargas
Revolução de 1930
Revolução Constitucionalista de 1932
Ação Integralista Brasileira
Aliança Nacional Libertadora
Intentona Comunista
Estado Novo (Brasil)
Intentona Integralista
Brasil na Segunda Guerra Mundial
Deposição de Vargas
República Populista
Queremismo
Constituição de 1946
Eurico Gaspar Dutra
Eleição presidencial no Brasil em 1950
Governo Getúlio Vargas (1951-1954)
Atentado da rua Tonelero
Morte de Getúlio Vargas
Eleição presidencial no Brasil em 1955
Movimento de 11 de Novembro
Juscelino Kubitschek
Construção de Brasília
Eleição presidencial no Brasil em 1960
Governo Jânio Quadros
Governo João Goulart
Campanha da Legalidade
República Parlamentarista (Brasil)
Ditadura militar brasileira
Golpe de Estado no Brasil em 1964
Comando Supremo da Revolução
Governo Castello Branco
Atos Institucionais
Governo Costa e Silva
Passeata dos Cem Mil
AI-5
Junta militar brasileira de 1969
Governo Médici
Milagre econômico brasileiro
Governo Geisel
Governo João Figueiredo
Lei da Anistia
Abertura política
Luta armada contra a ditadura militar brasileira
Doutrina de segurança nacional (Brasil)
Tortura no Brasil
Lista de mortos e desaparecidos políticos na ditadura militar brasileira
Nova República
Constituição brasileira de 1988
Governo Sarney
Hiperinflação no Brasil
Governo Collor
Impeachment de Fernando Collor
Plano Real
Governo Fernando Henrique Cardoso
Desvalorização do real em 1999
Crise do apagão
Governo Lula (2003–2011)
Fome Zero
Bolsa Família
Mensalão
Governo Dilma Rousseff
Jornadas de Junho
Crise econômica brasileira de 2014
Petrolão
Operação Lava-Jato
Impeachment de Dilma Rousseff
Governo Temer
Crise do Diesel
Joesley Day
Governo Bolsonaro
Pandemia de COVID-19 no Brasil
Tentativa de golpe de Estado no Brasil em 2022–2023
Ataques de 8 de janeiro em Brasília
Governo Lula (2023-presente)
Século XVI
Século XIX
Colónia
Reino de Portugal
Escravidão no Brasil
Açúcar
Tabaco
Ouro
Diamante
Algodão
1531
Martim Afonso de Sousa
1549
Cidade do Salvador
Estado do Brasil
Capitanias hereditárias
Século XVII
Século XVIII
Ciclo do açúcar
Capitania da Baía de Todos os Santos
Capitania de Pernambuco
Ciclo do ouro
Capitania de Minas Gerais
Capitania de Goiás
Capitania de Mato Grosso
Capitalismo industrial
João VI de Portugal
1808
"Reino Unido de Portugal, Brasil e Algarves"
1822
Albert Eckhout
América
Caça
Estreito de Bering
Sibéria
América do Norte
Ameríndio
Tupi-guarani
Macro-jê
Planalto Central do Brasil
Aruaque
Caraíba
Descobrimento do Brasil
Oscar Pereira da Silva
Século XIV
África
Índias
Espanhóis
Vicente Yáñez Pinzón
Diego de Lepe
1500
22 de abril
Pedro Álvares Cabral
Bahia
Terra de Vera Cruz
Paubrasilia echinata
Américo Vespúcio
Gonçalo Coelho
Psittacidae
Jorge Pimentel Cintra
Sertania
São Vicente (São Paulo)
Olinda
Década de 1530
1534
Capitania de São Vicente
1548
Fidalgo
Tomé de Sousa
Lista de governadores-gerais do Brasil
Confederação dos Tamoios
Década de 1560
Frans Post
Companhia Holandesa das Índias Ocidentais
Independência dos Países Baixos
1581
Inconfidência Mineira
Manuel de Borba Gato
São Paulo
Guerra dos Emboabas
Insurreição Pernambucana
Antilhas
Estado de Minas Gerais
Língua geral paulista
1709
Década de 1710
1719
Pitangui
Revolta de Vila Rica
Ouro Preto
Marquês de Pombal
Tiradentes
1777
José I de Portugal
Iluministas
Guerra de Independência dos Estados Unidos
Revolução Francesa
1789
Conjuração Baiana
1798
Revolta de Beckman
Guerra dos Mascates
Status quo
Decreto de Abertura dos Portos às Nações Amigas
Príncipe regente
Grã-Bretanha
Primeiro Império Francês
Portugal Continental
Guerra Peninsular
Príncipe Regente do Brasil
Transferência da corte portuguesa para o Brasil
Lisboa
Bolsa de valores
Banco do Brasil
Monopólio
Entradas e Bandeiras
Evolução territorial do Brasil
Ciclo da caça ao índio
Henrique Bernardelli
Bandeirantes
Batalha de M'Bororé
Guayrá
Itatins
Paraná
Mato Grosso do Sul
Pernambuco
1621
Upaon-Açu
Belém (Pará)
Filipe III de Espanha
Estado do Maranhão
Cabo de São Roque
Rio Grande do Norte
1637
Pedro Teixeira (militar)
Quito
Rio Napo
Rio Javari
1750
Tratado de Madrid (1750)
Henrique II de França
Ruão
1 de outubro
1550
Invasões francesas no Brasil
França Antártica
Nicolas Durand de Villegagnon
Gaspar de Coligny
Claude d'Abbeville
França Equinocial
Daniel de La Touche
São Luís (Maranhão)
Luís IX de França
Invasões holandesas no Brasil
Batalha dos Guararapes (Victor Meirelles)
Victor Meirelles
Países Baixos
João Maurício de Nassau
Recife
Tratado de Tordesilhas
Guerra de Iguape
Lutas e revoluções no Brasil
Movimentos Emancipacionistas
Zumbi dos Palmares
Quilombo dos Palmares
Quilombo
Metrópole colonial
Guerra Guaranítica
Guaranis
Jesuíta
Governo do Norte (América Portuguesa)
Governo do Sul (América portuguesa)
Governo-Geral do Brasil
Baía de Todos-os-Santos
Salvador
Governador-geral
Regimento do Governador-Geral
Ouvidor-mor
Provedor-mor
Capitão-mor
Manuel da Nóbrega
Mem de Sá
1572
Capitania de Porto Seguro
Capitania do Maranhão
Região Nordeste do Brasil
Minas Gerais
Distrito Federal (Brasil)
Pará
Tocantins
Goiás
História de Salvador
Rio de Janeiro
1577 no Brasil
Lourenço da Veiga
"Matias de Albuquerque, Conde de Alegrete"
1763 no Brasil
Estado do Maranhão e Piauí
Estado do Grão-Pará e Rio Negro
Arte colonial no Brasil
Igreja e Convento de São Francisco (Salvador)
Barroco brasileiro
Carlos Julião
Portugueses
Escravo
Direito
Cidadania
Lista de antigos territórios portugueses
Angola
Macau
Goa
Desigualdade social
Classe alta
Engenho
Classe média
Feitor
Capataz
Padre
Militar
Comerciante
Artesão
Funcionários públicos
Classe baixa
Trabalho (economia)
Casa-grande
Senzala
Patriarcado
Culinária do Brasil
História da alimentação no Brasil
Hábitos alimentares
Trigo
Farinha de mandioca
Alimento
Mandioca
Culinária indígena no Brasil
Beiju
Carne-seca
Milho
Rapadura
Arroz
Feijão
Condimento
Pimenta
Azeite de dendê
Verdura
Fruta
Manteiga
Queijo
Riqueza
Doces do Brasil
Invasão holandesa
Toucinho
Azeite
Vinho
Aguardente
Bacalhau
Charque
Fava
Ervilha
Cevada
Garfo
Bebidas alcoólicas
Bagaceira
Portugal
Engenho de açúcar no Brasil colonial
Caldo de cana
Melaço
Destilação
Cachaça
Judeus na América portuguesa
Judaísmo no Brasil
Sinagoga Kahal Zur Israel
Sinagoga
Europa
Marrano
Rio Grande (Rio Grande do Sul)
Rio de Janeiro (estado)
Paraíba
Sergipe
Maranhão
Diogo Fernandes Santiago
Branca Dias
Nova Holanda
União Ibérica
Sete Povos das Missões
Imigração espanhola no Brasil
Capistrano de Abreu
IBGE
Rio Uruguai
Darcy Ribeiro
Gaúcho
Pampas
Mestiços
Argentina
Uruguai
FAPESP
Cromossomo Y
WIC
Abertura dos portos
Coroa portuguesa no Brasil
Imigração no Brasil
Estados Unidos
Inglaterra
Ingleses
Treze Colônias
Período colonial dos Estados Unidos
Suecos
Alemães
Irlandeses
Escoceses
Holandeses
Franceses
Povos indígenas do Brasil
Itália
Espanha
Classes sociais no Brasil
Estratificação social
Usura
Elite
Mestiço
Mulato
Artesanato
Pastor
Domingos Jorge Velho
Tráfico de escravos para o Brasil
Escravidão indígena no Brasil
Etnocídio
Genocídio indígena
Comércio de escravos no Atlântico
Comércio Triangular
África subsaariana
Migração forçada
África Subsaariana
Saara
Escravatura no mundo muçulmano
Tráfico árabe de escravos
Guiné (região)
Benim
Nigéria
Moçambique
Bantos
Benguela
Congo (região)
Minas (etnia)
Guiné
Elmina
Mineração
África Ocidental
Fumo
Arma
Navio negreiro
Cais do Valongo
Quarentena
Colonização portuguesa da América
Cronologia da colonização da América
Colonização portuguesa da África
Cronologia da colonização portuguesa na América
Era das Navegações
Estado da Índia
Império Português
Ir para cima
Periodização da história do Brasil
Wayback Machine
Charles Ralph Boxer
São Paulo (estado)
Editora Companhia das Letras
International Standard Serial Number
Digital object identifier
Reserva da biosfera da Mata Atlântica
OCLC
Companhia das Letras
Annablume Editora
International Standard Book Number
Editora Campus-Elsevier
C. R. Boxer
Hernâni Donato
Boris Fausto
EDUSP
Celso Furtado
Companhia Editora Nacional
Sérgio Buarque de Holanda
Grupo Editorial Record
Evaldo Cabral de Mello
Editora 34
Fundação de Amparo à Pesquisa do Estado de São Paulo
Thomas Skidmore
IHGSP
Wikimedia
1889 no Brasil
Indígenas e as invasões holandesas no Brasil
Jornada dos Vassalos
Guerra contra Artigas
Invasão da Guiana Francesa
Revolta Liberal da Bahia e Grão-Pará de 1821
Guerra de 1801
Movimento nativista
Aclamação de Amador Bueno
"Conjuração de ""Nosso Pai"""
Conspiração do Curvelo
Inconfidência de Mariana
Inconfidência de Sabará
Motins do Maneta
Motins do Sertão do Rio São Francisco
Revolta da Cachaça
Revolta de Filipe dos Santos
Revolta do Sal
Conjuração Mineira
Conjuração Carioca
Conspiração dos Suassunas
Revolução Pernambucana
Guerra da Independência do Brasil
Convenção de Beberibe
Independência da Bahia
Chacina do Tibagi
Confederação dos Cariris
Guerra de Cabo Frio
Guerra dos Aimorés
Guerra dos Bárbaros
Guerra dos Manaus
Guerrilha dos Muras
Levante dos Tupinambás
Revolta de Cumã
Revolta de Mandu Ladino
Bugreiro
Entradas e bandeiras
Expedições no Brasil Colônia
Guerra dos Palmares
Missões jesuíticas na América
Revolta de Escravos Constitucionalistas
Saque do Recife
Sertanismo
Cultura do Brasil
Artes do Brasil
Cinema do Brasil
Esporte no Brasil
Feriados no Brasil
Filosofia no Brasil
Folclore brasileiro
Multiculturalismo no Brasil
Problemas sociais do Brasil
Criminalidade no Brasil
Homofobia no Brasil
Intolerância religiosa no Brasil
Racismo no Brasil
Símbolos do Brasil
Bandeira do Brasil
Armas Nacionais do Brasil
Selo Nacional do Brasil
Ordem e Progresso
Hino Nacional Brasileiro
Economia do Brasil
Agricultura no Brasil
Banco Central do Brasil
Lista de empresas do Brasil
Indústria no Brasil
Mineração no Brasil
Real (moeda brasileira)
Pecuária no Brasil
Problemas econômicos do Brasil
Turismo no Brasil
Geografia do Brasil
Biodiversidade no Brasil
Áreas protegidas no Brasil
Biomas do Brasil
Problemas ambientais do Brasil
Vegetação do Brasil
Demografia do Brasil
Brasileiros
Línguas do Brasil
Religião no Brasil
Estação Antártica Comandante Ferraz
Clima do Brasil
Fusos horários no Brasil
Hidrografia do Brasil
Litoral do Brasil
Lista de extremos do Brasil
Relevo do Brasil
Subdivisões do Brasil
Lista de capitais do Brasil
Distritos do Brasil
Municípios do Brasil
Hierarquia urbana do Brasil
Regiões do Brasil
Regiões geográficas intermediárias e imediatas
Cronologia da história do Brasil
Estado do Grão-Pará e Maranhão
Primeiro reinado
Segundo reinado
Brasil República
Período Populista
Infraestrutura do Brasil
Ciência e tecnologia no Brasil
Comunicações do Brasil
Educação no Brasil
Política energética do Brasil
Energia renovável no Brasil
Saúde no Brasil
Segurança no Brasil
Forças Armadas do Brasil
Força Aérea Brasileira
Marinha do Brasil
Exército Brasileiro
Forças policiais do Brasil
Transportes do Brasil
Política do Brasil
Governo federal do Brasil
Administração pública no Brasil
Direito do Brasil
História da Constituição do Brasil
Poder Executivo do Brasil
Presidente do Brasil
Governador
Prefeito
Poder Judiciário do Brasil
Supremo Tribunal Federal
Superior Tribunal de Justiça
Tribunal de Justiça (Brasil)
Poder Legislativo do Brasil
Congresso Nacional do Brasil
Senado Federal do Brasil
Câmara dos Deputados do Brasil
Assembleia legislativa (Brasil)
Câmara Legislativa do Distrito Federal
Câmara municipal (Brasil)
Tribunais de contas do Brasil
Eleições no Brasil
Partidos políticos no Brasil
Relações internacionais do Brasil
Política ambiental no Brasil
Direitos humanos no Brasil
Direitos LGBT no Brasil
Direitos da mulher no Brasil
Pena de morte no Brasil
União Federal
Unidades federativas do Brasil
Distrito Federal do Brasil
Cronologia da história de Portugal
Implantação da República Portuguesa
Guerra Colonial Portuguesa
Souira Kedima
Alcácer-Ceguer
Arzila (Marrocos)
Azamor
Ceuta
Mazagão (Marrocos)
Essaouira
Safim
Agadir
Tânger
Ouadane
Acra
África Ocidental Portuguesa
Ano-Bom
Arguim
Cabinda (província)
Província Ultramarina de Cabo Verde
Bioko
Costa do Ouro (colónia de Portugal)
Guiné Portuguesa
Melinde
Mombaça
África Oriental Portuguesa
Ruínas de Quilua Quisiuani e de Songo Mnara
Fortaleza de São João Baptista de Ajudá
Província Ultramarina de São Tomé e Príncipe
Socotorá
Zanzibar
Ziguinchor
Barém
Ormuz
Mascate
Bandar Abbas
Soar
Ceilão Português
Laquedivas
Maldivas
Baçaim
Bombaim sob domínio português
Calecute
Cananor
Chaul
Chatigão
Cochim
Cranganor
Dadrá e Nagar-Aveli
Damão
Diu
Ugulim
Negapatão
Paliacate
Coulão
Salsete
Masulipatão
Mangalore
Surrate
Tuticorim
São Tomé de Meliapor
Ilhas Banda
Flores (Indonésia)
Macau português
Província ultramarina
Macáçar
Malaca Portuguesa
Ilhas Molucas
Amboíno
Ternate (Indonésia)
Tidore
Nagasáqui portuguesa
Tamão
Timor Português
Terra Nova
Labrador
Nova Escócia
Barbados
Província Cisplatina
Colônia de Caiena e Guiana
Colônia do Sacramento
Arquipélago
Atlântico Norte
Subdivisões de Portugal
Ilhas Adjacentes
Regiões autónomas de Portugal
