Alemanha
Publicação
Enciclopédia
História da Suíça
Confederação Suíça
Autor
Suíça
Língua alemã
Língua francesa
Língua italiana
2002
Romanche
Lugar (geografia)
Tema
Língua romanche
1998
Berna
