História da arte
Arte da Pré-História
Arte do Paleolítico
Arte rupestre
Arte do Neolítico
Arte da antiguidade
Arte da Mesopotâmia
Arte da Suméria
Arte da Assíria
Arte da Babilônia
Arte da Pérsia
Arte do Antigo Egito
Arte celta
Arte fenícia
Arte egeia
Arte cicládica
Arte minoica
Arte micénica
Arte da Antiguidade Clássica
Arte etrusca
Arte da Grécia antiga
Arte romana
Arte paleocristã
Arte da Idade Média
Arte bizantina
Arte islâmica
Arte sassânida
Arte viking
Arte pré-românica
Arte dos povos germânicos
Arte hibérnico-saxónica
Arte anglo-saxónica
Arte visigótica
Arte merovíngia
Arte carolíngia
Arte otoniana
Arte românica
Arte mudéjar
Estilo gótico
Estilo manuelino
Arte
Renascimento
Alta Renascença
Maneirismo
Barroco
Rococó
Neoclassicismo
Academicismo
Romantismo
Arte moderna
Nazarenos (grupo artístico)
Pré-rafaelitas
Realismo
Naturalismo
Impressionismo
Pós-impressionismo
Pontilhismo
Divisionismo
Simbolismo
Art nouveau
Vanguarda
Expressionismo
Fauvismo
Die Brücke
Der Blaue Reiter
Arte abstrata
Neoplasticismo
Cubismo
Construtivismo russo
Bauhaus
Suprematismo
Dadaísmo
Futurismo
Realismo socialista
Arte contemporânea
Pop art
Op art
Minimalismo
Neoconcretismo
Arte conceptual
Happening
Videoarte
Performance
Arte de instalações
Land art
Hiper-realismo
História da arquitetura
História da pintura
História da escultura
História do design
História da literatura
História da música
História do teatro
História do cinema
Literatura
Paris
Modernismo
Período entreguerras
Psicanálise
Sigmund Freud
Inconsciente
Racionalismo
André Breton
1896
1966
1917
Guillaume Apollinaire
1886
1918
Manifesto Surrealista
1924
Antonin Artaud
Luis Buñuel
Cinema
Max Ernst
René Magritte
Salvador Dalí
Artes plásticas
Michael Löwy
Subversão
Vida social
Antropologia
Liberdade
Dialética
Hegelianismo
Marxismo
Libertário
Escola literária
Artistas
Abstração
Colagem
Escrita automática
Lógica
Razão
Consciência
Sonho
Burguesia
Pátria
Família
Religião
Trabalho
Honra
Utilitarismo
Imaginação
Objetividade (filosofia)
Subjetividade
Alucinação
Realidade
Acaso
Fluxo de consciência
Octavio Paz
Pierre Reverdy
Arthur Rimbaud
Paul Éluard
Louis Aragon
Jacques Prévert
Benjamin Péret
Brasil
Alberto Giacometti
Vito Campanella
Salvador Dali
Juan Miró
Pablo Picasso
Década de 1930
Europa
Américas
Leon Trotski
Manifesto por uma Arte Revolucionária Independente
A Persistência da Memória
Relógio de bolso
Segunda Guerra Mundial
António Pedro
António Dacosta
Cândido Costa Pinto
Vespeira
Fernando Azevedo
António Domingues
João Moniz Pereira
Mário Cesariny
Alexandre O'Neill
José Augusto França
Secretariado Nacional de Informação
José Norton de Matos
António de Oliveira Salazar
Cruzeiro Seixas
Mário-Henrique Leiria
António Maria Lisboa
Risques Pereira
Pedro Oom
Chiado
Década de 30
Modernismo no Brasil
Tarsila do Amaral
Cícero Dias
Ismael Nery
Aníbal Machado
Mário Pedrosa
Maria Martins
Darcílio Lima
Frottage
Grattage
Assemblage
Gestualismo (pintura)
Jackson Pollock
Frida Kahlo
Leonora Carrington
Remedios Varo
Eileen Agar
Jean Arp
Eugène Atget
Hans Bellmer
Fanny Brennan
Claude Cahun
Nicolas Calas
Jean Cocteau
René Crevel
