São Joaquim (Santa Catarina)
Santa Catarina
Canela (Rio Grande do Sul)
Rio Grande do Sul
Brasil
Neve
Planalto (geografia)
Região Sul do Brasil
Zona temperada
Clima subtropical
Clima tropical
Urubici
São José dos Ausentes
Bom Jesus (Rio Grande do Sul)
Urupema
Bom Jardim da Serra
Cambará do Sul
Palmas (Paraná)
São Paulo (estado)
Minas Gerais
Rio de Janeiro (estado)
Mato Grosso do Sul
Distrito Federal (Brasil)
Primavera
São Francisco de Paula (Rio Grande do Sul)
Histórico de nevadas no Brasil
Vacaria
Canadá
Rússia
Itatiaia
Pico das Agulhas Negras
Caçador
São Joaquim
Morro do Cambirela
Palhoça
Estado (subdivisão)
Latitude
Campos de Cima da Serra (Rio Grande do Sul)
Brusque
Porto União
São Bento do Sul
Mafra (Santa Catarina)
Major Vieira
Canoinhas
Chapecó
Xaxim
Xanxerê
Irani
Ponte Serrada
Blumenau
Vale do Itajaí
Rio do Sul
Ibirama
Benedito Novo
Timbó (Santa Catarina)
Grande Florianópolis
Santo Amaro da Imperatriz
Rancho Queimado
Alfredo Wagner
Angelina (Santa Catarina)
Ilha de Santa Catarina
Ratones
Morro da Igreja
Orleans (Santa Catarina)
1996
Cm
Snowboard
Serra
Caxias do Sul
Futebol
Clube Esportivo de Bento Gonçalves
Grêmio Foot-Ball Porto Alegrense
Bento Gonçalves (Rio Grande do Sul)
Gol
Muitos Capões
Nova Petrópolis
Gramado
Lagoa Vermelha
Guaporé (Rio Grande do Sul)
Veranópolis
Farroupilha
Jaquirana
Flores da Cunha
Nova Prata
Garibaldi (Rio Grande do Sul)
São Marcos (Rio Grande do Sul)
Cerro Largo (Rio Grande do Sul)
Ijuí
Passo Fundo
Erechim
Cruz Alta (Rio Grande do Sul)
Soledade (Rio Grande do Sul)
Arvorezinha
Fontoura Xavier
Serras de Sudeste
Caçapava do Sul
Encruzilhada do Sul
Canguçu
Santana da Boa Vista
Pinheiro Machado (Rio Grande do Sul)
Santiago (Rio Grande do Sul)
Júlio de Castilhos
Horizontina
Ilópolis
Itaara
Lavras do Sul
Antônio Prado
Ibiraiaras
Ibirubá
Ipê (Rio Grande do Sul)
Itapuca
Nova Pádua
Paraí
Sananduva
Porto Alegre
Pelotas
Jaguarão
Campo Bom
Novo Hamburgo
Santa Maria (Rio Grande do Sul)
Barra do Quaraí
Lajeado (Rio Grande do Sul)
São Francisco de Assis
Aguaneve
Serra Gaúcha
Festa da Uva
Guarapuava
Cruz Machado
Inácio Martins
General Carneiro (Paraná)
União da Vitória
Clevelândia
Cascavel (Paraná)
Pato Branco
Irati (Paraná)
Francisco Beltrão
São Mateus do Sul
Rio Negro (município do Paraná)
Pinhão
Paulo Frontin
Campo Largo (Paraná)
Candói
Mallet
Lapa
Araucária
Antônio Olinto
Apucarana
Cambira
Campo Magro
Cantagalo
Colombo
Fazenda Rio Grande
Jaguariaíva
Paula Freitas
Porto Vitória
São José dos Pinhais
Piraí do Sul
Goioxim
Ponta Grossa
Carambeí
Itaperuçu
São João do Triunfo
Castro (Paraná)
Pitanga (Paraná)
Toledo (Paraná)
Campo Mourão
Curitiba
Precipitação
1889
1892
1912
1928
1943
1955
1957
1963
1975
1979
1981
2013
2020
Foz do Iguaçu
1965
Serra do Mulato
Arapongas
Maringá
Ibaiti
Toledo
Palmas
Irati
Paraná
Pitanga
Prudentópolis
Sincelo
Região Sudeste do Brasil
Trópico de Capricórnio
Inverno
Região Norte do Brasil
Região Nordeste do Brasil
Região Centro-Oeste do Brasil
Clima semiárido
Pico da Neblina
São Paulo (cidade)
25 de junho
1918
Região Metropolitana de São Paulo
Planalto
Cunha (São Paulo)
Avenida Paulista
Campos do Jordão
Apiaí
Guapiara
Vale do Ribeira
Botucatu
São Manuel
Itaí
Sorocaba
Itapetininga
Jundiaí
Vargem Grande Paulista
RMSP
Parque Nacional de Itatiaia
Clima
Geada
Ouro Preto
Espírito Santo
Parque Nacional do Caparaó
23 de julho
Paranhos (Mato Grosso do Sul)
10 de outubro
1778
Sobradinho (Distrito Federal)
Planaltina (Distrito Federal)
Capitania de Goiás
Neve na América do Sul
Lista de partidas de futebol no Brasil disputadas sob neve
Nevada de 1965 no sul do Brasil
Nevada em Curitiba em 1975
Onda de frio no Brasil em 2000
Onda de frio no Sul e Sudeste do Brasil em 2013
