Oligoceno
Pré-Cambriano
Câmbrico
Ordovícico
Silúrico
Devónico
Carbónico
Pérmico
Triássico
Jurássico
Cretácico
Paleogénico
Neogénico
Veado-vermelho
Cariacu
Cervus nippon
Rucervus duvaucelii
Rena
Classificação científica
Reino (biologia)
Animalia
Filo
Chordata
Classe (biologia)
Mammalia
Ordem (biologia)
Artiodactyla
Ruminantia
Família (biologia)
Georg August Goldfuss
Capreolinae
Cervinae
Latim científico
Latim
Ungulados
Artiodáctilos
Ruminantes
Corça
Alce
Continente
Austrália
Antártida
Galhada
Corno
Herbívoro
Estômago
Erva
Rebento
Folha (botânica)
Fruto
Líquen
Domesticação
Caça
Alimento
Brasil
Corruptela
Homossexuais
Sexo masculino
Ártemis
Mármore
Veado
Museu do Louvre
Paris
França
Museu de Anatomia Veterinária da Faculdade de Medicina Veterinária e Zootecnia da USP
Velho Mundo
Muntiacini
Elaphodus cephalophus
Muntiacus
Muntiacus atherodes
Muntiacus crinifrons
Muntiacus feae
Muntiacus gongshanensis
Muntiacus muntjak
Muntiacus puhoatensis
Muntiacus putaoensis
Muntiacus montanus
Muntiacus reevesi
Muntiacus rooseveltorum
Muntiacus truongsonensis
Muntiacus vuquangensis
Cervinini
Axis axis
Cervus
Uapiti
Cervus elaphus
Dama dama
Elaphurus davidianus
Hyelaphus
Hyelaphus porcinus
Hyelaphus annamiticus
Hyelaphus calamianensis
Hyelaphus kuhlii
Panolia eldii
Rucervus
Rucervus schomburgki
Rusa
Rusa alfredi
Rusa timorensis
Rusa unicolor
Alce-gigante
Extinção
Novo Mundo
Capreolus pygargus
Hippocamelus
Hippocamelus antisensis
Huemul
Mazama
Veado-catingueiro
Veado-roxo
Mazama temama
Mazama pandora
Veado-mateiro-pequeno
Mazama chunyi
Veado-mão-curta
Mazama bricenii
Mazama rufina
Veado-mateiro
Odocoileus
Cervo-do-pantanal
Veado-campeiro
Pudu
Pudu mephistophiles
Pudu puda
Veado-mula
Heráldica
Dotternhausen
Alemanha
Cervídeo
Ozotoceros
Blastocerus
International Standard Book Number
OCLC
International Standard Serial Number
PubMed Identifier
Digital object identifier
Moschidae
Animal Diversity Web
Wikimedia
Artiodátilos
Animal
Eutheria
Laurasiatheria
Antilocapridae
Antilocapra
Giraffidae
Ocapi
Girafa
Cervo almiscarado siberiano
Trágulo
Moschiola kathygre
Cervidae
Bovídeos
Gamo
Gamo-persa
Cervo-do-padre-david
Sambar
Hidrópote
Capreolus
Capreolus capreolus
Cephalophinae
Cephalophus
Cephalophus spadix
Cephalophus adersi
Cephalophus dorsalis
Cephalophus niger
Philantomba monticola
Cephalophus jentinki
Philantomba maxwellii
Cephalophus natalensis
Cephalophus ogilbyi
Cephalophus callipygus
Cephalophus rufilatus
Cephalophus weynsi
Cephalophus leucogaster
Cephalophus silvicultor
Cephalophus zebra
Sylvicapra grimmia
Hippotraginae
Palanca
Palanca-vermelha
Palanca-negra
Oryx
Oryx beisa
Oryx dammah
Órix
Órix-da-arábia
Adax
Reduncinae
Kobus
Kobus anselli
Kobus ellipsiprymnus
Kobus kob
Kobus leche
Kobus megaceros
Kobus vardonii
Redunca
Redunca arundinum
Redunca fulvorufula
Redunca redunca
Impala
Pelea capreolus
Alcelaphinae
Beatragus hunteri
Damaliscus
Topi
Damaliscus pygargus
Alcelaphus
Gondonga
Alcelaphus caama
Alcelaphus lichtensteinii
Gnu
Connochaetes gnou
