Tratado
Organização dos Estados Americanos
30 de abril
1948
Bogotá
13 de dezembro
1951
27 de fevereiro
1967
5 de dezembro
1985
14 de dezembro
1992
10 de junho
1993
América
Argentina
Bolívia
Brasil
Chile
Colômbia
Costa Rica
Cuba
1962
Equador
El Salvador
Estados Unidos da América
Guatemala
Haiti
Honduras
México
Nicarágua
Panamá
Paraguai
Peru
República Dominicana
Uruguai
Venezuela
Antígua e Barbuda
Barbados
Trinidad e Tobago
Jamaica
1969
Granada (país)
1975
Suriname
1977
Dominica
1979
Santa Lúcia
São Vicente e Granadinas
1981
Bahamas
1982
São Cristóvão e Nevis
1984
Canadá
1990
Belize
1991
Guiana
Demetrio Magnoli
Estados Unidos
São Cristóvão e Neves
Trindade e Tobago
Bandeira da Organização dos Estados Americanos
Carta Democrática Interamericana
Estrutura da Organização dos Estados Americanos
Assembleia Geral da Organização dos Estados Americanos
Secretaria-geral da Organização dos Estados Americanos
Organização Pan-Americana da Saúde
Junta Interamericana de Defesa
Tratado Interamericano de Assistência Recíproca
Sistema Interamericano de Proteção aos Direitos Humanos
Convenção Americana sobre Direitos Humanos
Comissão Interamericana de Direitos Humanos
Corte Interamericana de Direitos Humanos
Instituto Interamericano da Criança
Cúpula das Américas
Banco Interamericano de Desenvolvimento
Capital Americana da Cultura
Pan-americanismo
