Wagyu
Alimento
Bovinos
Gado bovino
Carne
Europa
Culinária da Austrália
África
Ásia Oriental
Sudeste Asiático
Hinduísmo
Budismo
Músculo
Bife
Carne moída
Sangue
Morcela
Cauda
Língua
Tripa
Estômago
Glândula
Pâncreas
Timo
Coração
Cérebro
Encefalopatia espongiforme bovina
Fígado
Rim
Testículo
Touro (animal)
Estados Unidos
Ostra
Montanhas Rochosas
Pradaria
Intestino
Osso
Tutano
Caldo
Boi
Reprodução
Curral
Brasil
Japão
República Popular da China
Austrália
Argentina
Canadá
Uruguai
Nicarágua
Rússia
México
China
França
Alemanha
Acém
Acem
Cupim (carne)
Churrasco
Paleta bovina
Peito bovino
Costela
Fraldinha
Ponta de agulha
Alcatra
Capa de filé
Chuleta
Contra filé
Coxão duro
Coxão mole
Filé mignon
Lagarto (carne bovina)
Músculo dianteiro
Músculo traseiro
Patinho (carne bovina)
Picanha
Ponta de alcatra ou maminha
Bucho bovino
Portugal
Cachaço (culinária)
Rosbife
Lombo (gastronomia)
Rabadilha
Denominação de origem protegida
Carnalentejana
Carne Arouquesa
Carne Barrosã
Carne Cachena da Peneda
Carne de Bravo do Ribatejo
Carne da Charneca
Carne Marinhoa
Carne Maronesa
Carne Mertolenga
Carne Mirandesa
Departamento de Agricultura dos Estados Unidos da América
International Standard Serial Number
PubMed Identifier
Digital object identifier
Carro de boi
Pecuária de corte
Pecuária e sustentabilidade
Seleção artificial
Anexo:Lista de tipos de carne bovina
Culinária
Ave de caça
Ave de capoeira
Fruto do mar
Peixe
Avestruz-comum
Cervídeos
Codorniz-comum
Coelho
Frango
Faisão
Ganso
Pato
Peru (ave)
Perdiz
Tetraz
Pecuária
Bisonte
Vitela
Cabra-doméstica
Carne de cachorro
Camelo
Canguru
Carne de cavalo
Ovis aries
Iaque
Lhama
Carne de porco
Anchova
Arenque
Atum
Bacalhau
Bagre
Misticetos
Camarão
Caranguejo
Carpa-comum
Anguillidae
Golfinho
Lagosta
Lagostim
Salmão
Dicentrarchus labrax
Sardinha
Tilápia
Truta
Enchido
Presunto
Toucinho
Abate animal
Abatedouro
Açougue
Carne artificial
Carne de animal silvestre
Carne branca
Carne vermelha
Conservação de alimentos
