A Marselhesa
Marigot (São Martinho)
Língua francesa
Gentílico
Coletividade de ultramar
França
Presidente da França
Emmanuel Macron
Prefeito
Países Baixos
Guadeloupe
Quilómetro quadrado
Fronteira
Sint Maarten
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Euro
ISO 4217
Dólar americano
Fuso horário
UTC
ISO 3166-1
ISO 3166-2:FR
Lista de TLDs
.mf
.fr
.gp
Lista de códigos telefónicos
República Francesa
Caribe
21 de fevereiro
2007
São Martinho (ilha)
Tintamarre
Língua neerlandesa
São Martinho (Países Baixos)
Reino dos Países Baixos
Cristóvão Colombo
11 de novembro
1493
1648
Guadalupe
2004
1982
Km²
Turismo
Resort
Subsídio
Casino
Lista de territórios dependentes
Lista de Estados soberanos e territórios dependentes da América
