Língua grega
Translit.
Língua portuguesa
Sociologia
Política
Economia
Medicina
Psicopatologia
Psicologia
Psicologia do Desenvolvimento
Mudança
Harmonia
Homeostase
Perda
Stress
Adaptação
Reacção
Regressão (estatística)
Desenvolvimento
Crise econômica
Wikiquote
International Standard Serial Number
Digital object identifier
International Standard Book Number
