Planície (Revolução Francesa)
Geografia
Altitude
Deserto
Pântano
Europa
América
Metros acima do nível do mar
Planície Amazônica
Várzea
Planície Pantanal
Planície Litorânea
Planície Abissal
Planície Aluvial
Pampa
Grandes Planícies
Planície da Panónia
Acidente geográfico
Costa
Península
Cabo (geografia)
Baía
Enseada
Saco (acidente geográfico)
Arrecife
Atol
Praia
Estreito
Falésia
Fiorde
Corpo de água
Curso de água
Rio
Canal
Córrego
Meandro
Foz
Barra
Delta
Estuário
Oceano
Mar
Lagoa
Lago
Laguna
Aquífero
Queda de água
Geleira
Continente
Ilha
Arquipélago
Ilhéu
Matacão
Istmo
Depressão (geografia)
Abismo
Buraco azul
Fossa oceânica
Vale
Cânion
Planície de inundação
Cratera
Montanha
Morro
Outeiro
Cordilheira
Serra
Passo de montanha
Planalto
Chapada
Mesa (geografia)
Vulcão
Lago seco
Duna
Oásis
