Irlanda (ilha)
Irlanda do Norte
Língua irlandesa
Língua inglesa
Bandeira da Irlanda
Brasão de armas da República da Irlanda
Hino nacional da República da Irlanda
União Europeia
Dublin
Gentílico
Irlandeses
República
Estado unitário
Parlamentarismo
Presidente da Irlanda
Michael Higgins
Taoiseach
Simon Harris
Tánaiste
Micheál Martin
História da Irlanda
Reino Unido
24 de abril
1916
6 de dezembro
1922
Quilómetro quadrado
Lista de países e territórios por área
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
1 000 000 000
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Euro
ISO 4217
Fuso horário
Tempo Universal Coordenado
Horário de verão
ISO 3166-1
Lista de TLDs
.ie
Lista de códigos telefónicos
Estado
Europa
República constitucional
Democracia parlamentar
Chefe de Estado
País desenvolvido
Índice de democracia
Índice de Liberdade de Imprensa
Econômica
Conselho da Europa
Organização para a Cooperação e Desenvolvimento Econômico
Organização Mundial do Comércio
Organização das Nações Unidas
Estado Livre Irlandês
Domínio (política)
Império Britânico
Tratado Anglo-Irlandês
Guerra de Independência da Irlanda
Partição da Irlanda
Home Rule
Unionismo (Irlanda)
Condado
Ulster
Oceano Atlântico
Mar Céltico
Canal de São Jorge
Mar da Irlanda
Reino da Irlanda
Reino da Grã-Bretanha
União pessoal
Reino Unido da Grã-Bretanha e Irlanda
Revolta da Páscoa
Exército Republicano Irlandês
Guerrilha
Commonwealth
Estatuto de Westminster
Constituição da Irlanda
Ato da República da Irlanda (1948)
Protecionismo
Comunidade Econômica Europeia
Liberalismo econômico
Tigre Celta
Crise econômica de 2008-2011
Constituição da República da Irlanda
Língua gaélica
Monarquia constitucional
Proclamação da República da Irlanda
Deputado
Dáil Éireann
Irlanda do Sul
História da Irlanda (400-800)
História da Irlanda (800-1169)
Irlanda gaélica
Senhorio da Irlanda
República da Irlanda (1919-1922)
História da República da Irlanda
História econômica da Irlanda
Newgrange
Conjunto Arqueológico do Vale do Boyne
Caçadores-coletores
Ponte terrestre
Irlanda Gaélica
Leinster
Munster (Irlanda)
Connacht
Grande Rei da Irlanda
Anais dos Quatro Mestres
Beltane
Cristianismo
Invasão normanda na Irlanda
Glendalough
Invasões viquingues
Reino da Inglaterra
João I de Inglaterra
Henrique II da Inglaterra
Henrique VIII de Inglaterra
Papa
Igreja da Inglaterra
Reforma Inglesa
Vassalo
Protestantismo
Ingleses
Escoceses
Igreja Católica
Sectário
Parlamento da Irlanda
Igreja Anglicana
Leis penais da Irlanda
Rebelião Irlandesa de 1798
Ato de União de 1800
Ato de Prova
Emancipação Católica
Grande fome de 1845–1849 na Irlanda
Imigração irlandesa nos Estados Unidos
Imigração irlandesa no Brasil
Fome
Doença
Emigração
Oomiceto
Phytophthora infestans
Batata
Década de 1840
Guerra dos Trinta Anos
Primeira Guerra Mundial
Novo Mundo
Parlamento da Irlanda do Norte
Reino Unido da Grã-Bretanha e Irlanda do Norte
Exército Civil Irlandês
Patrick Pearse
Joseph Plunkett
James Connolly
Charles Stewart Parnell
Acto de União de 1800
Grande fome de 1845-1849 na Irlanda
Agricultura
Câmara dos Lordes
Veto
Sindicalismo
Protestante
Catolicismo
Proclamação da República Irlandesa
H. H. Asquith
Sinn Féin
Câmara dos Comuns
Declaração de Independência da Irlanda
União das Repúblicas Socialistas Soviéticas
Ceann Comhairle
Seán T. O'Kelly
Conferência de Paz de Paris (1919)
Câmara baixa
Arthur Griffith
Michael Collins
Londres
Knightsbridge
Governador-Geral do Estado Livre Irlandês
Bicameralismo
Presidente do Conselho Executivo do Estado Livre Irlandês
Guerra Civil Irlandesa
Éamon de Valera
Legislatura
Jorge V do Reino Unido
Exército Irlandês
Éire
Presidente da República da Irlanda
Dinamarca
Segunda Guerra Mundial
A emergência
Nações Unidas
Conflito na Irlanda do Norte
Acordo de Belfast
Ilha da Irlanda
Canal do Norte
Carrauntoohil
Paul (ecossistema)
Turfa
Clima temperado
Corrente do Atlântico Norte
Chuva
Cork
Galway
Limerick
Waterford (Irlanda)
Planície
Ilha
Montanha
Leste
Região
Mar
Oeste
Norte
Sul
Metro
Rocha
Subsolo
Calcário
Rio
Rio subterrâneo
Lagos (Portugal)
Rio temporário
Maciço
Terreno (geologia)
Granito
Xisto
Quartzito
Arenito
Cordilheira
Condado de Clare
Litoral
Cume
Noroeste
Basalto
Nordeste
Ponto culminante
Carrauntoohill
Geleira
Estratigrafia
Vale
Morro
Fertilidade
Clima
Falésias de Moher
País
Estepe
Pastagem
Bosque
Pântano
Turfeira
Cadeia de montanhas
Carrantuohill
Golfo
Baía
Penhasco
Baía de Galway
Baía de Bantry
Cork (condado)
Baía de Dublin
Condado de Limerick
Rio Shannon
Sudoeste
Rio Liffey
Rio Suir
Rio Boyne
Lago
Derg
Ree
Nevoeiro
Inverno
Clima úmido
Temperatura
Verão
Corrente do Golfo
Corrente oceânica
Ilhas Britânicas
Água
Vento
Pluviometria
Inundação
Veado
Animal
Vegetação
Glaciação
Norte da Europa
Árvore
Folha
Carvalho
Fagus sylvatica
Conífera
Homem
Ave
Roedor
Coelho
Esquilo
Lagartos
Cobra
Lenda
São Patrício
Orago
Turfeiras
Trifolium
Musgos
Hera (planta)
Campo (agricultura)
Natureza
Aves
Roedores de Ossos
Habitação
Ursidae
Lobo
Alce
Corno
Truta
Salmão
Peixe
Réptil
Lagarto
Sacola plástica
Reciclagem
Lâmpada incandescente
Placa de trânsito
Língua celta
Gaeltacht
Capital
Cidade
Paleolítico
Neolítico
Genealogia
Cruithne
Eóganachta
Viquingues
Normandos
Idade do Gelo
Inglaterra
Escócia
Idade do Bronze
Ásia
África
Nigéria
América
Estados Unidos
Austrália
Nova Zelândia
Conquista da Irlanda por Cromwell
Oliver Cromwell
Polónia
Lituânia
Letónia
Alemanha
China
República Checa
Roménia
Década de 1990
Religião na República da Irlanda
Catolicismo na Irlanda
Religião na Irlanda
Catolicismo romano
Sem religião
Islamismo
Catedral de São Finbarr
Igreja Católica Romana
Missa
Hierarquia
Divórcio
Referendo
Casamento gay
Aborto
Itália
Portugal
Igreja da Irlanda
Islão
Judeus
Idade Média
Sefardita
Parada LGBT
Pena de morte
Orientação sexual
Religião
Raças humanas
Homossexualidade
União civil
Casamento entre pessoas do mesmo sexo
Igualdade de gênero
Caridade
Contracepção
Secularismo
República da Irlanda
Drogheda
Dundalk
Swords (Irlanda)
Navan
Política da República da Irlanda
Edifícios do Governo
Legislativo
Câmara dos Deputados
Seanad Éireann
Senado
Primeiro-Ministro
Câmara (tribunal)
Conselho de Estado (Irlanda)
Michael D. Higgins
Missões diplomáticas da República da Irlanda
Presidência do Conselho da União Europeia
OTAN
Forças de Defesa da Irlanda
Forças de manutenção da paz das Nações Unidas
Crise do Congo
Chipre
Líbano
Bósnia e Herzegovina
Forças armadas britânicas
Guerra Fria
Crise dos mísseis de Cuba
Checoslováquia
CIA
Invasão do Iraque em 2003
Aeroporto de Shannon
Invasão do Afeganistão pelos Estados Unidos
Primeira Guerra do Golfo
Parceria para a Paz
União Soviética
País neutro
ONU
Dáil
Serviço Naval Irlandês
Corpo Aéreo Irlandês
Zona económica exclusiva
PfP
Reservista
Tratado sobre a Proibição das Armas Nucleares
Subdivisões da República da Irlanda
Condados da República da Irlanda
Condado de Dublin
Condado de Tipperary
Kilkenny
Clonmel
Sligo
Wexford
Condado de Fingal
Condado de Dún Laoghaire–Rathdownl
Condado de South Dublin
Condado de Wicklow
Condado de Wexford
Condado de Carlow
Condado de Kildare
Condado de Meath
Condado de Louth
Condado de Monaghan
Condado de Cavan
Condado de Longford
Condado de Westmeath
Condado de Offaly
Condado de Laois
Condado de Kilkenny
Condado de Waterford
Condado de Cork
Condado de Kerry
Condado de Galway
Condado de Mayo
Condado de Roscommon
Condado de Sligo
Condado de Leitrim
Condado de Donegal
Economia da República da Irlanda
Crise da dívida pública da Zona Euro
Centro financeiro
Exportação
Alta tecnologia
Serviços
Estados-membros da UE
Investimento estrangeiro direto
Multinacionais
Intel
Microsoft
Google
Índice de Liberdade Econômica
Produto nacional bruto
Bolha imobiliária
Recessão
Spire of Dublin
Fundo Monetário Internacional
Suécia
Software
Zinco
Chumbo
Gipsita
Cobre
Prata
Ouro
Barita
Dolomita
Gado
Alumínio
Petróleo
Superávit
€
Estado-membro da UE
Cartão europeu de seguro de doença
Expectativa de vida
Taxa de natalidade
Mortalidade infantil
University College Cork
University College Dublin
Universidade de Dublin
Programa Internacional de Avaliação de Alunos
Aeroporto de Dublin
Aeroporto de Cork
Aer Lingus
Ryanair
Auto-estrada
Cultura da República da Irlanda
Dia de São Patrício
Jonathan Swift
Oscar Wilde
James Joyce
Prémio Nobel da Literatura
George Bernard Shaw
W. B. Yeats
Samuel Beckett
Seamus Heaney
Prémio Nobel da Física
Ernest Walton
William Thompson (naturalista)
William Rowan Hamilton
Física
Matemática
Temple Bar
Riverdance
Hans Sloane
Botânica
Museu Britânico
17 de março
Harpa
Santíssima Trindade
Claddagh
Anel
26 de dezembro
Santo Estevão
Imbolc
Brígida da Irlanda
Bealtaine
Moon
Samhain
Dia de Todos os Santos
Rei Artur
Princesa
Rainha
Poema
Tristão
Béroul
Gottfried von Strassburg
Leprechaun
Duende
William Butler Yeats
Book of Kells
São Columba
Manuscrito
Monasticismo
Cristianismo irlandês
Miniatura (iluminura)
Latim
Evangelho
Novo Testamento
Poesia
Vernáculo
Poesia lírica
Brendan Behan
Douglas Hyde
Flann O'Brien
Sheridan Le Fanu
Sean O'Casey
George Berkeley
Richard Brinsley Sheridan
Oliver Goldsmith
Bram Stoker
Eoin Colfer
C. S. Lewis
Marian Keyes
U2
Maureen O'Hara
Barry Fitzgerald
George Brent
Maureen O'Sullivan
Richard Harris
Peter O'Toole
Pierce Brosnan
Gabriel Byrne
Brendan Gleeson
Colm Meaney
Colin Farrell
Jamie Dornan
Brenda Fricker
Jonathan Rhys Meyers
Stuart Townsend
Cillian Murphy
Liam Neeson
Evanna Lynch
Andrew Scott
Neil Jordan
Jim Sheridan
Braveheart
Excalibur
P.S. I Love You (filme)
Saving Private Ryan
Michael Collins (filme)
Música da Irlanda
Christy Moore
Shane MacGowan
Sinéad O'Connor
The Cranberries
The Corrs
Bob Geldof
Gary Moore
Thin Lizzy
Horslips
Rory Gallagher
Westlife
Chris de Burgh
Van Morrison
Enya
The Dubliners
The Chieftains
Celtic Woman
James Galway
Festival Eurovisão da Canção
Recorde
Johnny Logan
Guinness
Irish stew
Toucinho
Couve
Linguiça
Porco
Pequeno-almoço
Batata frita
Pub
Sidra
Whiskey
Café irlandês
Nata
Álcool
Croke Park
Futebol
Desporto
Seleção Irlandesa de Futebol
Copa do Mundo
Críquete
Copa do Mundo de Críquete de 2007
Paquistão
Futebol gaélico
Hurling
Camogie
Rugby
Seis Nações
Dave Finlay
WWE
Snooker
Ken Doherty
Boxe
John L. Sullivan
Tour de França
Stephen Roche
Fórmula 1
Jordan Grand Prix
Rally da Irlanda
World Rally Championship
1 de janeiro
Ano Novo
Páscoa
Dia do Trabalhador
25 de dezembro
Natal
Programa das Nações Unidas para o Desenvolvimento
International Standard Book Number
Wayback Machine
Comunidade Europeia
Joel Mokyr
NASA
G1
Central Intelligence Agency
International Air Transport Association
Bandeira da República da Irlanda
Cinema da República da Irlanda
Culinária da República da Irlanda
Demografia da República da Irlanda
Geografia da República da Irlanda
Governo da República da Irlanda
Culinária da Irlanda
Países do Reino Unido
País de Gales
Dependências da Coroa Britânica
Guernsey
Jersey
Ilha de Man
Conselho Britânico-Irlandês
Ilhas do Canal
Grã-Bretanha
Hébridas
Hébridas Interiores
Hébridas Exteriores
Ilhas Scilly
Órcades
Shetland
História do Reino Unido
História da Inglaterra
História da Escócia
História do País de Gales
Reino da Escócia
Principado de Gales
Auregnais
Língua de sinais britânica
Língua córnica
Língua francesa
Guernésiais
Jèrriais
Língua manesa
Língua ânglica escocesa
Língua gaélica escocesa
Sercquiais
Língua shelta
Língua galesa
Britânicos
Córnicos
Romnichals
Pavee
Galeses
Estados-membros da União Europeia
Áustria
Bélgica
Bulgária
Chéquia
Croácia
Eslováquia
Eslovénia
Espanha
Estónia
Finlândia
França
Grécia
Hungria
Luxemburgo
Malta
Países Baixos
Romênia
Alargamento da União Europeia
Adesão da Albânia à União Europeia
Adesão da Bósnia e Herzegovina à União Europeia
Adesão do Cossovo à União Europeia
Adesão da Islândia à União Europeia
Adesão da Macedónia do Norte à União Europeia
Adesão de Moldávia à União Europeia
Adesão de Montenegro à União Europeia
Adesão da Sérvia à União Europeia
Adesão da Turquia à União Europeia
Adesão da Ucrânia à União Europeia
Gronelândia
Saída do Reino Unido da União Europeia
História da União Europeia
Comunidade Europeia do Carvão e do Aço
Comunidade Económica Europeia
Comunidade Europeia da Energia Atómica
Instituições da União Europeia
Parlamento Europeu
Comissão Europeia
Conselho Europeu
Conselho da União Europeia
Conselho dos Negócios Estrangeiros
Tribunal de Justiça da União Europeia
Tribunal Geral da União Europeia
Banco Central Europeu
Tribunal de Contas Europeu
Agências da União Europeia
Eurojust
Europol
Frontex
Agência Europeia do Ambiente
Agência Espacial Europeia
Agência Europeia de Reconstrução
Centro Europeu de Prevenção e Controlo das Doenças
Serviço Europeu de Ação Externa
Política da União Europeia
Eleições na União Europeia
Partido político europeu
Integração europeia
Euroceticismo
Relações internacionais da União Europeia
Eurodeputado
Direito da União Europeia
Acervo comunitário
Jornal Oficial da União Europeia
Lei da concorrência da União Europeia
Diretiva (União Europeia)
Lei dos Direitos de Autor da União Europeia
Mercado comum da União Europeia
Procedimento legislativo da União Europeia
Regulamento (União Europeia)
Tratados da União Europeia
Derrogações na União Europeia
Acordo de Schengen
Geografia da União Europeia
Fronteiras da União Europeia
Pontos extremos da União Europeia
Lista de cidades da União Europeia por população
Lista das áreas urbanas da União Europeia
Regiões ultraperiféricas da União Europeia
Economia da União Europeia
Política Agrícola Comum da União Europeia
Orçamento da União Europeia
Banco Europeu de Investimento
Fundo Europeu de Investimento
Zona Euro
Política de desenvolvimento regional da União Europeia
Galileo
Cultura da União Europeia
Cidadania da União Europeia
Passaporte da União Europeia
Demografia da União Europeia
Carta de condução europeia
Instituto Europeu da Inovação e da Tecnologia
Línguas da União Europeia
The European Library
Símbolos da União Europeia
Estatísticas da União Europeia
Lista de Conselhos Europeus
Nomenclatura das Unidades Territoriais para Fins Estatísticos
Placas de identificação de veículos na Europa
Forças armadas da União Europeia
Supranacionalismo
Euroesfera
Lista de países
Albânia
Andorra
Arménia
Azerbaijão
Bielorrússia
Cazaquistão
Geórgia
Islândia
Liechtenstein
Macedónia do Norte
Moldávia
Mónaco
Montenegro
