Suriname (colônia holandesa)
Surinan
Bandeira do Suriname
Brasão de armas do Suriname
Latim
God zij met ons Suriname
Paramaribo
Língua neerlandesa
Gentílico
República
Lista de países por sistema de governo
Estado unitário
Lista de presidentes do Suriname
Chan Santokhi
Vice-presidente
Ronnie Brunswijk
Independência do Suriname
Países Baixos
25 de novembro
1975
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Brasil
Guiana
França
Guiana Francesa
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Bilhões
Escalas curta e longa
Renda per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Dólar do Suriname
ISO 4217
Fuso horário
Tempo Universal Coordenado
ISO 3166-1
Lista de TLDs
.sr
Lista de códigos telefónicos
Português europeu
Português brasileiro
Sranan
País
América do Sul
Oceano Atlântico
Dólar dos Estados Unidos
Indígenas
Século XVI
Século XVII
Plantation
Ásia
Reino dos Países Baixos
Independência
América Latina
Língua Neerlandesa
Línguas germânicas
Língua inglesa
Caribe
Império Britânico
Império Neerlandês
Caribenho
Comunidade do Caribe
Línguas crioulas
Língua franca
Europa
Grupo étnico
Religião
Lista de línguas
Língua lokono
História do Suriname
Javaneses
Índias Orientais Holandesas
Império Espanhol
Guianas
Tratado de Breda
Segunda Guerra Anglo-Holandesa
Índia
Java
Golpe de Estado no Suriname em 1980
Guerra Civil do Suriname
Desi Bouterse
Anos 80
Democracia
Densidade demográfica
Cuba
Estados Unidos
Granada (país)
Nicarágua
Venezuela
Dési Bouterse
Johan Ferrier
Violência
Inquérito policial
Constituição
Partido político
Exército
Ramsewak Shankar
Selva
Assembleia Nacional
Governo
Ronald Venetiaan
Presidente
Política
Forças Armadas
Paz
Guerrilha
Bauxita
Economia
População
Pobreza
Desemprego
Ditador
Suspeito
Tráfico de drogas
Jules Wijdenbosch
Diplomática
Golpe
Prisão
Salários
Greve
Protesto
Parlamento
Águas
Jamaica
Liberdade
Rádio (comunicação)
Moeda
Lama
Mercúrio (elemento químico)
Mineração
ONU
Petróleo
Gás natural
Geografia do Suriname
Mapa topográfico
Planalto das Guianas
Floresta húmida
Savana
Fronteira Brasil-Suriname
Juliana Top
Fronteira França-Suriname
Fronteira Guiana–Suriname
Rio Maroni
Rio Corentyne
Convenção das Nações Unidas sobre o Direito do Mar
Classificação climática de Köppen-Geiger
Linha do equador
Clima tropical
Estação das chuvas
Estação seca
Albufeira de Brokopondo
Conservação Internacional
Brosimum guianense
Demografia do Suriname
Mestiços
Crioulos
Hindustani
Quilombolas
Ilha de Java
Saramaka
Crioulo (pessoa)
Línguas do Suriname
Língua oficial
União da língua Neerlandesa
Língua javanesa
Língua indonésia
Hindi
Ameríndios
Língua ndyuka
Saramacano
Língua portuguesa
África
Turismo
Língua Castelhana
Língua francesa
Lelydorp
Wanica
Nieuw Nickerie
Nickerie
Moengo
Marowijne
Nieuw Amsterdam
Commewijne
Albina
Groningen
Saramacca
Brownsweg
Brokopondo
Política do Suriname
Gouvernementsgebouw
Residência oficial
UNASUL
CARICOM
OEA
CEPAL
OCI
Subdivisões do Suriname
Brokopondo (cidade)
Coronie
Totness
Para (Suriname)
Onverwacht
Paramaribo (distrito)
Groningen (Suriname)
Sipaliwini
Economia do Suriname
Mercosul
Educação no Suriname
Educação
Educação obrigatória
Igreja Católica
Igreja dos Irmãos Morávios
Educação infantil
Escola secundária
Escola técnica
Cultura do Suriname
Artesanato
Cibercultura
Cinema
Esporte
Entretenimento
Folclore
Gastronomia
Passatempo
Jogo
Misticismo
Mitologia
Ocultismo
André Kamperveen Stadion
Anthony Nesty
100 metros borboleta
Jogos Olímpicos de Verão de 1988
Jogos Olímpicos de Verão de 1992
Clarence Seedorf
Edgar Davids
Seleção Neerlandesa de Futebol
Groot Desseyn
Lista de Estados soberanos
Lista de Estados soberanos e territórios dependentes da América
Relatório de Desenvolvimento Humano
Central Intelligence Agency
International Standard Serial Number
JSTOR
Digital object identifier
Dorling Kindersley
Wikilivros
Wikinotícias
Hino nacional do Suriname
América
Países da América
Antígua e Barbuda
Argentina
Bahamas
Barbados
Belize
Bolívia
Canadá
Chile
Colômbia
Costa Rica
Dominica
El Salvador
Equador
Guatemala
Haiti
Honduras
México
Panamá
Paraguai
Peru
República Dominicana
Santa Lúcia
São Cristóvão e Neves
São Vicente e Granadinas
Trindade e Tobago
Uruguai
Lista de países da América
Anguila
Aruba
Bermudas
Curaçau
Groenlândia
Guadalupe
Ilhas Caimão
Ilhas Geórgia do Sul e Sanduíche do Sul
Ilhas Malvinas
Ilhas Virgens Britânicas
Ilhas Virgens dos Estados Unidos
Martinica
Monserrate (ilha)
Países Baixos Caribenhos
Bonaire
Saba
Santo Eustáquio (Países Baixos)
Porto Rico
São Bartolomeu (coletividade)
São Martinho (França)
São Martinho (Países Baixos)
São Pedro e Miquelão
Turcas e Caicos
Organização dos Estados Americanos
Bandeira da Organização dos Estados Americanos
Carta da Organização dos Estados Americanos
Carta Democrática Interamericana
Estrutura da Organização dos Estados Americanos
Assembleia Geral da Organização dos Estados Americanos
Secretaria-geral da Organização dos Estados Americanos
Organização Pan-Americana da Saúde
Junta Interamericana de Defesa
Tratado Interamericano de Assistência Recíproca
Sistema Interamericano de Proteção aos Direitos Humanos
Convenção Americana sobre Direitos Humanos
Comissão Interamericana de Direitos Humanos
Corte Interamericana de Direitos Humanos
Instituto Interamericano da Criança
Cúpula das Américas
Banco Interamericano de Desenvolvimento
Capital Americana da Cultura
Pan-americanismo
União de Nações Sul-Americanas
Estados-membros da União de Nações Sul-Americanas
Bandeira da União de Nações Sul-Americanas
Banco do Sul
Conselho de Defesa Sul-Americano
Conselho Energético Sul-Americano
Conselho de Saúde Sul-Americano
Instituto Sul-Americano de Governo em Saúde
Parlamento Sul-Americano
Presidente da União de Nações Sul-Americanas
Secretário-geral da União de Nações Sul-Americanas
Declaração de Cusco
Tratado Constitutivo da Unasul
Cúpula Sul-Americana
4.ª Cúpula da Unasul
Cúpula América do Sul - África
Cúpula América do Sul - Países Árabes
II Cúpula América do Sul - Países Árabes
Integração sul-americana
Iniciativa para a Integração da Infraestrutura Regional Sul-Americana
Corredor bioceânico
Estrada do Pacífico
Ferrovia Transoceânica
Rodovia Pan-Americana
Anel Energético Sul-Americano
Gás de Camisea
Gasoduto Transcaribenho
Grande Gasoduto do Sul
Base Virtual Internacional de Autoridade
Biblioteca Nacional da França
Grande Enciclopédia Soviética
Encyclopædia Britannica
Faceted Application of Subject Terminology
Gemeinsame Normdatei
Dicionário Histórico da Suíça
International Standard Name Identifier
KulturNav
Número de controle da Biblioteca do Congresso
Arquivos Nacionais e Administração de Documentos
Biblioteca Nacional da Dieta
Sistema Universitário de Documentação
Biblioteca Nacional de Israel
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
Medical Subject Headings
Sistema Unificado de Linguagem Médica
