23 de outubro
1940
Três Corações
Minas Gerais
Brasil
Brasileiros
29 de dezembro
2022
São Paulo
São Paulo (estado)
Ambidestria
Atacante (futebol)
Bauru Atlético Clube
Santos Futebol Clube
New York Cosmos
Seleção Brasileira de Futebol
Copa do Mundo FIFA
Copa do Mundo FIFA de 1958
Copa do Mundo FIFA de 1962
Copa do Mundo FIFA de 1970
Copa América
Campeonato Sul-Americano de Futebol de 1959 (Argentina)
Futebolista
Atleta
Futebolistas do Século
Federação Internacional de História e Estatísticas do Futebol
Melhor Jogador do Século da FIFA
Comitê Olímpico Internacional
Guinness World Records
Copa Libertadores da América
Copa Intercontinental
Copa Intercontinental de 1962
Copa Intercontinental de 1963
Jogo bonito
Ministério do Esporte (Brasil)
Governo Fernando Henrique Cardoso
Presidente de honra
New York Cosmos (2010)
Playmaker
Drible
Copa do Mundo FIFA de 2018
Comentarista de arbitragem
Câncer de cólon
Morte e funeral de Pelé
Falência múltipla de órgãos
Memorial Necrópole Ecumênica
Santos
João Ramos do Nascimento
Thomas Edison
Alcunha
São Lourenço (Minas Gerais)
Club de Regatas Vasco da Gama
Língua hebraica
Língua portuguesa
Bauru
Chuteira
Campeonato Paulista de Futebol
Futebol de salão
Radium Futebol Clube
Mococa
Bangu Atlético Clube
Esporte Clube Noroeste
Waldemar de Brito
Luís Alonso Pérez
Estádio Urbano Caldeira
Cruzeiro (moeda)
Corinthians Futebol Clube
Emmanuele Del Vecchio
Rio Grande do Sul
Grêmio Esportivo Brasil
Grêmio Foot-Ball Porto Alegrense
Torneio Rio-São Paulo de 1957
Dorval Rodrigues
Estádio Cícero Pompeu de Toledo
São Paulo Futebol Clube
Clube de Futebol Os Belenenses
Clube de Regatas do Flamengo
Sylvio Pirillo
Museu da Imagem e do Som (Rio de Janeiro)
Hellas Verona Football Club
Camisa 10
Campeonato Paulista de Futebol de 1957
Torneio Rio-São Paulo de 1958
Pepe (futebolista brasileiro)
America Football Club (Rio de Janeiro)
Nelson Rodrigues
Complexo de vira-lata
Suécia
Inter de Milão
América
Sport Boys Association
Torneio Rio-São Paulo de 1959
Europa
Futbol Club Barcelona
Hamburger Sport-Verein
Real Madrid Club de Fútbol
Real Madrid 5–3 Santos (1959)
Luis Carniglia
Raymond Kopa
Raimundo Saporta
Estádio Conde Rodolfo Crespi
Drible da vaca
Comercial Futebol Clube (Ribeirão Preto)
Folha de S.Paulo
Taça Brasil de 1959
Esporte Clube Bahia
Estádio Fonte Nova
Pai Santana
Troféu Gialorosso
Associazione Sportiva Roma
Torneio de Paris de Futebol
Stade de Reims
Racing Club de France
Campeonato Paulista de Futebol de 1960
Deportivo Saprissa
Club Sport Herediano
Torneio Rio-São Paulo de 1961
PAE Olympiacos Syndesmos Filathlon Piraeus
Taça Brasil de Futebol
Campeonato Brasileiro de Futebol de 1961
Football Club Internazionale Milano
Juventus Football Club
Associazione Calcio Milan
Lira italiana
La Repubblica
Presidente da República brasileira
Jânio Quadros
João Mendonça Falcão
Conselho Nacional de Desportos
América do Sul
Racing Club
Triplete (desportos)
Liga Deportiva Universitaria (Quito)
Guayaquil
Club Cerro Porteño
Club Deportivo Municipal
Club Deportivo Universidad Católica
Copa Libertadores da América de 1961
Club Atlético Peñarol
Alberto da Costa Pereira
Sport Lisboa e Benfica
Lisboa
Gazeta Esportiva
A Bola
José Augusto de Almeida
Campeonato Paulista de Futebol de 1962
Taça Brasil de 1962
Sport Club do Recife
Botafogo de Futebol e Regatas
Estádio Municipal Paulo Machado de Carvalho
Manchester United Football Club
Chile
Peru
Torneio Rio-São Paulo de 1963
Artilheiro (futebol)
Copa Libertadores da América de 1963
Albeiro Usuriaga
Miguel Borja
Bruno Henrique Pinto
Club Atlético Boca Juniors
La Bombonera
Taça Brasil de 1963
Estádio Olímpico Monumental
Estádio Octávio Mangabeira
A Gazeta Esportiva
Club Atlético Independiente
Torneio Rio-São Paulo de 1964
Olaria Atlético Clube
Borussia Dortmund
Association Sportive de Saint-Étienne Loire
Borussia Mönchengladbach
Botafogo Futebol Clube (Ribeirão Preto)
Osvaldo Brandão
Copa Libertadores da América de 1964
Taça Brasil de 1964
Julio Grondona
Torneio Internacional de Santiago
Seleção Tchecoslovaca de Futebol
Copa Libertadores da América de 1965
Club Universidad de Chile
Fluminense Football Club
Clube do Remo
Estádio Manuel Ferreira
Assunção
Club Olimpia
Maceió
Clube de Regatas Brasil
Torneio Quadrangular de Buenos Aires
Ferenc Puskás
Campeonato Brasileiro de Futebol de 1965
Guanabara
Costa do Marfim
Argentina
El Salvador
Venezuela
Abidjan
Jornal do Brasil
Taça Círculo de Periódicos Esportivos
Caracas
Torneio Rio-São Paulo de 1966
Lua de mel
Copa do Mundo FIFA de 1966
Nova Iorque
Eusébio
Hipérbole (figura de estilo)
Athlitiki Enosis Konstantinoupoleos
Grécia
Emilio Azcárraga Vidaurreta
Telesistema Mexicano
Estádio Azteca
Polícia Federal do Brasil
Ministério da Justiça e Segurança Pública (Brasil)
Luís Antônio da Gama e Silva
África
Pointe-Noire
República do Congo
Brazavile
Seleção Congolesa de Futebol
Lima (futebolista)
Histeria coletiva
Nigéria
Guerra Civil da Nigéria
Antropologia
Yakubu Gowon
Seleção Nigeriana de Futebol
Moçambique
Cidade do Benim
Biafra
Cessar-fogo
Placar
Time (revista)
Luvas (economia)
Paramaribo
Suriname
Lev Yashin
Stanley Matthews
Arthur Friedenreich
Isabel II do Reino Unido
Estatísticas de Pelé
Estádio do Maracanã
Ditadura militar brasileira
Ato Institucional n.º 5
Richard Nixon
North American Soccer League
Estados Unidos
Nesuhi Ertegün
Ahmet Ertegün
Warner Communications
Henry Kissinger
Antonio Francisco Azeredo da Silveira
Gerald Ford
Casa Branca
Dallas Tornado
CBS
New York Daily News
Cambista
Jimmy Carter
Guerra Civil Libanesa
República Dominicana
Violette Athletic Club
Estadio Olímpico Félix Sánchez
Giants Stadium
American Broadcasting Company
Muhammad Ali
Bobby Moore
Caetano Veloso
Copa Roca
Seleção Argentina de Futebol
Estádio Jornalista Mário Filho
Amadeo Carrizo
Estado de S. Paulo
Psicólogo
Didi (futebolista)
Nílton Santos
Gylmar dos Santos Neves
Seleção Inglesa de Futebol
Seleção Soviética de Futebol
Bellini (futebolista)
Garrincha
Sport Club Corinthians Paulista
Ari Clemente
Mário Filho
Ruy Castro
Massagem
Mário Américo
Vavá
Seleção de Futebol do País de Gales
Celso Unzelte
Seleção Francesa de Futebol
Recordes da Copa do Mundo FIFA
Seleção Sueca de Futebol
Chapéu (futebol)
Sigge Parling
Just Fontaine
Praia Grande (São Paulo)
Soldado
Benedito Ruy Barbosa
Giovanni Trapattoni
Seleção Chilena de Futebol
Seleção Mexicana de Futebol
Antonio Carbajal
Seleção Tcheca de Futebol
Aymoré Moreira
Amarildo Tavares da Silveira
Final da Copa do Mundo FIFA de 1962
Inglaterra
Djalma Santos
Jairzinho
Tostão
Gérson (futebolista)
Seleção Búlgara de Futebol
Seleção Húngara de Futebol
Vicente Feola
Seleção Portuguesa de Futebol
Goodison Park
João Morais
História da Copa do Mundo
João Havelange
Cromo (estampa)
Panini Group
Eliminatórias da Copa do Mundo FIFA de 1970
João Saldanha
Miopia
Lentes de contato
Garrastazu Médici
México
Roberto Rivellino
Carlos Alberto Torres
Clodoaldo (futebolista)
Aeroporto Internacional de Guadalajara
Sombrero
Guerrilha
Sequestro
Escolta
Sósia
Guadalajara
Uwe Seeler
Miroslav Klose
Cristiano Ronaldo
Lionel Messi
Ivo Viktor
Gordon Banks
Defesa do Século
Seleção Romena de Futebol
Seleção Peruana de Futebol
Seleção Uruguaia de Futebol
Final da Copa do Mundo FIFA de 1950
Drible de Pelé
Ladislao Mazurkiewicz
Dagoberto Fontes
Seleção Italiana de Futebol
Final da Copa do Mundo FIFA de 1970
Cidade do México
Tarcisio Burgnich
Taça Jules Rimet
Roberto Rosato
Seleção Austríaca de Futebol
Seleção Iugoslava de Futebol
Leilão
Euro
Copa do Mundo FIFA de 1974
Geraldo Assoviador
Carlos Drummond de Andrade
Pier Paolo Pasolini
Centroavante
Meia-atacante
Paradinha (futebol)
Pênalti
Carisma
The New York Times
Universidade Metropolitana de Santos
Educação física
Salto em distância
Igreja católica
Papa Francisco
Ronaldo Nazário
Museu do Vaticano
Papa Paulo VI
Biblioteca Apostólica Vaticana
Edson Cholbi Nascimento
Xuxa
Assíria Nascimento
Sandra Regina Machado
Jornalismo esportivo
Paulo César Vasconcellos
Paulo Cezar Caju
Produto (marketing)
Juca Kfouri
Emílio Garrastazu Médici
Departamento de Ordem Política e Social
Comunismo
