Cristina Kirchner
Luiz Inácio Lula da Silva
Juan Manuel Santos
Fernando Lugo
Guiana
Georgetown (Guiana)
Cimeira
Chefe de Estado
Chefe de governo
União de Nações Sul-Americanas
26 de novembro
2010
Tratado Constitutivo da Unasul
Presidente da União de Nações Sul-Americanas
Presidente da Guiana
Bharrat Jagdeo
Rafael Correa
Presidente do Equador
Argentina
Colômbia
Paraguai
Suriname
Desi Bouterse
Venezuela
Hugo Chávez
Chile
Peru
Uruguai
Luis Almagro
Néstor Kirchner
Secretário-geral da União de Nações Sul-Americanas
Mar del Plata
2011
Ilhas Malvinas
Commonwealth
G1
Estados-membros da União de Nações Sul-Americanas
Bolívia
Brasil
Equador
México
Panamá
Bandeira da União de Nações Sul-Americanas
Banco do Sul
Conselho de Defesa Sul-Americano
Conselho Energético Sul-Americano
Conselho de Saúde Sul-Americano
Instituto Sul-Americano de Governo em Saúde
Parlamento Sul-Americano
Declaração de Cusco
Cúpula Sul-Americana
Cúpula América do Sul - África
Cúpula América do Sul - Países Árabes
II Cúpula América do Sul - Países Árabes
Integração sul-americana
Iniciativa para a Integração da Infraestrutura Regional Sul-Americana
Corredor bioceânico
Estrada do Pacífico
Ferrovia Transoceânica
Rodovia Pan-Americana
Anel Energético Sul-Americano
Gás de Camisea
Gasoduto Transcaribenho
Grande Gasoduto do Sul
