Energia renovável
Biocombustível
Biomassa
Energia azul
Energia geotérmica
Energia heliotérmica
Energia hidráulica
Hidroeletricidade
Energia solar
Energia eólica
Energia maremotriz
Energia das ondas
Energia das correntes marítimas
Energia nuclear
Sortelha
Gerador
Cata-vento
Energia elétrica
Efeito estufa
Erosão
Turbulência
Poluição sonora
Poluição visual
Arrasto
Helicóptero
Sustentação (aerodinâmica)
Poço artesiano
Bateria (eletricidade)
Corrente contínua
Corrente alternada
Europa
Volt
Hertz
Osciloscópio
Célula fotoelétrica
Vestas
Sustentabilidade
Parque eólico
Usinas eólicas do Brasil
Fontes de energia
Biogás
Carvão vegetal
Energia marinha
Conversão de energia térmica oceânica
Energia não renovável
Carvão mineral
Gás natural
Petróleo
Tesauro de Arte e Arquitetura
Biblioteca Nacional Central de Florença
Biblioteca Nacional da França
Encyclopædia Britannica
Gemeinsame Normdatei
JSTOR
Número de controle da Biblioteca do Congresso
