Bandeira da Rússia
Brasão de armas da Rússia
Hino nacional da Rússia
Anexação do sul e leste da Ucrânia pela Rússia
Moscou
Português brasileiro
Português europeu
Língua russa
Língua abaza
Língua adigue
Língua agul
Língua altai
Língua ávara
Língua azeri
Língua basquir
Língua buriata
Língua cabardiana
Língua cacassiana
Língua calmuca
Língua carachaio-bálcara
Língua carélia
Língua chechena
Língua cómi
Língua cumique
Língua dargínica
Língua erzia
Língua inguche
Língua iacuta
Língua lak
Língua lezgui
Língua mari
Língua moksha
Língua nogai
Língua osseta
Língua rutul
Língua tabassarã
Língua tártara
Língua tártara da Crimeia
Língua tat
Língua tsakhur
Língua tuvana
Língua ucraniana
Língua udmurte
Religião oficial
Igreja Ortodoxa Russa
De facto
Gentílico
Russos
República
Federação
Semipresidencialismo
Ditadura
Lista de presidentes da Rússia
Vladimir Putin
Lista de primeiros-ministros da Rússia
Mikhail Mishustin
Conselho da Federação
Valentina Matvienko
Duma Federal
Vyacheslav Volodin
Assembleia Federal da Rússia
Câmara alta
Câmara baixa
Colapso da União Soviética
União Soviética
12 de junho
1990
25 de dezembro
1991
Quilómetro quadrado
Lista de países e territórios por área
Fronteira
Noruega
Finlândia
Estónia
Letónia
Lituânia
Bielorrússia
Polónia
Ucrânia
Geórgia
Azerbaijão
Cazaquistão
República Popular da China
Mongólia
Coreia do Norte
Lista de países por população
Densidade populacional
Lista de países por densidade populacional
Produto interno bruto
Paridade do poder de compra
Trilhões
Escalas curta e longa
Lista de países por PIB (Paridade do Poder de Compra)
Renda per capita
Lista de países por PIB (Paridade do Poder de Compra) per capita
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Índice de Desenvolvimento Humano
Lista de países por Índice de Desenvolvimento Humano
Coeficiente de Gini
Rublo
ISO 4217
Fuso horário
Tempo Universal Coordenado
UTC+2
UTC+12
ISO 3166-1
Lista de TLDs
.ru
.su
.рф
Lista de códigos telefónicos
País
Eurásia
Estônia
Letônia
Polônia
Exclave
Kaliningrado
China
Japão
Mar de Okhotsk
Mar do Japão
Estados Unidos
Estreito de Bering
Grupo étnico
Eslavos do leste
Europa
Século III
Século VIII
Viquingues
Rússia de Kiev
Cristianismo ortodoxo
Império Bizantino
Eslavos
Cultura da Rússia
Feudalismo
Sucessão de estados
Kiev
Moscóvia
Canato da Horda Dourada
Mongóis
Império Russo
