Bandeira de Santo Eustáquio
Lema
Tera di Solo y suave biento
Língua oficial
Língua Neerlandesa
Capital
Oranjestad (Santo Eustáquio)
Área
População
2016
Densidade populacional
Lista de países por área
Moeda
Dólar dos Estados Unidos
Domínio de topo
.an
.nl
Fuso horário
UTC
Língua neerlandesa
Ilha
Países Baixos Caribenhos
Países Baixos
Pequenas Antilhas
Mar do Caribe
Antilhas Neerlandesas
Índias Ocidentais
Ilhas Virgens
São Cristóvão (São Cristóvão e Neves)
Saba
Santo Eustáquio
Cristão
Língua castelhana
Língua portuguesa
Cristóvão Colombo
Companhia Neerlandesa das Índias Ocidentais
Dissolução das Antilhas Neerlandesas
10 de outubro
2010
Territórios especiais da União Europeia
União Europeia
Dinamarca
Gronelândia
Ilhas Feroe
Espanha
Ilha de Alborão
Ilhote de Alhucemas
Canárias
Ceuta
Ilhas Chafarinas
Melilha
Ilha de Perejil
Ilhote de Vélez de la Gomera
França
Ilha de Clipperton
Guadalupe
Guiana Francesa
Martinica
Maiote
Nova Caledónia
Polinésia Francesa
Ilhas Marquesas
Tuamotu
Ilhas da Sociedade
Reunião (departamento)
São Bartolomeu (coletividade)
São Martinho (França)
São Pedro e Miquelão
Terras Austrais e Antárticas Francesas
Amesterdão (ilha)
Bassas da Índia
Ilhas Crozet
Ilha Europa
Ilhas Gloriosas
Ilha de João da Nova
Ilhas Kerguelen
Ilha de São Paulo (França)
Terra Adélia
Ilha Tromelin
Wallis e Futuna
Itália
Ilha de Pantelária
Ilhas Pelágias
Ilha de Lampedusa
Ilha de Linosa
Ilha de Lampione
Aruba
Bonaire
Curaçau
São Martinho (Países Baixos)
Portugal
Açores
Ilha de São Miguel
Ilha Terceira
Ilha do Faial
Ilha do Pico
Ilha de São Jorge
Ilha de Santa Maria
Graciosa
Ilha das Flores (Açores)
Ilha do Corvo
Ilhéus das Formigas
Região Autónoma da Madeira
Ilhas Desertas
Ilha da Madeira
Ilha de Porto Santo
Ilhas Selvagens
Comunidade Económica Europeia
1973
1982
Base Virtual Internacional de Autoridade
Encyclopædia Britannica
Gemeinsame Normdatei
Número de controle da Biblioteca do Congresso
Sistema Universitário de Documentação
OpenStreetMap
MusicBrainz
GeoNames
Getty Thesaurus of Geographic Names
Taxonomia
