Crise financeira
Década de 1930
Florence Owens Thompson
Califórnia
Grande Depressão
Ciclo econômico
Crescimento econômico
Estagnação econômica
Crises econômicas
Recessão
Depressão econômica
Atividade econômica
Produção
Produto interno bruto
Desemprego
Renda familiar
Lucro
Falência
Concordata
Capacidade ociosa
Investimento
Depressão (economia)
Grande Recessão
Crise do Petróleo
Crise econômica do México de 1994
Crise financeira asiática de 1997
Crise financeira na Rússia em 1998
Crise econômica da Argentina
Crise econômica sul-americana de 2002
Crise da dívida pública da Zona Euro
Crise na Venezuela desde 2013
Dilma Rousseff
Posse de Dilma Rousseff em 2015
Michel Temer
Governo Dilma Rousseff
Crise econômica brasileira de 2014
Encilhamento
Bolha de crédito
Brasil
Império do Brasil
República Velha
Deodoro da Fonseca
Década perdida
Plano Real
Governo Itamar Franco
Desvalorização do real em 1999
Governo Fernando Henrique Cardoso
Governo Lula
Governo Jair Bolsonaro
Crise financeira em Portugal de 2010–2014
Paulo Sandroni
Dicionário Houaiss
Economia
Biblioteca Nacional Central de Florença
Biblioteca Nacional da Espanha
Biblioteca Nacional da França
Gemeinsame Normdatei
Biblioteca Nacional da Dieta
Biblioteca Técnica Nacional de Praga
